article,pub_date,nltk_score,source,nltk_score_title
The Day: GB stops an alleged hackiactivist spokesman,2011-07-28,0.0,Jornada,-0.1531
La Jornada: Indignados deliver Rodríguez Zapatero and deputies plea petition,2011-07-28,0.0,Jornada,0.0
La Jornada: Sorda struggles at the top of the Kremlin to appoint a single presidential candidate,2011-07-28,-0.7506,Jornada,-0.1779
La Jornada: Kandahar mayor dies during suicide attack claimed by Taliban,2011-07-28,-0.9834,Jornada,-0.8225
La Jornada: Humala today assumes presidency of Peru; Will launch social programs,2011-07-28,0.7783,Jornada,0.0
La Jornada: Britain recognizes Libyan armed rebels as legitimate government,2011-07-28,0.7506,Jornada,-0.2023
La Jornada: I'm afraid of the US because I know its political operators: Evo Morales,2011-07-28,-0.8689,Jornada,0.0
La Jornada: Venezuela rejects US aggressions,2011-07-28,0.5267,Jornada,-0.6705
The Journey: Norway will not be intimidated by the attacks: Jens Stoltenberg,2011-07-28,-0.6124,Jornada,-0.1265
La Jornada: Chilean government to dialogue with students and teachers after two months of marches,2011-07-28,-0.25,Jornada,0.0
La Jornada: Libraries disappear and the ways of reading are transformed,2011-07-28,-0.8316,Jornada,-0.2263
La Jornada: The culture and the use of the bicycle detonate changes in the cities: David Byrne,2011-07-28,-0.296,Jornada,0.0
La Jornada: Pésame de la Permanente for the death of Sánchez Vázquez,2011-07-28,-0.4588,Jornada,-0.5994
"La Jornada: Learn from the natives, called Jan de Vos in an era of savages: Raúl Vera",2011-07-28,0.9698,Jornada,-0.5267
La Jornada: They will hold the Theater Festival of Nuevo León; Includes seven foreign works,2011-07-28,0.5574,Jornada,0.4939
La Jornada: Suspends term judge for the term of management of the Mexican mercantile competition,2011-07-28,-0.6597,Jornada,0.0
"La Jornada: For US, Mexican economy loses vigor",2011-07-28,0.0,Jornada,-0.0516
La Jornada: S & P deters Greece debt,2011-07-28,0.0,Jornada,-0.3612
La Jornada: Atafe Cofetel amparos against interconnection agreement,2011-07-28,-0.296,Jornada,0.4939
La Jornada: Murder of a bullet in the head of a student when resisting to be assaulted,2011-07-28,-0.128,Jornada,-0.8442
The Journey: Strauss-Khan Accuser Appears Eight Hours with New York Public Prosecutor,2011-07-28,-0.5423,Jornada,0.0
"The Journey: Difficult, that US maintains debt rating: Lamb",2011-07-28,-0.6486,Jornada,-0.6124
La Jornada: Offer security for Tourism Tianguis,2011-07-28,0.6369,Jornada,0.34
La Jornada: Uncertainty threatens AL reserves,2011-07-28,0.4404,Jornada,-0.6124
La Jornada: Republican plan reviewed; Raises spending cut,2011-07-28,0.4939,Jornada,-0.2732
"La Jornada: Continued at normal pace, exports of papaya to the US and other countries: producers",2011-07-28,0.2732,Jornada,0.0
The Day: New York drops bags of the world,2011-07-28,0.0,Jornada,0.0
La Jornada: Denounce sale of concessions for taxis,2011-07-28,0.0,Jornada,-0.34
La Jornada: Child pastor would have stirred the grenade that mutilated him: Sedena,2011-07-28,-0.296,Jornada,0.0
La Jornada: Chalco Valley sinks 40 cm per year,2011-07-28,-0.296,Jornada,0.0
La Jornada: Modify the electoral calendar of Tabasco,2011-07-28,0.4019,Jornada,0.0
"La Jornada: Overrun Aureoles of expenses, says Bautista",2011-07-28,0.0,Jornada,0.0
La Jornada: Pressure to eliminate community policing,2011-07-28,0.0,Jornada,-0.296
La Jornada: Decomisan wild species in SLP,2011-07-28,0.0,Jornada,0.0
La Jornada: AN urges exodus of voters to Veracruz,2011-07-28,-0.296,Jornada,0.0
La Jornada: Fear of measles contagion in Sonora,2011-07-28,0.34,Jornada,-0.7351
La Jornada: Retired pensioners 5 months of pension,2011-07-28,0.0,Jornada,0.0
La Jornada: Three drowned by river flood in Chiapas,2011-07-28,-0.7003,Jornada,-0.5994
La Jornada: Traffic collapses in the Las Armas distributor; No injuries,2011-07-28,-0.7579,Jornada,-0.5267
"La Jornada: Without water, 15 thousand in Aguascalientes",2011-07-28,-0.296,Jornada,0.0
La Jornada: Compensation of OHL compensation to ejidatarios affected by Circuito Exterior Mexiquense,2011-07-28,0.34,Jornada,-0.1531
La Jornada: The government of Querétaro gives property to Coparmex,2011-07-28,-0.296,Jornada,0.0
La Jornada: Airlift of emergency food aid opened for Somalia due to drought,2011-07-28,0.0,Jornada,-0.3818
La Jornada: Will send EU 126 mdd to alleviate the crisis,2011-07-28,-0.6369,Jornada,-0.6249
La Jornada: Budget inequality makes more low-income students pay: expert,2011-07-28,-0.5859,Jornada,-0.1689
La Jornada: Government saved $ 11.8 billion in negotiating patent drug prices,2011-07-28,0.1027,Jornada,0.4215
La Jornada: Centenario union leader challenges time and continues to function,2011-07-28,0.0772,Jornada,0.0772
La Jornada: Hepatitis B carries 2 billion people worldwide: WHO,2011-07-28,-0.7964,Jornada,0.0
La Jornada: They prefer to kill their flocks to prevent them from starving,2011-07-28,0.0516,Jornada,-0.8126
"La Jornada: They give to know guide of proper use of the antibiotics, elaborated by the ANM",2011-07-28,-0.25,Jornada,0.0
"La Jornada: Only 25% of advances in sex education, says NGOs",2011-07-28,-0.743,Jornada,0.0
La Jornada: Clonan dog that shines with useful technique against human evils,2011-07-28,-0.5859,Jornada,-0.2023
"La Jornada: Find human femur 500,000 years ago in Spain",2011-07-28,0.0,Jornada,0.0
La Jornada: US federal judge unlocks stem cell research,2011-07-28,-0.5423,Jornada,0.0
La Jornada: Deaths and disappearances continue unpunished,2011-07-28,-0.3612,Jornada,0.0
La Jornada: Duarte will talk with Calderón about the stay of the PF in Chihuahua,2011-07-28,0.3818,Jornada,0.0
La Jornada: Communities of 4 states demand that the government respect human rights,2011-07-28,0.1027,Jornada,0.3818
La Jornada: They describe as very poor the center in which El Ponchis will purge his sentence,2011-07-28,0.5994,Jornada,-0.4754
La Jornada: Protects the CNDH from travelers,2011-07-28,0.3818,Jornada,0.3182
