article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Official warning to outraged people: they will not be able to continue for a long time,2011-06-02,-0.4939,Jornada,-0.7096
La Jornada: Last attempts of Humala and Fujimori to break the technical tie facing the election,2011-06-02,-0.2023,Jornada,0.0
La Jornada: Quito reiterates rejection of sanctions against PDVSA,2011-06-02,0.0,Jornada,-0.5423
La Jornada: Meeting of Lula with Cuban President,2011-06-02,0.0,Jornada,0.0
La Jornada: Argentina and Bolivia overrule disagreement,2011-06-02,0.0,Jornada,-0.3612
La Jornada: Gaddafi troops and rebels commit crimes against humanity: UN,2011-06-02,-0.4939,Jornada,0.1027
La Jornada: Bahrain Government Raises Martial Law,2011-06-02,-0.2263,Jornada,0.0
"La Jornada: Murders, 30 children in Syria, accuses UNICEF",2011-06-02,0.0,Jornada,-0.7506
"La Jornada: Honduras rejoins the OAS, almost two years after the coup against Zelaya",2011-06-02,-0.4404,Jornada,0.0
La Jornada: Fighting in Yemen leaves 37 dead,2011-06-02,0.0,Jornada,-0.7783
La Jornada: Strike of thousands of Chilean students against the privatizadora model of Piñera,2011-06-02,-0.296,Jornada,-0.128
The Day: Israel: Thousands Celebrate Reunification of East Jerusalem,2011-06-02,0.0,Jornada,0.5719
La Jornada: Venezuela captures high command of the FARC; Will deliver it to Colombia,2011-06-02,0.4939,Jornada,0.0
La Jornada: Today's version 17 of the novel Romulo Gallegos,2011-06-02,0.7096,Jornada,0.3182
La Jornada: First letter to Eva,2011-06-02,0.0516,Jornada,0.0
La Jornada: Distinguish Leonard Cohen with the Prince of Asturias of Letters,2011-06-02,0.7096,Jornada,0.0
"La Jornada: A scene, ridicule and arbitrariness of political, military and religious powers",2011-06-02,-0.8957,Jornada,-0.4588
La Jornada: With the award to the poet open the boundaries of literature,2011-06-02,-0.5106,Jornada,0.5423
La Jornada: Lead my dance,2011-06-02,0.9517,Jornada,0.0
La Jornada: The 11.2% increase in telephone sales without television ads,2011-06-02,-0.296,Jornada,0.3182
La Jornada: The Court dismisses another controversy of deputies,2011-06-02,0.6486,Jornada,0.0
La Jornada: Electric Rises for Industries Outperform Inflation,2011-06-02,0.2732,Jornada,0.0
La Jornada: The European Commission raises the health alert against Spanish cucumbers,2011-06-02,-0.1779,Jornada,0.296
"La Jornada: 2,000 pharmacies closed in 2 years and another 7,500 are at risk: Anafarmex",2011-06-02,0.4939,Jornada,-0.2732
La Jornada: Reasignó Sectur $ 58 million for image of Aguascalientes,2011-06-02,0.0,Jornada,0.0
La Jornada: New fine to Telmex in less than 2 months; Now for $ 91.5 million,2011-06-02,-0.9601,Jornada,0.2023
The Journey: Fallen bags; US economic recovery fades,2011-06-02,0.0,Jornada,-0.3612
La Jornada: $ 7 billion in remittances in January-April; 13.7% less than in 2007,2011-06-02,0.0,Jornada,0.0
La Jornada: The government has nothing against Slim: Pérez-Jácome,2011-06-02,-0.5574,Jornada,0.0
"La Jornada: Da Brasil welcomes Carstens' candidacy to the IMF, without granting support",2011-06-02,-0.296,Jornada,-0.1331
"The Journey: Difficult, that by the judicial route can be resolved change of title of Telmex: Canieti",2011-06-02,-0.5267,Jornada,-0.2023
La Jornada: Niega Lozano revenge against Martín Orozco,2011-06-02,0.0,Jornada,-0.5267
La Jornada: TEPJF dismisses challenges against the candidacy of Encinas,2011-06-02,0.8126,Jornada,0.0772
La Jornada: Tamaulipas to expand attention to migrants,2011-06-02,0.0,Jornada,0.3182
La Jornada: Alert Encinas about growing narco presence in the countryside,2011-06-02,0.4019,Jornada,0.4404
La Jornada: Evacuan populated by risk of collapse,2011-06-02,-0.3612,Jornada,-0.6486
La Jornada: Cite deputies to the director of the police of Cuernavaca,2011-06-02,0.9062,Jornada,0.0
La Jornada: Relocate the Ssa-Puebla 3 hospitals,2011-06-02,0.0,Jornada,0.0
La Jornada: Denounces the PRD electoral crimes,2011-06-02,0.0,Jornada,-0.4404
"La Jornada: In unemployment, only 19% of schools in Michoacan SEE",2011-06-02,-0.5574,Jornada,-0.4404
La Jornada: Sepueva Governorate talks with opponents of the El Zapotillo dam,2011-06-02,-0.765,Jornada,0.0
La Jornada: Deny Cocoa intimidates PAN,2011-06-02,0.0,Jornada,-0.5719
La Jornada: Suspend arbitrary discount to police,2011-06-02,0.0,Jornada,-0.3182
La Jornada: Fails treatment plant inaugurated by Calderón in Acapulco,2011-06-02,-0.743,Jornada,-0.4215
"The Journey: Jesús Ortega, caught in the middle of shooting",2011-06-02,-0.743,Jornada,0.0
La Jornada: Bravo asks religious not to do politics,2011-06-02,0.2263,Jornada,0.0
La Jornada: Edil and Cabildo de Capulhuac leave the PT and join the campaign of Ávila,2011-06-02,0.0,Jornada,0.25
La Jornada: Attracts the SCJN amparo request of Amalia García,2011-06-02,-0.2023,Jornada,0.4019
"La Jornada: Without conditioning, resources to the states not to slow down or delay programs: Ssa",2011-06-02,-0.3612,Jornada,-0.3182
"La Jornada: 15 years after it was created, it is time for the commission to become a health ombudsman: Narro",2011-06-02,0.296,Jornada,0.25
La Jornada: Agreement for the universal evaluation of teachers seals agreement between SNTE and government,2011-06-02,0.5719,Jornada,0.7506
La Jornada: NNW predicts 16 cyclones,2011-06-02,-0.296,Jornada,0.0
"La Jornada: Conamed, still without powers to resolve medical controversies",2011-06-02,-0.9432,Jornada,-0.2924
"La Jornada: Every day, 2,500 young people between 15 and 24 years old get AIDS.",2011-06-02,-0.5267,Jornada,0.0
La Jornada: Note-taking and union registration follow the same procedure: SCJN,2011-06-02,0.8271,Jornada,0.0
"La Jornada: The purpose is to impact quality, not to sanction: Fernando González",2011-06-02,-0.296,Jornada,0.0
La Jornada: Only 13 months in jail to former police chief by Mexican case assassinated to blows,2011-06-02,-0.9325,Jornada,0.0
La Jornada: In November the procedure against clerical pederasty is defined: Arizmendi,2011-06-02,-0.7845,Jornada,0.0
La Jornada: Clarifies SCJN contradiction of thesis on paternity,2011-06-02,0.8885,Jornada,-0.0258
"La Jornada: Alarmed Americans alert on cell phones, but resigned to using it",2011-06-02,-0.9501,Jornada,-0.3818
"La Jornada: Internet and social networks, important for spreading the religious message: CEM",2011-06-02,-0.8271,Jornada,0.2023
"La Jornada: About 18 million Mexicans, with infertility problems",2011-06-02,-0.6597,Jornada,-0.4019
The Day: The skeletons of two dinosaurs will be auctioned in Dallas,2011-06-02,0.0,Jornada,0.0
La Jornada: Fast return to work limits breastfeeding,2011-06-02,-0.296,Jornada,0.0
"La Jornada: Democracy in Cuba is much more than a party, says Pita Montes",2011-06-02,0.5994,Jornada,-0.1082
"La Jornada: In crime, we are worse than in 2009, reveals a survey",2011-06-02,-0.5994,Jornada,-0.765
La Jornada: Order the Ifai to disseminate a number of used ministerial police of bodyguards,2011-06-02,0.0,Jornada,0.0772
La Jornada: Three shots are assassinated the former deputy director of the state jail with billiards Chihuahua,2011-06-02,-0.9524,Jornada,0.0
"La Jornada: Shielding politics against Calderón's authoritarian temptations, asks Beltrones",2011-06-02,0.6369,Jornada,0.0
"La Jornada: The problem of poverty in Mexico, very serious: Lamb",2011-06-02,-0.7845,Jornada,-0.7645
La Jornada: Consider historic reform in DH,2011-06-02,-0.7783,Jornada,0.0
"La Jornada: Public insecurity, main obstacle to economic progress",2011-06-02,-0.5859,Jornada,-0.3612
"La Jornada: In four months, Hacienda spent more than 284 million pesos in advertising",2011-06-02,0.3818,Jornada,0.0
"La Jornada: Zambrano and Padierna are colluded to grab power, denounces a PRD senator",2011-06-02,0.0,Jornada,-0.4404
"La Jornada: Harassment denounces residents of Juan de Grijalva, in Chiapas",2011-06-02,-0.9337,Jornada,-0.7506
"La Jornada: Pathetic, that Lozano esteem the death of miners in the absence of labor reform: Esparza",2011-06-02,-0.8957,Jornada,-0.8225
La Jornada: Blake scores with the PRI extraordinary period,2011-06-02,0.34,Jornada,0.0
"La Jornada: It is the people's task to keep the power mafia under control, says López Obrador",2011-06-02,-0.9498,Jornada,0.0
La Jornada: Require government officials not to use government cell phones to tweet,2011-06-02,-0.5267,Jornada,0.0
La Jornada: SSA will apply 32 thousand questionnaires in the survey on addictions 2011,2011-06-02,-0.25,Jornada,0.0
La Jornada: Alert the impunity enjoyed in Mexico by the murderers of journalists,2011-06-02,0.5267,Jornada,0.0516
"La Jornada: Dona EU to Mexico 220,000 DNA collection cards to register inmates",2011-06-02,-0.25,Jornada,0.0
La Jornada: Vázquez Mota wants open selection,2011-06-02,0.0,Jornada,0.0
La Jornada: Delivery Guatemala the award of the Quetzal to Sabines Guerrero,2011-06-02,0.6369,Jornada,0.5423
"La Jornada: On Tuesday, lawmakers treated us like dogs cornered: Lozano",2011-06-02,-0.5994,Jornada,0.1027
La Jornada: The headquarters of the PRD will return to Monterrey 50,2011-06-02,-0.2263,Jornada,0.0
"La Jornada: Despite reforms, little progress in gender equity in politics, says Valdés Zurita",2011-06-02,0.6908,Jornada,0.3626
"La Jornada: Present today allegations Peña Nieto, González Márquez, Moreira and AMLO",2011-06-02,0.4019,Jornada,0.0
La Jornada: Today is celebrated for the first time the Day of the Federal Police,2011-06-02,0.8957,Jornada,0.5719
La Jornada: Authorizes judge rooting for 36 members of La Familia captured last Saturday,2011-06-02,-0.1779,Jornada,0.0
La Jornada: Waterfall of criticism from several fronts,2011-06-02,-0.886,Jornada,-0.4404
"La Jornada: Drug trafficking, first challenge for customs, says the WCO",2011-06-02,0.3818,Jornada,0.0772
La Jornada: Cordero does not know the reality of the country; There are 50 million poor: analysts,2011-06-02,-0.9666,Jornada,-0.4767
La Jornada: Juan de Dios Castro launches accusations,2011-06-02,0.2732,Jornada,-0.3182
"La Jornada: Legalizing drugs will not end crime, says Poiré",2011-06-02,-0.4939,Jornada,0.431
La Jornada: The government underestimates the Renapo and maintains its leadership,2011-06-02,-0.1868,Jornada,-0.2732
La Jornada: The global war on drugs failed; It is urgent to modify the strategies,2011-06-02,-0.9716,Jornada,-0.7506
"La Jornada: Army and Navy, stronger than all criminal groups together: Calderón",2011-06-02,-0.743,Jornada,-0.2023
La Jornada: Minimize responsibility of the SG in the accident where Mouriño died,2011-06-02,-0.0,Jornada,-0.7717
La Jornada: We can subject him to political judgment: Permanent to the holder of the STPS,2011-06-02,-0.9371,Jornada,0.0
La Jornada: Cancel court charges Roberto Quintanilla for Zhenli Ye Gon's case,2011-06-02,-0.2732,Jornada,-0.4767
La Jornada: Obtains PGR arrest warrants against 73 zetas,2011-06-02,-0.9501,Jornada,-0.34
