article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Auction Wikileaks lunch with Assange,2011-06-16,0.0,Jornada,0.0
La Jornada: Deplores Bolivia refuge in Paraguay against opposition,2011-06-16,0.5423,Jornada,0.0
"The Journey: Hugo Chavez, in a frank recovery",2011-06-16,0.0,Jornada,0.0
La Jornada: Chilean militarized police repress another protest against the privatization of education,2011-06-16,-0.4804,Jornada,-0.5267
"La Jornada: The ashes of the Chilean volcano Puyehue, about to complete the return to the planet",2011-06-16,0.0,Jornada,0.0
La Jornada: Argentina: Office of Mothers of Plaza de Mayo,2011-06-16,0.4588,Jornada,0.0
La Jornada: Outraged the Parliament of Barcelona; 46 wounded and six detained,2011-06-16,-0.0772,Jornada,-0.7351
La Jornada: They are a collection of mastuerzos that do not represent anybody: Fernando Savater,2011-06-16,0.0,Jornada,0.0
La Jornada: Human rights violations by Syrian forces denounced to the UN,2011-06-16,-0.5994,Jornada,-0.5267
Pakistan arrests 5 US informants,2011-06-16,0.7351,Jornada,-0.4404
La Jornada: US lawmakers sue Obama and Gates for sending troops to Libya,2011-06-16,-0.9744,Jornada,0.0
La Jornada: Hackers attacked CIA site,2011-06-16,0.0,Jornada,-0.4588
The Journey: Arizona: will resign author of anti-immigrant law,2011-06-16,0.4404,Jornada,-0.34
"La Jornada: Normalize situation in North Africa and Middle East, calls for SCO",2011-06-16,0.4019,Jornada,0.0
La Jornada: Discard that Fujimori is in terminal phase,2011-06-16,0.0,Jornada,-0.25
La Jornada: Red Cure Opera Rescued,2011-06-16,0.3182,Jornada,0.4215
La Jornada: Britten Sinfonia enarbola art and culture as part of the spirit of GB,2011-06-16,0.6369,Jornada,0.1779
"La Jornada: The novel, the best device against oblivion: Juan Gabriel Vásquez",2011-06-16,-0.959,Jornada,0.7579
The Journey: Jessica Lange does not propose a portrait of Mexico; Just caught what i saw,2011-06-16,0.0,Jornada,0.0
La Jornada: Dudamel documentary to be released in 400 cinemas in the United States,2011-06-16,0.6124,Jornada,0.4215
La Jornada: The world premiere of the lost and rebuilt work of Antonio Vivaldi,2011-06-16,0.5423,Jornada,-0.3182
La Jornada: Experts: serious risk in food security in developing countries,2011-06-16,-0.1779,Jornada,-0.0
La Jornada: Economy deteriorates in rich countries,2011-06-16,0.0,Jornada,0.5574
La Jornada: Sectur promotes Brazilian tourism to Mexico,2011-06-16,0.0,Jornada,0.34
"La Jornada: Double recession if oil prices do not fall, alert AIE",2011-06-16,0.0,Jornada,-0.5702
La Jornada: Pilots ask SCT to avoid arbitrary decisions blocking Mexicana's restructuring,2011-06-16,-0.6908,Jornada,-0.5859
La Jornada: The fight against crime must be maintained: Lamb,2011-06-16,0.0,Jornada,-0.7269
La Jornada: Continued return of mills to ex-owners,2011-06-16,-0.296,Jornada,0.0
La Jornada: Belgium to lift bank secrecy of foreigners' accounts,2011-06-16,0.0,Jornada,0.0
La Jornada: Codusef asks banks to alert users to the fate of inactive accounts,2011-06-16,-0.34,Jornada,0.296
La Jornada: Transgenic rice has been illegally propagated by China for years,2011-06-16,0.3818,Jornada,0.0
La Jornada: Four confirmed cases of e.coli infected in the US,2011-06-16,-0.3818,Jornada,-0.4939
La Jornada: Import quota for sweetener goes up,2011-06-16,0.3182,Jornada,0.0
La Jornada: Cofetel approved 16 sanctions against five cellular operators,2011-06-16,-0.128,Jornada,0.4215
La Jornada: Entrepreneurs will not invest if reforms are not approved,2011-06-16,0.0,Jornada,-0.3252
"La Jornada: No more austerity measures, demand thousands of Greeks before the Parliament",2011-06-16,-0.6808,Jornada,-0.4522
"La Jornada: The Mexican telecommunications market, very competitive: S & P",2011-06-16,0.0772,Jornada,0.2484
La Jornada: Accusing Aureoles of excessive spending,2011-06-16,0.0,Jornada,-0.1779
"La Jornada: Minor works, most of the promises of Eruviel Ávila",2011-06-16,-0.5267,Jornada,0.4336
"La Jornada: Sonora: courts, cable and rotisseries in penal",2011-06-16,0.0,Jornada,0.0
La Jornada: Official commits suicide for corruption,2011-06-16,-0.128,Jornada,-0.6597
La Jornada: Request to change official rules on cargo,2011-06-16,-0.7096,Jornada,0.0
La Jornada: Encinas hopes to win with the vote of the undecided,2011-06-16,0.0,Jornada,0.6908
The Journey: The Rector of the University of QR,2011-06-16,0.0,Jornada,0.0
La Jornada: Bravo Mena supports project in Teotihuacán,2011-06-16,0.0,Jornada,0.3612
La Jornada: Nayarit is asked to sign electoral protocol,2011-06-16,0.0,Jornada,0.0
"La Jornada: Expulsion of Adalberto Madero from AN, invalid",2011-06-16,0.0,Jornada,0.0
La Jornada: Fire in official residence of Tamaulipas,2011-06-16,-0.6124,Jornada,-0.34
La Jornada: 40 drought disaster zone declared in the 58 municipalities of San Luis Potosí,2011-06-16,-0.7269,Jornada,-0.6249
La Jornada: Fishermen burn a Conapesca boat,2011-06-16,-0.6808,Jornada,0.0
La Jornada: Second day of driver protests; SCT files complaint,2011-06-16,-0.5994,Jornada,-0.4767
The Journey: Stop of 17 thousand teachers in Tabasco; Call for benefits and better services,2011-06-16,0.6486,Jornada,0.5106
La Jornada: Officials blame for child death,2011-06-16,0.0,Jornada,-0.743
"La Jornada: Former transport coordinator of the government of Ulises Ruiz, arrested",2011-06-16,-0.3182,Jornada,-0.4767
La Jornada: Repudiation at the UAM-X for a new director,2011-06-16,0.0,Jornada,0.0
La Jornada: Analyzes Narro if it is postulated for a second period to the front of rectory,2011-06-16,-0.7783,Jornada,0.0
"La Jornada: Changes, only in facilities with conditions",2011-06-16,-0.4404,Jornada,0.0
La Jornada: They present at the UNAM exhibition with work by the cartoonist Naranjo,2011-06-16,0.0,Jornada,0.0
"La Jornada: The migration of the monarch, about to change course",2011-06-16,-0.7096,Jornada,0.0
La Jornada: Court invalidates illegally intercepted emails,2011-06-16,0.1027,Jornada,0.0
La Jornada: High food prices have changed the diet of consumers,2011-06-16,0.0,Jornada,0.0
La Jornada: They must go together quality and extended day,2011-06-16,-0.6808,Jornada,0.0
"La Jornada: Less than 30% of older adults in the country have jobs, says Inapam",2011-06-16,0.0516,Jornada,0.0
La Jornada: Protest before the ISSSTE teachers of Michoacán,2011-06-16,-0.3612,Jornada,-0.25
La Jornada: UNAM seeks more representation for its University Council,2011-06-16,0.4939,Jornada,0.0
La Jornada: Returned in an auto drug stolen from November 20,2011-06-16,-0.25,Jornada,-0.4939
"La Jornada: Low, the number of industries with recycled or biodegradable containers",2011-06-16,0.0,Jornada,-0.2023
La Jornada: Reject site to take class in Philosophy,2011-06-16,0.5574,Jornada,-0.4019
La Jornada: The longest eclipse in 10 years,2011-06-16,-0.5267,Jornada,0.0
La Jornada: Discover vaccine that offers 80% protection against meningitis,2011-06-16,-0.926,Jornada,0.0
La Jornada: Two members of the escort of the governor of Nuevo León are murdered and quartered,2011-06-16,-0.5574,Jornada,-0.6597
"La Jornada: Calderón's call, media plan: PRI",2011-06-16,-0.886,Jornada,0.0
"La Jornada: Before criticism, the IFE makes another proposal to regulate right of reply in media",2011-06-16,0.0772,Jornada,-0.4404
La Jornada: In Acapulco request to locate journalist,2011-06-16,0.765,Jornada,0.0
La Jornada: Foreigners avoid studying in the country,2011-06-16,-0.875,Jornada,-0.296
La Jornada: There is a risk that the Executive intends to reverse the presumption of innocence: PRI,2011-06-16,-0.5106,Jornada,0.128
