article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Thousands of troops loyal to Gaddafi attack Misurata,2011-06-09,-0.296,Jornada,0.0
La Jornada: Congressman favorite to win NY mayor faces sexual cybercandle,2011-06-09,-0.2732,Jornada,0.7783
La Jornada: Mothers of Plaza de Mayo Foundation rejects smear campaign,2011-06-09,-0.7717,Jornada,-0.6908
"La Jornada: In danger of death, the four Mapuche Chileans on hunger strike, medical alert",2011-06-09,-0.1779,Jornada,-0.8225
La Jornada: US Prepares Actions for Failure of Drug War Declared by Nixon,2011-06-09,-0.9584,Jornada,-0.802
La Jornada: EU advises Guatemalan police in repression during armed conflict,2011-06-09,-0.7845,Jornada,-0.5994
La Jornada: Protest of outraged people at the doors of the Congress of Deputies in Madrid,2011-06-09,0.5574,Jornada,-0.6705
La Jornada: Al Qaeda's second pledge to continue bin Laden's fight,2011-06-09,-0.872,Jornada,-0.3818
La Jornada: Collectors claim to have won litigation for works by Frida; Raquel Tibol refutes them,2011-06-09,-0.8316,Jornada,0.4404
La Jornada: View The girls taught me that art is magic: Luis Granda,2011-06-09,0.1027,Jornada,0.0
La Jornada: Mozart's score found in the shop of an altruistic association,2011-06-09,0.0,Jornada,0.0
La Jornada: Reordering the area of ​​the Templo Mayor to build the house of Tlaltecuhtli,2011-06-09,-0.0516,Jornada,0.0
La Jornada: A girl drowned in 1569 could inspire the Ophelia of William Shakespeare,2011-06-09,-0.4939,Jornada,-0.0516
La Jornada: Disagree legislative fractions on rejection of SCT to change title to Telmex,2011-06-09,0.25,Jornada,-0.7269
"La Jornada: Mexico, of the OECD countries with more expensive roaming",2011-06-09,0.0,Jornada,0.0
La Jornada: Annulment Court of NY claims for one thousand million dollars against América Móvil,2011-06-09,0.0,Jornada,0.0
La Jornada: Low wages lead to over-indebtedness with credit cards,2011-06-09,0.0,Jornada,0.128
"La Jornada: Inertial, the growth of the commercialization of cars: AMDA",2011-06-09,0.0,Jornada,0.3818
"La Jornada: Discovering and extracting oil in a sustainable way is the challenge, says Moreno Valle",2011-06-09,0.6249,Jornada,0.0772
"La Jornada: Before 30, the SCJN must express its views on the Tianguis",2011-06-09,0.5267,Jornada,0.0
