article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Bombardeos expulsan de Misurata a fuerzas de Kadafi,2011-03-24,-0.9628,Jornada,-0.4404
"La Jornada: Hoy, 35 aniversario de la instalación de la dictadura militar en Argentina",2011-03-24,-0.5994,Jornada,0.0
La Jornada: Fidel Castro propone a su hermano Raúl al frente del Partido Comunista de Cuba,2011-03-24,-0.5106,Jornada,0.4019
La Jornada: Bombazo en Jerusalén; un muerto y 39 heridos,2011-03-24,-0.9771,Jornada,-0.6486
"La Jornada: Fallecen 17 en la represión a una marcha en Siria; en Argelia, niña asesinada en un desalojo",2011-03-24,0.3182,Jornada,-0.9325
"La Jornada: Ineptitud, rasgo dominante de los combatientes opositores",2011-03-24,-0.8779,Jornada,-0.0516
La Jornada: Bolivia exigirá en tribunales una salida soberana al océano Pacífico,2011-03-24,0.6369,Jornada,-0.128
La Jornada: Dimite el premier portugués; rechaza el Parlamento su plan de austeridad,2011-03-24,0.6369,Jornada,-0.4939
La Jornada: La radiación en el agua potable en Tokio supera los límites legales; no es aceptable para bebés,2011-03-24,0.34,Jornada,0.4215
La Jornada: Niega el Tribunal Supremo de España la inscripción de Sortu como partido legal,2011-03-24,-0.7579,Jornada,0.5994
"La Jornada: Potencias de Occidente, fascistas: el coronel",2011-03-24,0.0,Jornada,-0.2023
"La Jornada: Sin fecha, el fin de la intervención: Gates",2011-03-24,-0.6124,Jornada,0.0
"La Jornada: En dos años, el Consejo de la Judicatura ha sancionado a 108 funcionarios del PJF",2011-03-24,-0.765,Jornada,0.0
La Jornada: Cuarta ejecución de un jefe de seguridad pública en lo que va del año en Michoacán,2011-03-24,0.5574,Jornada,0.34
"La Jornada: Potencias de Occidente, fascistas: el coronel",2011-03-24,0.0,Jornada,-0.2023
La Jornada: Medios de comunicación firmarán pacto sobre cobertura de la violencia del narco,2011-03-24,-0.7184,Jornada,-0.6249
La Jornada: Ordena el Ifai al Cisen entregar la cifra de muertos en la guerra contra el crimen,2011-03-24,0.8176,Jornada,-0.9062
"La Jornada: Lo dicho por el jefe de la Casa Blanca, enorme desprecio al Presidente mexicano",2011-03-24,-0.8316,Jornada,-0.5859
La Jornada: Entrega CNDH informe con 240 casos de retenciones ilegales de personas,2011-03-24,-0.6705,Jornada,-0.7269
La Jornada: Vázquez Mota ratifica su interés por Los Pinos,2011-03-24,-0.296,Jornada,0.4588
La Jornada: Liberan en dos estados a cuatro secuestradas,2011-03-24,0.0,Jornada,0.0
La Jornada: Bombardeos expulsan de Misurata a fuerzas de Kadafi,2011-03-24,-0.9628,Jornada,-0.4404
La Jornada: De Rápido y furioso... nadie sabe nada: Poiré,2011-03-24,-0.2263,Jornada,0.0
La Jornada: La Patrulla Fronteriza mata a joven mexicano,2011-03-24,-0.296,Jornada,-0.5423
La Jornada: Diputados aprueban que el 11 de septiembre sea fecha de fiesta nacional,2011-03-24,-0.9001,Jornada,0.4019
"La Jornada: Necesaria, una ley específica contra la desaparición forzada: misión de la ONU",2011-03-24,0.6486,Jornada,0.0
"La Jornada: Tras 15 meses de diálogo, la reforma política tiene avances, según Gobernación",2011-03-24,-0.7579,Jornada,0.4215
La Jornada: Acción penal contra 7 presuntos polleros,2011-03-24,0.0,Jornada,-0.5267
La Jornada: Reunión privada en Bucareli entre Blake Mora y Marisela Morales,2011-03-24,0.5423,Jornada,0.0
La Jornada: Aumenta rechazo a la iniciativa entre sindicatos independientes y oficiales,2011-03-24,0.4939,Jornada,-0.34
La Jornada: Congresistas de EU visitan a Calderón en Los Pinos,2011-03-24,-0.7845,Jornada,0.0
La Jornada: Bombazo en Jerusalén; un muerto y 39 heridos,2011-03-24,-0.9771,Jornada,-0.6486
La Jornada: Captura la PF en Guadalajara al suegro y compadre de Joaquín El Chapo Guzmán,2011-03-24,-0.5267,Jornada,0.0
La Jornada: Alampyme reprueba la reforma laboral del PRI,2011-03-24,0.25,Jornada,-0.4939
"La Jornada: QR: alcalde electo critica al futuro jefe de la policía estatal, Carlos Bibiano Villa",2011-03-24,-0.6908,Jornada,-0.34
"La Jornada: Ineptitud, rasgo dominante de los combatientes opositores",2011-03-24,-0.8779,Jornada,-0.0516
La Jornada: En fría y breve ceremonia priístas recuerdan el asesinato de Colosio,2011-03-24,-0.8442,Jornada,-0.6908
La Jornada: Las Abejas: Los Zetas son producto de la contrainsurgencia en Chiapas,2011-03-24,-0.25,Jornada,0.0
La Jornada: Asegura Barack Obama que él nunca autorizó el tráfico de armas a México,2011-03-24,-0.7783,Jornada,0.3182
La Jornada: Florencio Salazar amenaza con utilizar la aplanadora para aprobar la reforma laboral,2011-03-24,-0.7269,Jornada,-0.3818
"La Jornada: Sin fecha, el fin de la intervención: Gates",2011-03-24,-0.6124,Jornada,0.0
"La Jornada: Fallecen 17 en la represión a una marcha en Siria; en Argelia, niña asesinada en un desalojo",2011-03-24,0.3182,Jornada,-0.9325
La Jornada: Senadores avalan reforma sobre el delito de trata,2011-03-24,-0.9538,Jornada,-0.296
La Jornada: Anula el TEPJF multa contra el sol azteca,2011-03-24,0.9231,Jornada,-0.0258
La Jornada: Investiga la PGR red interna de corrupción,2011-03-24,-0.9169,Jornada,0.0
La Jornada: López Obrador acusa a Calderón de ceder contratos a Repsol por 25 mmdd,2011-03-24,0.1531,Jornada,-0.34
La Jornada: Priístas visitan la futura sede del Senado; Labastida critica el tamaño de las oficinas,2011-03-24,-0.6808,Jornada,-0.34
La Jornada: Recuperan 36 de los oficios más populares de la identidad mexicana,2011-03-24,0.1779,Jornada,0.4754
La Jornada: Realizarán la feria del libro de Azcapotzalco,2011-03-24,0.5267,Jornada,0.3182
La Jornada: Documentan daños al patrimonio cultural de Japón,2011-03-24,-0.296,Jornada,-0.4404
La Jornada: Polémica de México con galería parisina data de tres años,2011-03-24,-0.6249,Jornada,0.0
La Jornada: Cirko De Mente no logra renovar contrato con el museo Anahuacalli,2011-03-24,-0.5267,Jornada,-0.4215
La Jornada: Recorrido por el esplendor del arte plumario en magna exposición,2011-03-24,-0.296,Jornada,0.8442
La Jornada: Alicia Alonso realiza gira por Yucatán con el BNC,2011-03-24,0.1779,Jornada,0.0
La Jornada: Unesco pide a Libia y aliados respetar la riqueza cultural,2011-03-24,-0.3182,Jornada,0.743
"La Jornada: Nuevo titular de Cultura de Italia, tras movilizaciones",2011-03-24,0.0,Jornada,0.0
La Jornada: Impugnan a titular de Seguridad en Sinaloa,2011-03-24,0.0,Jornada,0.34
La Jornada: Niegan a ejidatarios manejo de caseta,2011-03-24,0.0,Jornada,-0.34
La Jornada: Quebranto de $2 mil millones a Zacatecas,2011-03-24,0.0,Jornada,-0.3182
"La Jornada: Invertirá Puebla más de $1,500 millones en proyectos hidráulicos",2011-03-24,-0.6124,Jornada,0.0
La Jornada: Slim apoyará rescate de la capital de SLP,2011-03-24,0.4939,Jornada,0.7184
La Jornada: Endeudarán a Sonora para rescatar empresa,2011-03-24,0.3818,Jornada,0.7269
La Jornada: Condicionan reapertura de la mina El Cubo,2011-03-24,0.3818,Jornada,0.0
"La Jornada: Sin agua, 400 mil colonos de Chihuahua",2011-03-24,-0.1531,Jornada,0.0
La Jornada: Regatean el pago de tierras usadas para aeropuerto,2011-03-24,0.0,Jornada,-0.3818
La Jornada: Cometen dos feminicidios en el estado de México,2011-03-24,-0.9643,Jornada,0.0
La Jornada: Escamotean pago a productores de frijol,2011-03-24,-0.802,Jornada,0.0
La Jornada: Ombudsman de Morelos remite a la CNDH quejas en contra de militares,2011-03-24,-0.5267,Jornada,-0.4019
La Jornada: Roban 30 autos de tren en Zacatecas,2011-03-24,-0.4215,Jornada,-0.4939
La Jornada: Opositores a La Parota son forasteros: SRA,2011-03-24,0.0,Jornada,0.0
La Jornada: Denuncian en Colima abusos de marinos,2011-03-24,-0.128,Jornada,-0.7579
La Jornada: Ofrece Monterrey alternativa de empleo para discapacitados,2011-03-24,0.9042,Jornada,0.0
"La Jornada: Suscriben PRI, Panal y PVEM alianza en el estado de México",2011-03-24,0.7351,Jornada,0.0
La Jornada: Reúne rector de la UdeG a la clase política de Jalisco,2011-03-24,-0.5423,Jornada,0.0
La Jornada: Revela fósil origen de dinosaurios herbívoros,2011-03-24,0.3182,Jornada,0.0
La Jornada: Proponen creación de fondo para el desarrollo de la ciencia en AL,2011-03-24,0.9062,Jornada,0.2732
"La Jornada: La escasez de agua en México, similar a la de Noráfrica: Calderón",2011-03-24,-0.9442,Jornada,0.0
"La Jornada: En riesgo, menores de guarderías subrogadas",2011-03-24,0.5859,Jornada,-0.2732
"La Jornada: Chiapas, el estado que más creció en cobertura de salud en todo el país",2011-03-24,0.4588,Jornada,0.0
"La Jornada: Estudiantes, académicos y trabajadores de la ENMH comenzaron paro de labores",2011-03-24,-0.8625,Jornada,0.0
La Jornada: Portal: alto índice de discrecionalidad en manejo de fondos para salud y educación,2011-03-24,-0.7096,Jornada,0.0
La Jornada: Se cobra sólo 9% del valor de mangle destruido,2011-03-24,0.0,Jornada,-0.4404
La Jornada: SCJN: no hay devolución de pensión alimentaria,2011-03-24,0.0,Jornada,-0.296
La Jornada: Devela la UNAM placa alusiva al Premio Príncipe de Asturias que se le dio en 2009,2011-03-24,-0.1027,Jornada,0.5423
"La Jornada: Los acuerdos de Cancún sobre cambio climático, insuficientes, admite la ONU",2011-03-24,-0.743,Jornada,0.5106
La Jornada: Descarta José Ángel Córdova riesgo de radiactividad por importaciones japonesas,2011-03-24,-0.765,Jornada,-0.4767
"La Jornada: México, de los países que más consumen agua embotellada",2011-03-24,0.0,Jornada,0.0
La Jornada: Requiere el acuerdo inversión anual de 51 mil millones de pesos,2011-03-24,-0.2023,Jornada,0.4939
La Jornada: Ssa: sobrepeso y obesidad reducen 10 años de vida,2011-03-24,-0.1027,Jornada,-0.3612
La Jornada: Reconoce Sectur falta de playas públicas,2011-03-24,0.0,Jornada,-0.3182
La Jornada: Estudiantes de UAM-I denuncian agresión,2011-03-24,0.0,Jornada,-0.5574
"La Jornada: México, marginado de la competencia en educación, advierte el Banco Mundial",2011-03-24,-0.4215,Jornada,-0.1027
La Jornada: Hallan anomalías en contrato del IMSS a una trasnacional,2011-03-24,-0.8957,Jornada,0.0
La Jornada: Descartan PRI y PRD que se privatice la refinación,2011-03-24,-0.5859,Jornada,0.0
La Jornada: Subirá 3.4% la producción de trigo,2011-03-24,-0.6597,Jornada,0.0
La Jornada: Exige el AICM a Aviacsa pagar adeudos,2011-03-24,-0.4019,Jornada,-0.1027
La Jornada: Faltó planeación y visión en los destinos turísticos: empresarios,2011-03-24,0.0,Jornada,-0.0516
La Jornada: Obtiene Gruma crédito por 225 millones de dólares,2011-03-24,0.7783,Jornada,0.3818
La Jornada: El viernes comienza el 36 Tianguis Turístico de Acapulco,2011-03-24,-0.296,Jornada,0.0
"La Jornada: Altos precios del petróleo descarrilarán recuperación de EU, alertan Fed y FMI",2011-03-24,-0.7184,Jornada,0.0
La Jornada: Diputados exigen $15 mil millones para cubrir los daños en cultivos por heladas,2011-03-24,-0.5574,Jornada,-0.5267
La Jornada: Obtiene Pemex producción de gas shale en Coahuila,2011-03-24,0.0,Jornada,0.0
La Jornada: Tercer alza del precio del crudo de EU,2011-03-24,-0.128,Jornada,-0.5719
La Jornada: Propician mercado negro robos y carestía: Alampyme,2011-03-24,-0.128,Jornada,0.0
La Jornada: Apoya Cofetel la demanda de operadores de reducir las tarifas de interconexión,2011-03-24,-0.8225,Jornada,0.25
"La Jornada: El mundo deberá acostumbrarse a alimentos caros, afirma el FMI",2011-03-24,-0.7906,Jornada,0.0
La Jornada: Denunciarán a empresas por prácticas monopólicas,2011-03-24,0.3818,Jornada,-0.34
