article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Avanza en el este de Libia la oposición armada a Kadafi,2011-03-05,-0.7579,Jornada,0.0
La Jornada: Protestan cientos de miles en Yemen; Abdulá Saleh se niega a dejar el poder,2011-03-05,0.0516,Jornada,-0.2732
La Jornada: Apoya la Alba propuesta de Hugo Chávez,2011-03-05,0.0772,Jornada,0.3612
La Jornada: Empieza Cuba juicio contra estadunidense acusado de espía,2011-03-05,-0.9246,Jornada,-0.296
La Jornada: Movilizan rebeldes a los desertores libios,2011-03-05,-0.9643,Jornada,-0.2023
La Jornada: Leales capturan campos petroleros,2011-03-05,-0.9118,Jornada,0.2732
La Jornada: Envía Arabia Saudita 10 mil agentes a provincias chiítas; teme día de ira,2011-03-05,0.0,Jornada,-0.7845
"La Jornada: Busca EU hacernos ver como oveja negra en tema de narcóticos, afirma Argentina",2011-03-05,0.3182,Jornada,0.3612
La Jornada: Elogia Castro la iniciativa venezolana,2011-03-05,-0.7351,Jornada,0.5267
La Jornada: Piden en Chile exhumar el cadáver de Allende para determinar cómo murió,2011-03-05,-0.9274,Jornada,-0.8074
La Jornada: Descarta Alemania que grupos terroristas ordenaran ataque a soldados estadunidenses,2011-03-05,-0.9413,Jornada,-0.8689
"La Jornada: Controlan fuerzas leales a Kadafi la frontera de Libia con Túnez, asegura el ACNUR",2011-03-05,-0.743,Jornada,0.4767
La Jornada: Envía Arabia Saudita 10 mil agentes a provincias chiítas; teme día de ira,2011-03-05,0.0,Jornada,-0.7845
La Jornada: Resguardan a parte de los Reyes Salazar,2011-03-05,-0.4019,Jornada,0.0
"La Jornada: Durante el Operativo Conjunto Chihuahua, 692 feminicidios en Juárez, señala experta",2011-03-05,-0.9545,Jornada,0.0
La Jornada: Hierve Twitter de opiniones acerca de la prohibición de exhibir Presunto culpable,2011-03-05,0.296,Jornada,-0.7506
La Jornada: Protestan cientos de miles en Yemen; Abdulá Saleh se niega a dejar el poder,2011-03-05,0.0516,Jornada,-0.2732
La Jornada: Extradita PGR a EU a presunto homicida,2011-03-05,0.0,Jornada,0.0
La Jornada: Elogia Castro la iniciativa venezolana,2011-03-05,-0.7351,Jornada,0.5267
La Jornada: Difunde Sedena resultados de acciones,2011-03-05,-0.8212,Jornada,0.0
