article,pub_date,nltk_score,source,nltk_score_title
La Jornada: ¿Pedirá el presidente de EU perdón a chilenos por los hechos de 1973? cuestiona Fidel Castro,2011-03-22,-0.8625,Jornada,0.4215
La Jornada: Suscitan escándalo fotos de abusos de soldados de EU en Afganistán,2011-03-22,-0.8779,Jornada,-0.7964
"La Jornada: Sin agua, comida ni electricidad, los rebeldes resisten en Ajdabiya",2011-03-22,-0.9565,Jornada,-0.2023
La Jornada: Tribunal español comienza debates sobre legalización de Sortu,2011-03-22,-0.926,Jornada,0.0
La Jornada: Opositores en Yemen suman simpatizantes,2011-03-22,-0.7269,Jornada,0.4404
La Jornada: Fracturas en la comunidad internacional sobre los ataques y la resolución de la ONU,2011-03-22,0.34,Jornada,-0.4404
"La Jornada: En visita a Chile, Obama elude pregunta sobre el papel de EU en el golpe a Allende",2011-03-22,0.2732,Jornada,0.0
La Jornada: La coalición liderada por EU violó el alto el fuego: régimen libio,2011-03-22,-0.9545,Jornada,-0.5267
La Jornada: Japón extrema control de alimentos por contaminación con radiactividad,2011-03-22,-0.5267,Jornada,0.0
"La Jornada: Kadafi, en lucha pese a bombardeos occidentales",2011-03-22,-0.9186,Jornada,-0.3612
La Jornada: Incautan en Colima cinco cohetes y otras armas,2011-03-22,-0.7003,Jornada,-0.4404
La Jornada: Fracturas en la comunidad internacional sobre los ataques y la resolución de la ONU,2011-03-22,0.34,Jornada,-0.4404
La Jornada: Renuncia de Carlos Pascual fue decisión personal: EU,2011-03-22,-0.5267,Jornada,-0.296
La Jornada: Cinépolis apela del fallo sobre Presunto culpable,2011-03-22,0.25,Jornada,0.0
"La Jornada: Kadafi, en lucha pese a bombardeos occidentales",2011-03-22,-0.9186,Jornada,-0.3612
"La Jornada: Se disparan casos de tortura en México, informan a grupo de trabajo de la ONU",2011-03-22,-0.9638,Jornada,-0.5994
"La Jornada: Al conjuro de Juárez, Calderón aboga por una reforma política y electoral",2011-03-22,-0.8689,Jornada,0.0
La Jornada: Con la estrategia errada de AN hay riesgo de otro magnicidio: Moreira,2011-03-22,-0.128,Jornada,-0.8442
"La Jornada: Sin agua, comida ni electricidad, los rebeldes resisten en Ajdabiya",2011-03-22,-0.9565,Jornada,-0.2023
"La Jornada: En trámite, 42 quejas contra jueces y magistrados, reporta la Judicatura",2011-03-22,0.0772,Jornada,-0.4019
La Jornada: Sigue proceso contra jueces del caso Rubí Frayre,2011-03-22,-0.6908,Jornada,0.0
"La Jornada: PRI: posible, lograr reforma hacendaria",2011-03-22,0.4019,Jornada,0.0
La Jornada: La coalición liderada por EU violó el alto el fuego: régimen libio,2011-03-22,-0.9545,Jornada,-0.5267
La Jornada: Hallan envenenado en Matamoros a fiscal texano; presumen suicidio,2011-03-22,-0.9423,Jornada,-0.8271
La Jornada: Genera el narcotráfico ganancias por unos 320 mil millones de dólares: ONU,2011-03-22,-0.5719,Jornada,0.4404
La Jornada: Desprecian autoridades archivo inédito sobre Francisco I. Madero,2011-03-22,-0.4767,Jornada,-0.4019
La Jornada: Casi 3 mil cables desnudaron el intervencionismo de EU,2011-03-22,-0.872,Jornada,0.0
La Jornada: Exigen explicación sobre tráfico de armas,2011-03-22,-0.296,Jornada,-0.128
La Jornada: Se fractura en el PRD el llamado grupo de los ocho,2011-03-22,-0.2732,Jornada,0.0
"La Jornada: Mario Aburto, asesino material de Colosio, podría abandonar el penal a finales de año",2011-03-22,0.34,Jornada,-0.8442
La Jornada: Opositores en Yemen suman simpatizantes,2011-03-22,-0.7269,Jornada,0.4404
"La Jornada: En Sinaloa, nueve ejecutados por el hampa, incluidos cuatro integrantes de una familia",2011-03-22,-0.7783,Jornada,0.0
La Jornada: Permiten a 13 diputados ingresar a San Lázaro con guardias personales armados,2011-03-22,0.7506,Jornada,0.0
La Jornada: Contubernio: AMLO,2011-03-22,-0.5267,Jornada,-0.5267
"La Jornada: La SFP indaga a 5 funcionarios por opacidad; la PGR, a 30",2011-03-22,-0.296,Jornada,0.0
"La Jornada: Las mujeres en el Ejército Mexicano, relegadas a servicios administrativos",2011-03-22,-0.5859,Jornada,0.0
La Jornada: Recibirán Juan N. Silva y 5 ministros más a la misión de Naciones Unidas,2011-03-22,0.5106,Jornada,0.4215
