article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Decorate France to Norma Muñoz,2011-05-25,0.0,Jornada,0.0
The Day: Check that spirulina protects against kidney damage,2011-05-25,-0.8807,Jornada,-0.2263
La Jornada: The typical orchestra will celebrate its declaration of cultural heritage,2011-05-25,0.6369,Jornada,0.5719
La Jornada: They reveal the statue of Benjamín Carrión; Made Mexico a second homeland,2011-05-25,-0.4767,Jornada,0.0
La Jornada: Report of Mayan Mortuary Offering in a Cenote of Chichen Itza,2011-05-25,0.0,Jornada,0.0
La Jornada: They will open in Colima museum with the name of Fernando del Paso,2011-05-25,-0.8625,Jornada,0.0
La Jornada: The Spanish version of Saviano's new book will be launched in October,2011-05-25,-0.6705,Jornada,0.128
La Jornada: Artist moves Sor Juana Inés de la Cruz to the Mexican Stock Exchange,2011-05-25,-0.5267,Jornada,0.0
La Jornada: Artistic project to describe the time in Rome,2011-05-25,0.0,Jornada,0.0
La Jornada: Migration agents tried to blame the priest Solalinde on trafficking in persons,2011-05-25,-0.765,Jornada,-0.34
La Jornada: Luis Arriaga Valenzuela completes his management at the head of the Centro Pro,2011-05-25,-0.4939,Jornada,0.0
La Jornada: Insecurity and violence require joint international response: legislators and EU,2011-05-25,-0.875,Jornada,-0.7845
"La Jornada: Calderón dynamite the agreements, according to the PRI",2011-05-25,0.5423,Jornada,0.4215
La Jornada: Tzotzil population of Cruztón denounces attempt to invade communal lands,2011-05-25,0.0,Jornada,-0.4404
La Jornada: Avala Blake Mora prohibits spreading narcocorridos in Sinaloa,2011-05-25,-0.6705,Jornada,0.0
La Jornada: IFE will make fines to Televisa and Tv Azteca for announcements in favor of Peña Nieto,2011-05-25,-0.6124,Jornada,0.4019
"La Jornada: Narco and organized crime, major international threats",2011-05-25,-0.128,Jornada,-0.743
La Jornada: High-ranking military commanders retiring do not have escorts,2011-05-25,-0.8979,Jornada,0.0
La Jornada: Refusal of the Permanent to authorize that Garcia Luna use decoration,2011-05-25,-0.0516,Jornada,0.0
La Jornada: Catch a high command of Los Zetas,2011-05-25,-0.9136,Jornada,0.0
La Jornada: García Luna offered US free access to Mexican intelligence,2011-05-25,0.9477,Jornada,0.7506
"La Jornada: In immigration policy, things work badly, Calderón admits in promulgating the respective law",2011-05-25,-0.5719,Jornada,0.2263
La Jornada: Terror among mayors of Zacatecas by threats,2011-05-25,0.0,Jornada,-0.7351
La Jornada: Investigating bank accounts of 10 court clerks,2011-05-25,0.7269,Jornada,0.0
La Jornada: The PAN is concerned about actions in the Edomex,2011-05-25,0.0,Jornada,0.0
La Jornada: 100 percent security does not exist in nuclear plants: Eibenschutz,2011-05-25,0.3818,Jornada,0.34
La Jornada: Dismantling bar with billiards inside penal,2011-05-25,-0.8402,Jornada,0.0
La Jornada: Washington proposes Anthony Wayne as new ambassador to Mexico,2011-05-25,0.7906,Jornada,0.0
La Jornada: Invites the Permanent to Javier Sicilia to dialogue,2011-05-25,0.9485,Jornada,0.0
"La Jornada: Between Monday and Tuesday, the crime claimed the lives of 37 people in seven entities",2011-05-25,-0.7579,Jornada,-0.5423
La Jornada: From 2005 to 2010 the Cisen intervened 88 phone calls,2011-05-25,0.802,Jornada,0.0
La Jornada: AMLO and Encinas will be on June 5 in the Zócalo,2011-05-25,0.0,Jornada,0.0
"La Jornada: Irrelevant, the countries in which it has worked, say legislators",2011-05-25,-0.875,Jornada,0.0
La Jornada: Corruption in prosecutor's offices has undermined the strength of institutions,2011-05-25,0.8481,Jornada,0.1779
"La Jornada: Beltrones, the face of the PRI as a valuable interlocutor",2011-05-25,0.8807,Jornada,0.4767
"La Jornada: Subocupados, one third of professionals",2011-05-25,-0.8481,Jornada,0.0
"La Jornada: Cite to appear in the Permanent Beltrán del Rio, but dismissed Blake",2011-05-25,0.25,Jornada,0.0
La Jornada: Four years after the disappearance of two euphorists,2011-05-25,-0.296,Jornada,0.0
"The Day: Hosni Mubarak and his two children, on trial",2011-05-25,0.0,Jornada,0.0
La Jornada: Brazil: investigating death of peasant,2011-05-25,0.0772,Jornada,-0.5994
La Jornada: Submit the remains of Salvador Allende to radiological exams,2011-05-25,-0.9001,Jornada,0.0
La Jornada: Fujimori consolidates lead over Humala,2011-05-25,0.0,Jornada,0.0
La Jornada: Sanctions US to the Venezuelan company PDVSA for its links with Iran; Also punishes another six,2011-05-25,-0.4767,Jornada,-0.4767
La Jornada: Madrilenian businessmen demand that the government dismantle the stand at Puerta del Sol,2011-05-25,-0.3612,Jornada,-0.128
La Jornada: Suspend 500 more flights in several countries of Europe by volcanic ash,2011-05-25,-0.5267,Jornada,-0.3182
La Jornada: The Guatemalan prosecutor who participated in the capture of assassins of peasants,2011-05-25,-0.9001,Jornada,0.0
La Jornada: More than 15 explosions shake Tripoli in NATO attacks,2011-05-25,-0.891,Jornada,-0.5574
The Netanyahu reiterates before the US Congress the refusal of Israel to return to the 1967 borders,2011-05-25,0.7783,Jornada,0.0
La Jornada: French want a left-wing president,2011-05-25,0.0,Jornada,0.0772
La Jornada: Tornado Survivors Seek in Missouri,2011-05-25,-0.5994,Jornada,0.0
La Jornada: More than 50 killed in fighting in Yemen,2011-05-25,0.296,Jornada,-0.8055
The Journey: Barack Obama and Queen Elizabeth highlight the fight shoulder to shoulder of their countries for decades,2011-05-25,-0.6808,Jornada,-0.0516
