article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Breivik, the killer of 77 people in Norway declared mentally incapacitated",2011-11-30,-0.7269,Jornada,-0.802
La Jornada: The moderate Islamist Abdelilá Benkiran swears as head of government of Morocco,2011-11-30,0.6908,Jornada,0.0516
La Jornada: Chilean students reject new budget for public education,2011-11-30,0.1779,Jornada,-0.4019
La Jornada: Iranians raid and loot two embassy premises in GB,2011-11-30,-0.4767,Jornada,0.0
"La Jornada: Iñaki Urdangarin, the questioned son-in-law of the Spanish king, held business with the Fox government",2011-11-30,-0.5106,Jornada,-0.1027
La Jornada: The mining project Conga to suspend gold and copper mining in northern Peru,2011-11-30,-0.0258,Jornada,-0.3182
La Jornada: Repress agents protest of Bolivian teenagers,2011-11-30,0.5994,Jornada,-0.5267
La Jornada: The IACHR gives secret documents on repression during the Argentine dictatorship,2011-11-30,-0.296,Jornada,-0.3818
La Jornada: Commission proposes to remove the remains of Franco from Valle de los Caídos,2011-11-30,-0.5994,Jornada,0.0
La Jornada: Premia Tusquets to the Basque writer Fernando Aramburu,2011-11-30,0.5574,Jornada,0.0
La Jornada: Tribute to Carlos Montemayor in the ALDF,2011-11-30,-0.8402,Jornada,0.0
"La Jornada: For the second time, justice gives reason to Gabo in a litigation for one of his books",2011-11-30,-0.9559,Jornada,0.3818
La Jornada: José Emilio Pacheco presented the complete poetry of Antonio Colinas,2011-11-30,0.1027,Jornada,0.0
La Jornada: Young artists had ample space at the Venice Biennale,2011-11-30,-0.5106,Jornada,0.0
La Jornada: The National Museum of San Carlos hosts the exhibition Caminos del barroco,2011-11-30,0.0,Jornada,0.0
La Jornada: Literature is a table of salvation and possibility of rebellion: Benito Taibo,2011-11-30,-0.1531,Jornada,-0.128
La Jornada: Only in Mexico and Honduras did poverty increase in the last year: ECLAC,2011-11-30,-0.9726,Jornada,-0.25
La Jornada: Retains Treasury and BdeM the daily auction of 400 mdd to shore up the parity,2011-11-30,0.2732,Jornada,0.2023
La Jornada: American Airlines seeks amparo in the Bankruptcy Law to remain active,2011-11-30,-0.4215,Jornada,0.4019
La Jornada: Meeting of the head of the IMF with the governing board of the Bank of Mexico,2011-11-30,0.1027,Jornada,0.0
La Jornada: Increased economic risks of the world's leading banks,2011-11-30,-0.4939,Jornada,0.0
La Jornada: Banks of Mexico and AL offer credit to consumption rather than production: BM,2011-11-30,-0.5106,Jornada,0.3818
La Jornada: S & P agency prepares setback for France's credit rating,2011-11-30,-0.7783,Jornada,0.3818
La Jornada: New support for Greece approved,2011-11-30,0.91,Jornada,0.6705
La Jornada: Flights to Mazatlan and Morelia,2011-11-30,0.0,Jornada,0.0
La Jornada: Enrique Carrillo is appointed Director General of Fonatur,2011-11-30,0.3612,Jornada,0.0
La Jornada: Mexican workers' lawyers prepare to claim $ 270 million,2011-11-30,0.296,Jornada,0.0
The Day: Moody's threatens credit groups,2011-11-30,-0.296,Jornada,0.0
La Jornada: IEA criticizes lack of global commitment to reduce fossil fuel consumption,2011-11-30,0.7506,Jornada,-0.2732
La Jornada: Private investors will be able to explore transboundary oil fields,2011-11-30,0.5994,Jornada,0.0
La Jornada: Zacatecas: ask ex-ediles to return money,2011-11-30,-0.5267,Jornada,0.0
La Jornada: Acapulco: accused of extortion of federal police,2011-11-30,-0.4404,Jornada,-0.296
La Jornada: Homosexuals can adopt children in Coahuila,2011-11-30,0.926,Jornada,0.1779
La Jornada: Zeferino Torreblanca will sue for defamation against the comptroller of Guerrero,2011-11-30,-0.6249,Jornada,0.0
La Jornada: Mayor of Cuernavaca to seek candidacy,2011-11-30,0.0,Jornada,0.0
La Jornada: Trial of Cholula prison officials,2011-11-30,0.0,Jornada,-0.5106
La Jornada: Distribute 43 notary patents in Coahuila,2011-11-30,0.0,Jornada,0.0
La Jornada: Cattle ranchers seek to expedite sale of herds,2011-11-30,-0.296,Jornada,0.0
"La Jornada: Protest 4,000 prostricians in Neza for delinquency and lack of services",2011-11-30,-0.4019,Jornada,-0.5106
La Jornada: Godoy proposes to apply for credit to face cuts in shares,2011-11-30,0.1027,Jornada,0.3818
La Jornada: Invalidate rule on assignment of deputies in Colima,2011-11-30,0.5267,Jornada,0.0
La Jornada: Notice to mayor of Tlapa process of disruption,2011-11-30,-0.8271,Jornada,-0.3612
La Jornada: Farmers stop works of fractionation in Morelos,2011-11-30,0.296,Jornada,-0.296
La Jornada: Duel in the state of Mexico trailer carrying beer; 3 dead and 7 wounded,2011-11-30,-0.8934,Jornada,-0.6486
La Jornada: Offer temporary work to 4 thousand in Ciudad Juárez,2011-11-30,0.7003,Jornada,0.0
La Jornada: Set limits on campaign spending in NL,2011-11-30,0.0,Jornada,0.0
La Jornada: They remove property to Indians on the pretext that it does not have male heirs,2011-11-30,-0.8074,Jornada,0.0
La Jornada: Jalapa ambulants protest for arrests,2011-11-30,0.0,Jornada,-0.5994
La Jornada: Repudiation of violence against women in BCS,2011-11-30,0.0,Jornada,-0.6249
La Jornada: Will return Querétaro 21 million pesos,2011-11-30,-0.25,Jornada,0.0
"La Jornada: The hottest years on the planet, from 2002 to 2011: WMO specialists",2011-11-30,0.2732,Jornada,0.0
La Jornada: cuts SHCP $ 190 million from budget to INEA,2011-11-30,-0.6249,Jornada,-0.296
"La Jornada: Although it has sufficient resources, INER refuses to build Pavilion 13",2011-11-30,-0.9732,Jornada,0.0
"La Jornada: Mexico, second place in LA with women infected with HIV-AIDS",2011-11-30,-0.9382,Jornada,-0.4939
La Jornada: France maintains opposition to transgenic corn Monsanto: Sarkozy,2011-11-30,0.34,Jornada,0.0
La Jornada: Teachers complain that Gordillo prepares a new charrazo,2011-11-30,0.0258,Jornada,-0.3612
"La Jornada: There are 765,500 young people in a state of absolute inactivity: Conapo",2011-11-30,-0.875,Jornada,0.0
"La Jornada: Armed conflicts and violence, among the circumstances that violate childhood",2011-11-30,0.34,Jornada,-0.872
La Jornada: Experts from the UNAM and Naples propose to modify Newton's law,2011-11-30,-0.3182,Jornada,0.0
La Jornada: Agreement of Sedena with Telmex,2011-11-30,0.0,Jornada,0.4939
La Jornada: Deputies reform Infonavit Law to return funds to workers,2011-11-30,-0.1027,Jornada,0.0
"La Jornada: The Navy detained the son of Ezequiel Cárdenas Guillén, shot down in 2010",2011-11-30,0.296,Jornada,-0.4019
La Jornada: IMSS denies housing savings back,2011-11-30,-0.2263,Jornada,-0.4215
La Jornada: AMLO reconciled with the national leadership of the PRD,2011-11-30,0.961,Jornada,0.0
The Journey: Confirmed: skull found in Ajusco is the university Adriana Morlett,2011-11-30,0.2732,Jornada,0.0
La Jornada: The TEPJF will resolve nonconformity with the dissemination of messages: electoral councilor,2011-11-30,-0.296,Jornada,0.3818
La Jornada: Executions of parents seeking justice continue unpunished,2011-11-30,-0.9493,Jornada,0.5267
La Jornada: Niega Cordero who will abandon the search for the PAN candidacy,2011-11-30,-0.296,Jornada,-0.4404
"La Jornada: Nobody will win here what they do not get at the polls, warns the president of TEPJF",2011-11-30,-0.8555,Jornada,0.5267
"La Jornada: Without renewing, 5.5 million credentials 03, with 46 days remaining to close the process",2011-11-30,-0.8074,Jornada,0.0
"La Jornada: Indagan in Sinaloa 10 judges, 2 secretaries and an actuary for undue charges to the CFE",2011-11-30,0.8957,Jornada,-0.2732
La Jornada: The PRD condemns Calderón's threats against citizens,2011-11-30,-0.8316,Jornada,-0.7269
La Jornada: Life jail for plagiarists who kill or maim their victims,2011-11-30,-0.9325,Jornada,-0.7906
"La Jornada: Moreno Muñoz requested legal support to Victims, not precautionary measures",2011-11-30,-0.4588,Jornada,0.2263
La Jornada: Moreno Muñoz sought justice despite the threats of his son's plagiarists,2011-11-30,-0.308,Jornada,0.6939
"The Journey: He exaggerated his answer: AMLO; They slandered him, say Cordero and Creel",2011-11-30,-0.979,Jornada,-0.1027
La Jornada: Sicilia demands guarantees for relatives of Nepo and the resignation of the prosecutor,2011-11-30,-0.9153,Jornada,-0.296
La Jornada: The SEP leaves the undersecretary González,2011-11-30,0.0,Jornada,0.0
La Jornada: S & P agency prepares setback for France's credit rating,2011-11-30,-0.7783,Jornada,0.3818
La Jornada: It would be 4% the increase to the minisalarios,2011-11-30,-0.34,Jornada,0.3182
"La Jornada: Veracruz, first in the country with atlas of risk in the municipalities: Noemí Guzmán",2011-11-30,0.0516,Jornada,-0.2732
La Jornada: Looking for PAN and PRD to be issued new call for 3 counselors of the IFE,2011-11-30,-0.91,Jornada,0.0
La Jornada: Flights to Mazatlan and Morelia,2011-11-30,0.0,Jornada,0.0
La Jornada: Felipe Calderón points out tourism difficulties,2011-11-30,-0.9022,Jornada,-0.296
La Jornada: Increased economic risks of the world's leading banks,2011-11-30,-0.4939,Jornada,0.0
La Jornada: They find in Tijuana entrance to a tunnel by which they took drugs to the United States,2011-11-30,0.0516,Jornada,0.4215
La Jornada: Addressing the PRI to renew commission,2011-11-30,0.25,Jornada,0.0
La Jornada: PGR is handed over to hundreds of people who accused Calderón before the ICC,2011-11-30,-0.9538,Jornada,-0.296
La Jornada: American Airlines seeks amparo in the Bankruptcy Law to remain active,2011-11-30,-0.4215,Jornada,0.4019
"La Jornada: PRI, PRD and PVEM ask to withdraw candidacy of Laynez Potisek to be judge of the ICC",2011-11-30,0.2023,Jornada,0.0
The Day: Moody's threatens credit groups,2011-11-30,-0.296,Jornada,0.0
La Jornada: Looking to approve 100 opinions in two weeks,2011-11-30,0.25,Jornada,0.0
The Day: Hospitalize De la Madrid; out of danger,2011-11-30,0.7269,Jornada,-0.5267
La Jornada: New support for Greece approved,2011-11-30,0.91,Jornada,0.6705
La Jornada: Approves the Senate changes to the Law of Printing,2011-11-30,-0.7003,Jornada,0.4019
