article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Yemen: opposition leader will form a government,2011-11-28,0.6808,Jornada,0.0
La Jornada: A convoy with nuclear waste remains stranded near Hamburg,2011-11-28,-0.7184,Jornada,-0.4215
"The Day: Tantawi, get out !, a huge protest at the emblematic Tahrir Square",2011-11-28,0.7964,Jornada,0.1511
La Jornada: Cuban Students Solidarize with AL,2011-11-28,0.5267,Jornada,0.0
La Jornada: Opponents to mining project seek dialogue with Ollanta Humala,2011-11-28,0.1027,Jornada,0.0
"La Jornada: Iraq and Algeria, against sanctions against Syria",2011-11-28,0.0,Jornada,0.0
La Jornada: Warning from Hugo Chavez to Parmalat,2011-11-28,0.0,Jornada,-0.34
La Jornada: Hundreds of indignants march in Madrid,2011-11-28,0.3182,Jornada,0.0
"La Jornada: Iranian Parliament, to reduce relations with GB",2011-11-28,0.0,Jornada,0.0
La Jornada: Child of hostage executed by FARC calls for release,2011-11-28,0.0,Jornada,0.0
La Jornada: They deny plot against Strauss-Kahn,2011-11-28,0.0,Jornada,-0.34
La Jornada: Putin calls traitors to NGOs that have documented electoral irregularities,2011-11-28,0.34,Jornada,0.0
La Jornada: Thousands of Pakistanis repudiate US military presence,2011-11-28,-0.9042,Jornada,0.0
La Jornada: Moderate Islamists win parliamentarians in Morocco,2011-11-28,0.296,Jornada,0.5859
La Jornada: I am a good builder of the myth of LA and my own: James Ellroy,2011-11-28,-0.7003,Jornada,0.4404
La Jornada: I make books that I would like to have existed as a child: Browne,2011-11-28,-0.3818,Jornada,0.3612
"La Jornada: Intolerance, enemy to fight, agree Müller and Vargas Llosa",2011-11-28,0.0516,Jornada,-0.5574
La Jornada: Ephemeral boom in computer illustration: Valeria Gallo,2011-11-28,-0.802,Jornada,0.0
"La Jornada: The Pig, metaphor of the human condition, is funny and cruel",2011-11-28,0.9493,Jornada,-0.2263
La Jornada: Closes festivities the IPN with Carmen to Llorona in the National Auditorium,2011-11-28,-0.296,Jornada,0.4767
La Jornada: Mexico-US transactions increased 18.5% from January to September,2011-11-28,0.4939,Jornada,0.2732
"La Jornada: Increased demand for vehicle armor due to insecurity, according to AMBA",2011-11-28,0.2732,Jornada,-0.296
"La Jornada: After rescue, Ireland comes out of crisis",2011-11-28,0.0,Jornada,-0.2023
La Jornada: Mexico to raise foreign exchange for USD 17 billion in 2012: Sectur,2011-11-28,0.8625,Jornada,0.0
La Jornada: LA protesters raise camp,2011-11-28,0.0,Jornada,-0.2263
La Jornada: Europeans take everything for the crisis,2011-11-28,-0.7269,Jornada,-0.6249
La Jornada: Announces Canacar to cancel investments,2011-11-28,0.1531,Jornada,-0.25
"La Jornada: Progress against evasion, smuggling, corruption and money laundering: SAT",2011-11-28,0.0,Jornada,-0.0772
La Jornada: 69.48% trade balance deficit grows in the third quarter,2011-11-28,0.128,Jornada,-0.4019
"La Jornada: Advantageous for Telcel, the agreement to reduce tariffs: Iusacell",2011-11-28,0.6369,Jornada,0.6908
La Jornada: Chihuahua: oral proceedings will have only one referee,2011-11-28,0.6808,Jornada,0.0
La Jornada: Attacks with explosive devices; No injured,2011-11-28,0.0516,Jornada,-0.7783
La Jornada: Ruben Mendoza seeks to be mayor of Tlalnepantla,2011-11-28,0.0,Jornada,0.0
La Jornada: Deputies of Coahuila will charge 650 thousand pesos,2011-11-28,0.0,Jornada,0.0
La Jornada: Larrazabal may be a candidate: AN,2011-11-28,0.0,Jornada,0.0
La Jornada: The insecurity goes out in NL: Medina,2011-11-28,-0.4019,Jornada,-0.4215
"La Jornada: Peasants of Durango, without resources for a kilo of beans",2011-11-28,-0.4019,Jornada,0.0
La Jornada: Two PAN candidates are registered in Yucatán,2011-11-28,0.0,Jornada,0.0
"La Jornada: Barter, a form of commerce that endures in Zacualpan since the pre-Hispanic period",2011-11-28,-0.34,Jornada,0.0
La Jornada: Norm of Semarnat will affect jobs: IP,2011-11-28,-0.4215,Jornada,0.0
La Jornada: Sagarpa is asking for an emerging program of maize sowing in the south and southeast of the country,2011-11-28,-0.6124,Jornada,0.0
La Jornada: Water tariffs in Mazatlan to increase 18%,2011-11-28,0.0,Jornada,0.3182
La Jornada: Guerrero teachers will fight against Gordillo,2011-11-28,0.0,Jornada,-0.3818
"La Jornada: Public safety and healthy finances, priorities for Tamaulipas: Torre",2011-11-28,0.6369,Jornada,0.6705
La Jornada: 11 prisoners escaped from Cholula prison,2011-11-28,0.743,Jornada,-0.765
"La Jornada: Only apparent, the economic recovery of the aviation sector",2011-11-28,0.651,Jornada,0.0
La Jornada: Call for environmentalists to reach global agreement in Durban,2011-11-28,0.6597,Jornada,0.5106
La Jornada: Iraq Signs Gas Agreement with Shell and Mitsubishi,2011-11-28,0.7506,Jornada,0.4939
La Jornada: They present initiative that seeks to regulate the practice of aesthetic medicine,2011-11-28,-0.765,Jornada,0.0
La Jornada: Producers will compensate for the lack of support with the Zero Coupon: Juan Guerra,2011-11-28,-0.9423,Jornada,0.1027
La Jornada: State public universities will cut 11% in extraordinary resources,2011-11-28,0.6705,Jornada,-0.2732
"La Jornada: Two pesos on average, real increase to the minimum wage in the six years",2011-11-28,0.0,Jornada,0.3182
La Jornada: 900 weapons seized in the port of Lázaro Cárdenas,2011-11-28,-0.296,Jornada,-0.4404
"The Day: AN, the most democratic party in the country, says Vázquez Mota",2011-11-28,-0.8555,Jornada,0.4549
La Jornada: Profedet Reminder on payment of Christmas bonus,2011-11-28,-0.4588,Jornada,0.5423
La Jornada: The IFE will follow after this session,2011-11-28,-0.9332,Jornada,0.0
"La Jornada: Protested by Sergio Hidalgo, new director of Issste; Promises transparency",2011-11-28,0.5719,Jornada,0.2732
La Jornada: Llama Rivera Carrera not to fall into defeatism against violence,2011-11-28,-0.8176,Jornada,-0.7506
La Jornada: The unity of the left made the PRI change strategy: Ebrard,2011-11-28,0.0,Jornada,0.0
"La Jornada: Peña Nieto says he is the enemy of the loaded, but gladly accepts the support of the PRI machinery",2011-11-28,-0.3182,Jornada,0.81
"La Jornada: The country wants to leave behind the fury, says Peña Nieto when registering like precandidato",2011-11-28,0.2263,Jornada,-0.34
La Jornada: Senators seek to reduce growing insecurity on country roads and highways,2011-11-28,-0.0772,Jornada,-0.2732
