article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Gaddafi buried somewhere in the Sahara desert after five days of displaying the corpse,2011-10-26,-0.802,Jornada,-0.5719
La Jornada: Chilean students interrupt business meeting; They are demanding tax breaks,2011-10-26,0.0,Jornada,-0.5106
The Day: EU accuses Asians of bombing Iran,2011-10-26,0.6808,Jornada,-0.34
La Jornada: Hawaii Remains of Japan's Tsunami,2011-10-26,0.0,Jornada,0.0
La Jornada: More foreigners kidnapped in Somalia,2011-10-26,0.0,Jornada,0.0
La Jornada: Kidnapping of children grows in Colombia,2011-10-26,0.0,Jornada,0.0
La Jornada: Overwhelming condemns blockade of Cuba at UN Assembly,2011-10-26,0.5719,Jornada,-0.5106
The Journey: Breaks truce between opposition and Yemeni government of Ali Abdullah Saleh; 15 dead,2011-10-26,-0.9118,Jornada,-0.6486
The Day: 459 already killed by the earthquake in Turkey; The bailouts continue,2011-10-26,-0.1531,Jornada,-0.6705
"The Journey: Fidel Castro: evident, the need to end the embargo",2011-10-26,0.0,Jornada,0.0
La Jornada: Approves Uruguayan Senate bill to judge repressors of the dictatorship,2011-10-26,-0.9643,Jornada,-0.128
La Jornada: Report AI abuse and torture opponents in hospitals in Syria,2011-10-26,-0.7579,Jornada,-0.8442
La Jornada: Dismantle in US cold war bomb,2011-10-26,-0.875,Jornada,-0.7964
La Jornada: Evo Morales promulgates law that cancels the construction of the Amazonian highway,2011-10-26,0.8271,Jornada,-0.2263
La Jornada: Hugo Chavez has 53.1% of popularity,2011-10-26,0.0,Jornada,0.4767
La Jornada: Murder of trade unionists in Brazil,2011-10-26,0.0,Jornada,-0.6908
La Jornada: An airport closes the government of Thailand,2011-10-26,-0.3818,Jornada,0.0
"La Jornada: Discreet patrols of the state police and complaints about road works, on the second weekend",2011-10-26,-0.5267,Jornada,-0.4019
"La Jornada: It's a recording, right? No, we're live, said the reader, and came out of a booth",2011-10-26,-0.6808,Jornada,-0.296
La Jornada: Rossana Cervantes explores the masculine body before the recurrent use of the woman in the art,2011-10-26,-0.1779,Jornada,0.0
"La Jornada: Staged The Iliad, stripped of the gods, in the version of Alessandro Baricco",2011-10-26,-0.6908,Jornada,0.0
La Jornada: I only wait for open ears; Music does not make people: Hillier,2011-10-26,0.4019,Jornada,0.0
La Jornada: More than 30 teachers and ensembles will participate in Instrumenta Oaxaca,2011-10-26,0.4939,Jornada,0.0
"La Jornada: Police crackdown on Occupy Oakland activists, arrests more than 23 in Dallas",2011-10-26,0.4939,Jornada,-0.4404
La Jornada: Mexico to Host Meeting of G-20 Tourism Ministers,2011-10-26,0.0,Jornada,0.0
La Jornada: 54% increase in foreign direct investment in AL in the first half,2011-10-26,0.0,Jornada,0.3182
"La Jornada: Dismisses Telmex's mandate to suspend emissions from Uno TV, claims Azteca TV",2011-10-26,-0.6808,Jornada,-0.3182
"La Jornada: Repsol celebrates council, with Pemex and Sacyr pact on the brink of rupture",2011-10-26,0.7579,Jornada,0.5719
"La Jornada: With strict adherence to the law, the SFP will analyze complaint against De Swaan",2011-10-26,0.5267,Jornada,-0.296
"La Jornada: By the crisis, this year AL will grow less than estimated: BM",2011-10-26,0.4404,Jornada,-0.6249
"La Jornada: Promoting adventure tourism, ask in Chiapas",2011-10-26,0.6705,Jornada,0.5859
La Jornada: Pemex spent 55 cents of every dollar of exports,2011-10-26,-0.296,Jornada,0.0
La Jornada: Europe would be better off if it sank: Krugman,2011-10-26,0.6124,Jornada,0.4404
La Jornada: Mexico will not meet the goal of 50 million tourists per year: Alemán Magnani,2011-10-26,0.0,Jornada,0.0
La Jornada: Only something tremendously catastrophic would affect the financial system: BdeM,2011-10-26,-0.5267,Jornada,-0.5413
La Jornada: Offers ASF review deal,2011-10-26,-0.5267,Jornada,0.0
"La Jornada: Almost 300,000 victims in Tabasco",2011-10-26,-0.25,Jornada,-0.2551
La Jornada: Eluden candidates in Michoacán define positions on abortion,2011-10-26,-0.7269,Jornada,0.0
La Jornada: Postponed strike in agrarian university,2011-10-26,0.0,Jornada,-0.3182
La Jornada: Urge Congress to approve $ 950 million loan for reconstruction,2011-10-26,-0.891,Jornada,0.0
La Jornada: Three feminicides in Morelos; Go 48 in the year,2011-10-26,0.128,Jornada,0.0
La Jornada: Subejerce Guanajuato funds for security,2011-10-26,0.0,Jornada,0.34
La Jornada: Resources of the Fonden to 8 municipalities of Veracruz,2011-10-26,0.0,Jornada,0.0
La Jornada: 2 suspected traffickers identified,2011-10-26,0.0,Jornada,-0.2263
La Jornada: Emergency declared in Comalcalco and Paraíso,2011-10-26,-0.7184,Jornada,-0.3818
La Jornada: Demand to define legal status of 25 policemen,2011-10-26,0.0,Jornada,0.0
"La Jornada: Cutting vouchers, bonuses and medicines to former agents",2011-10-26,-0.296,Jornada,0.4767
La Jornada: Guilty driver of accident in Huixquilucan,2011-10-26,-0.6486,Jornada,-0.7096
La Jornada: Swap guns for computers,2011-10-26,-0.8176,Jornada,0.0
La Jornada: The Yucatecan government will evacuate 6 thousand inhabitants before the imminent arrival of Rina,2011-10-26,-0.0516,Jornada,0.0
"La Jornada: Suspended, the elections in indigenous zones",2011-10-26,-0.296,Jornada,-0.4767
La Jornada: Thieves submit to police and steal weapons,2011-10-26,-0.25,Jornada,-0.8555
"La Jornada: Villagers of Centla, abandoned before the overflow of the Grijalva",2011-10-26,-0.6808,Jornada,-0.4588
La Jornada: Guerrero: demand hydraulic works,2011-10-26,0.0,Jornada,-0.128
La Jornada: Juárez cops kidnap youths involved in campaign for children,2011-10-26,-0.128,Jornada,0.0
La Jornada: Send the CNDH recommendation to print free text in Braille,2011-10-26,-0.8271,Jornada,0.5106
The Day: Destroyed in Tuxtla 871 weapons that were changed by laptops,2011-10-26,-0.9806,Jornada,-0.7269
La Jornada: AMC document with recommendations to the future president,2011-10-26,-0.7269,Jornada,0.0
La Jornada: Insufficient resources for good medical care: Founding,2011-10-26,0.6597,Jornada,0.7269
La Jornada: Inauguration agency of the MP that will attend University City and neighboring area,2011-10-26,0.5267,Jornada,0.0
La Jornada: Cofepris will release the first generic registrations of sildenafil (Viagra),2011-10-26,0.5719,Jornada,0.0
La Jornada: One of every 5 inhabitants of the world lives in extreme poverty: UNFPA,2011-10-26,-0.7506,Jornada,-0.5106
"La Jornada: IMSS only receives 90% of recipes, accepts director",2011-10-26,-0.7269,Jornada,0.3182
"La Jornada: Forest plantations and livestock, State priorities: Greenpeace",2011-10-26,-0.7906,Jornada,0.0
"La Jornada: Despite pressures from lobbyists, senators approve the law of organ donation",2011-10-26,-0.6249,Jornada,-0.3182
La Jornada: Trigo Tavera confirms its interest in contending for the rectory,2011-10-26,0.4215,Jornada,0.4588
La Jornada: Drinking coffee reduces risk of developing skin cancer,2011-10-26,0.0,Jornada,-0.7579
La Jornada: There is a deficit of $ 9 billion in science: AMC,2011-10-26,-0.7269,Jornada,-0.4019
La Jornada: Study stirs controversy on the benefit of mammograms,2011-10-26,-0.946,Jornada,0.4588
La Jornada: The US government will vaccinate children against HPV,2011-10-26,-0.8316,Jornada,0.0
"The Day: John McCarthy, the pioneer of artificial intelligence",2011-10-26,0.0,Jornada,0.4767
"La Jornada: The idea was AN, clarifies Lamb",2011-10-26,-0.5267,Jornada,0.2263
La Jornada: Gives the IFE to most broadcasters deadlines of up to four days to broadcast spots,2011-10-26,0.9136,Jornada,0.0
La Jornada: Casino Royale: prepare five appropriations,2011-10-26,-0.8442,Jornada,0.0
"La Jornada: Increasingly serious, the global crisis of employment in the youth sector, warns the ILO",2011-10-26,-0.9753,Jornada,-0.7003
"La Jornada: Slaves, thousands of poor in Brazil",2011-10-26,-0.8176,Jornada,-0.4767
La Jornada: Ask the Senate to the PGR investigate the indebtedness of the state of Coahuila,2011-10-26,-0.6808,Jornada,0.0
La Jornada: LFC retirees demand lawmakers to hold Lozano and Vivanco accounts,2011-10-26,0.0,Jornada,-0.128
La Jornada: UK and Mexico tackle G-20 role,2011-10-26,0.0,Jornada,0.0
La Jornada: Espino predicts the defeat of the PAN in 2012,2011-10-26,-0.296,Jornada,-0.4588
La Jornada: Brazilian politician recommends PRD to overcome internal conflicts,2011-10-26,-0.5106,Jornada,-0.1779
La Jornada: Lula presents Pemex-Petrobras partnership,2011-10-26,-0.9001,Jornada,0.0
La Jornada: Court reverses historical theses on interpretation of the Constitution,2011-10-26,-0.4019,Jornada,0.0
