article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Letter from Arnaldo Otegi,2011-10-27,-0.8854,Jornada,0.0
La Jornada: The Ibero-American Summit of Governors begins tomorrow; Analyze the role of the State,2011-10-27,-0.743,Jornada,0.0
La Jornada: 12 Argentine repressors receive life sentences,2011-10-27,0.1779,Jornada,-0.4588
The Day: Reveals Qatar that sent soldiers to Libya to fight Gaddafi,2011-10-27,0.0,Jornada,-0.3818
"La Jornada: The mistrust in the US government, at its highest point in history",2011-10-27,-0.7096,Jornada,0.0
"La Jornada: Restoring rights and freedoms, demands Arnaldo Otegi to the Spanish State",2011-10-27,-0.7845,Jornada,0.5267
La Jornada: Colombian students demand to withdraw privatization project of education,2011-10-27,-0.5994,Jornada,-0.128
La Jornada: New confrontation of former Russian mayor Yuri Luzhkov with Kremlin authorities,2011-10-27,-0.7506,Jornada,-0.3182
La Jornada: Uruguayan deputies debate law that declares imprescriptible the crimes of the military regime,2011-10-27,-0.9246,Jornada,0.0
La Jornada: Commission to investigate oppressors in Brazil,2011-10-27,0.3182,Jornada,0.0
La Jornada: Inauguration in the Hall of Public Art Siqueiros sample of Roman Signer,2011-10-27,0.0,Jornada,0.0
La Jornada: Azoro of urban night owls before the 10 mysterious giants of Rivelino,2011-10-27,0.2263,Jornada,0.0
La Jornada: Schumann's music detonated the artistic vein of about twenty children,2011-10-27,0.5994,Jornada,0.0
"La Jornada: Music is emancipation and freedom, says Alif Naaba",2011-10-27,0.8625,Jornada,0.6369
La Jornada: Call for the first Inter-American Literature Prize Carlos Montemayor,2011-10-27,0.3612,Jornada,0.5106
La Jornada: Experts are opposed to installing light and sound in the pyramids of Teotihuacan,2011-10-27,-0.5267,Jornada,0.0
La Jornada: Europe agrees with banks to reduce Greek debt by 50%,2011-10-27,0.6705,Jornada,-0.1779
"La Jornada: Mexico has grown 2% on average from 2000 to 2010, according to Imco",2011-10-27,0.0,Jornada,0.0
La Jornada: Generates Mexican subsidiary of BBVA more profits than the parent company in Spain,2011-10-27,-0.296,Jornada,0.4927
"La Jornada: In nine months Gruma reached a net profit of $ 4,653 million",2011-10-27,0.0,Jornada,0.5106
La Jornada: Del Rivero refuses to abandon Repsol's council and provokes nervousness,2011-10-27,0.8442,Jornada,-0.7506
La Jornada: Reclaim Telmex to be denied access to pay tv,2011-10-27,0.4939,Jornada,-0.5106
La Jornada: Calderón boasts of the good march of the national economy,2011-10-27,-0.5638,Jornada,0.4404
La Jornada: Grupo Salinas presents complaint to the Public Service against the owner of Cofetel,2011-10-27,-0.5267,Jornada,-0.296
La Jornada: Almost half of Americans agree with approaches from Occupy Wall Street,2011-10-27,-0.3818,Jornada,0.3612
Former Goldman Sachs administrator receives 100 years in prison,2011-10-27,0.0,Jornada,-0.5106
La Jornada: Suárez Coppel was not dismissed from the board of the Spanish firm: Pemex,2011-10-27,-0.296,Jornada,0.0
"La Jornada: In 3 years, one million cardholders canceled plastics",2011-10-27,0.0,Jornada,0.0
La Jornada: Today deadline for Med Atlántica to deposit $ 250 million,2011-10-27,-0.7964,Jornada,0.0
La Jornada: Report in Tabasco 328 thousand affected,2011-10-27,0.4939,Jornada,-0.1531
"La Jornada: Surrounded by police and soldiers, Lozano went to Juarez to justify a lack of jobs",2011-10-27,-0.9559,Jornada,-0.3182
La Jornada: Leaders disappear from merchants,2011-10-27,0.0,Jornada,-0.2263
La Jornada: Blake and Godoy sign protocol for election,2011-10-27,0.0,Jornada,0.0
"La Jornada: The Ministry of Health of Guerrero asks $ 1,500 million extra",2011-10-27,-0.875,Jornada,0.0
La Jornada: $ 2 billion damages in Colima,2011-10-27,-0.6249,Jornada,-0.4404
La Jornada: Luisa Calderón proposes marketing material for secondary school,2011-10-27,0.4404,Jornada,0.0
La Jornada: Apprehended councilor of the communal police,2011-10-27,-0.6908,Jornada,0.0
La Jornada: Desecha SCJN amparo of Amalia García,2011-10-27,-0.2732,Jornada,0.0
The Journey: Rina weakens; Today would land between Cozumel and Playa del Carmen,2011-10-27,-0.296,Jornada,-0.3182
La Jornada: The driver of the injured minibus will be penalized in Huixquilucan,2011-10-27,-0.802,Jornada,-0.4019
La Jornada: The TEPJF will appoint two counselors from Sonora,2011-10-27,-0.875,Jornada,0.0
La Jornada: Nominated third police chief in one week,2011-10-27,0.34,Jornada,0.0
