article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Two trains collide and a bus in Argentina; 11 dead and 228 injured,2011-09-14,-0.969,Jornada,-0.8074
"The Day: Al Qaeda celebrates 9/11; Arabs no longer fear US, says Zawahiri",2011-09-14,-0.875,Jornada,-0.1779
"La Jornada: Obligation, not choice, to recognize the Palestinian state: Turkish premier",2011-09-14,0.802,Jornada,0.0
La Jornada: Evo Morales reiterates to ethnicities desire for dialogue,2011-09-14,0.0,Jornada,0.4019
La Jornada: Argentine oral court acquitted of Carlos Menem in question for arms smuggling,2011-09-14,-0.9716,Jornada,-0.2732
"La Jornada: Disappointed, Bill Richardson returns to the US; Could not speak in Cuba with Gross",2011-09-14,-0.8316,Jornada,-0.7351
La Jornada: Gaddafi and CNT forces have violated human rights: AI,2011-09-14,-0.9337,Jornada,-0.5267
La Jornada: Two months advance in Venezuela,2011-09-14,0.0,Jornada,0.0
La Jornada: Taliban attack US embassy and NATO office in Kabul,2011-09-14,-0.9403,Jornada,-0.4767
La Jornada: Unemployment of Chilean health workers,2011-09-14,0.3612,Jornada,-0.4404
La Jornada: Ajmadineyad announces the release of two Americans accused of spying in Iran,2011-09-14,-0.296,Jornada,-0.296
La Jornada: Investigate former president of Ecuador,2011-09-14,0.0,Jornada,0.0
La Jornada: New scenic forum for the east of the city,2011-09-14,0.7096,Jornada,0.0
"La Jornada: Digitize all the collection of the National Museum of Anthropology; They carry 1,500 pieces",2011-09-14,-0.7506,Jornada,0.0
"La Jornada: Music is a divine language, it can not be earthy, says Rodrigo Ruiz",2011-09-14,-0.6808,Jornada,0.5574
The Day: Friedrich Katz transcended the glory of his own interpretation: Claudio Lomnitz,2011-09-14,-0.8074,Jornada,0.5423
"The Day: Richard Hamilton, father of British pop art died; Watered down in mass culture",2011-09-14,-0.9382,Jornada,-0.5574
La Jornada: Mexican graphic art in cultural center of Texcoco,2011-09-14,0.2023,Jornada,0.0
La Jornada: Agustín Benítez proposes a new look at the student achievement of 68,2011-09-14,-0.4588,Jornada,0.0
"La Jornada: Reading and writing are my way of being in the world, in life: Barbara Jacobs",2011-09-14,-0.3641,Jornada,0.0
La Jornada: Intellectuals reject the suppression of the humanities in educational programs,2011-09-14,-0.4588,Jornada,-0.0258
La Jornada: Pemex executives would have committed a criminal offense,2011-09-14,-0.9782,Jornada,-0.5106
La Jornada: Pemex suspended the placement of certificates for $ 15 billion,2011-09-14,-0.2263,Jornada,-0.4767
The Day: Swaan's criticism of the accommodative discourse of operators,2011-09-14,0.0,Jornada,-0.4404
"La Jornada: SCT: indispensable, subsidies to offer TVs and decoders",2011-09-14,0.0,Jornada,0.0
La Jornada: Potential oil spill in Louisiana,2011-09-14,-0.5267,Jornada,0.0
La Jornada: In October Pemex will begin the second round of contracts with the IP: Fluvio Ruiz,2011-09-14,-0.8271,Jornada,0.0
La Jornada: Governors and mayors will cry out for independence surrounded by police,2011-09-14,-0.9618,Jornada,-0.4767
La Jornada: Producers of milk from Coahuila and Jalisco demand a price increase,2011-09-14,0.34,Jornada,0.2023
"La Jornada: In extra period, the veracruzano Congress will typify the disturbance of public order",2011-09-14,-0.9042,Jornada,-0.3818
La Jornada: One of the young detainees arrested after raid on Edomex,2011-09-14,-0.9468,Jornada,-0.4767
La Jornada: Demand 10 municipalities of Aguascalientes,2011-09-14,-0.4215,Jornada,-0.128
La Jornada: Two dead and 24 injured in Mexico-Pachuca,2011-09-14,0.34,Jornada,-0.7906
La Jornada: Peña Nieto: in the PRI there is no charge,2011-09-14,-0.765,Jornada,-0.296
La Jornada: From Veracruz there are many good things to say: Javier Duarte,2011-09-14,0.8225,Jornada,0.4404
"La Jornada: Time bomb, having more than 7 million ninis, says specialist",2011-09-14,-0.5267,Jornada,-0.4939
La Jornada: CCH student complaints continue,2011-09-14,-0.5423,Jornada,-0.4019
La Jornada: UNAM and GDF sign agreement to offer safe transportation,2011-09-14,0.1531,Jornada,0.7269
La Jornada: Welcome to Chiapas every messenger of peace: Sabines,2011-09-14,0.9509,Jornada,0.7579
"La Jornada: Correct, the data of the UNAM",2011-09-14,-0.5267,Jornada,0.0
"La Jornada: Legislation in the Federal District, basis of the ruling to reverse anti-abortion laws",2011-09-14,0.0,Jornada,0.0
La Jornada: They reject authorities that exist in the country more than 7 million ninis,2011-09-14,-0.5267,Jornada,-0.4019
"La Jornada: By age and gender, older adults are discriminated more",2011-09-14,-0.7003,Jornada,0.0
"La Jornada: Mexico, the only country in the OECD to study more does not give advantages",2011-09-14,-0.5859,Jornada,-0.2755
The Day: The IUD is not a risk factor for developing cervical cancer,2011-09-14,-0.9888,Jornada,-0.5553
Paternity Reduces Testosterone Levels,2011-09-14,-0.6808,Jornada,0.0
"La Jornada: I will work closely with security officials, says Earl Anthony Wayne, the new US ambassador.",2011-09-14,-0.0772,Jornada,0.34
La Jornada: Communiqué of the Good Governance Board,2011-09-14,-0.7906,Jornada,0.4404
La Jornada: Award favorable to Ifai,2011-09-14,0.4019,Jornada,0.765
La Jornada: Today the PAN decides if it sanctions the mayor Fernando Larrazabal,2011-09-14,0.128,Jornada,0.0
"La Jornada: Reforming anti-drug policies, LA experts propose",2011-09-14,-0.7845,Jornada,0.0
La Jornada: Bishop Vera López went to the Vatican to respond on homosexuals,2011-09-14,-0.296,Jornada,0.0
La Jornada: The Navy will have a better legal framework to act against organized crime,2011-09-14,0.4588,Jornada,-0.0258
La Jornada: The CJF will file a complaint before the PGR against former judge Álvaro Tovilla León,2011-09-14,-0.5994,Jornada,-0.296
The Day: Senators will make a brief gloss,2011-09-14,0.5423,Jornada,0.0
La Jornada: Again less resources for universities,2011-09-14,0.4939,Jornada,0.0
La Jornada: Poor quality fuels for the sub-exercises at Pemex: Cemda,2011-09-14,-0.8885,Jornada,-0.4767
La Jornada: The government sees the crisis quite calmly: Meade,2011-09-14,0.1027,Jornada,-0.3626
"La Jornada: Reinserción laboral, basis of the agreement with the SME to evict the Zócalo",2011-09-14,-0.0772,Jornada,0.4939
"La Jornada: Three federal agents die trying to stop extortionists, in the Edomex",2011-09-14,0.6908,Jornada,-0.7269
"La Jornada: Mexican copper mine dies due to security flaws, denounces",2011-09-14,-0.6808,Jornada,-0.128
La Jornada: Call Merkel to avoid uncontrolled suspension of payments in Greece,2011-09-14,-0.9517,Jornada,-0.4939
"La Jornada: The armed forces use dangerous detectors, alert several scientists",2011-09-14,-0.9274,Jornada,-0.2263
La Jornada: Senators call on Governor's report on permits for casinos,2011-09-14,0.4939,Jornada,0.0
"La Jornada: The budget project of the Executive would generate more poverty, says the PRI",2011-09-14,-0.6705,Jornada,-0.5563
"La Jornada: In Torreon, more attacks against police",2011-09-14,-0.6908,Jornada,-0.4927
The Journey: The pressure on the exchange rate persists; The foreign exchange reserve decreases by 583 mdd,2011-09-14,-0.296,Jornada,-0.296
"La Jornada: With the permission of authorities, threats to evangelicals",2011-09-14,-0.8519,Jornada,-0.4215
"La Jornada: Paramilitaries besiege Zapatista town and threaten to kill everyone, denounces JBG",2011-09-14,0.5859,Jornada,-0.8807
"La Jornada: Mexico is better than 11 years ago, says Calderón in report on Millennium Goals",2011-09-14,-0.8225,Jornada,0.4404
"The Journey: Creel insists on discussing with Vázquez Mota and Cordero; The electoral law is not violated, says",2011-09-14,0.0,Jornada,0.4168
La Jornada: The indigenous Jacinta Francisco Marcial still expects justice,2011-09-14,-0.9764,Jornada,0.5267
La Jornada: Postal stamp for anniversary in the IMSS,2011-09-14,0.0,Jornada,0.0
La Jornada: Operational application for national holidays,2011-09-14,0.0,Jornada,0.3818
La Jornada: Salinas refuses to debate for fear of undressing their outrages: AMLO,2011-09-14,-0.9062,Jornada,-0.7579
La Jornada: They receive juchitecos to the Caravan for Peace and question local authorities,2011-09-14,-0.6908,Jornada,0.5423
"La Jornada: Regulation of radio and tv, to review today",2011-09-14,-0.6597,Jornada,0.0
La Jornada: Documenting 48 kidnappings and seven murders of teachers in Acapulco,2011-09-14,0.0,Jornada,-0.6124
La Jornada: One in six Americans live in poverty,2011-09-14,-0.9839,Jornada,-0.5106
La Jornada: PAN and PRD partially approve political reform; PRI rejects it,2011-09-14,-0.6597,Jornada,-0.4939
La Jornada: Passage of legislators around Peña,2011-09-14,0.7269,Jornada,0.0
"La Jornada: Reduction of maternal deaths and environmental care, pending issues",2011-09-14,-0.9274,Jornada,0.4939
La Jornada: A cadet calls for leaving fearful attitudes and assume responsibilities,2011-09-14,-0.5267,Jornada,-0.4939
La Jornada: Deputies oppose the bills handed over by Calderón,2011-09-14,-0.802,Jornada,0.0
"La Jornada: Adjust security plan with Mexico, ask in US",2011-09-14,0.5859,Jornada,0.34
La Jornada: About 300 hitmen take town of Zacatecas to clean it of Zetas,2011-09-14,-0.25,Jornada,0.4019
