article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: One thousand 700 forced disappearances in 12 years, recognizes the government of Coahuila",2012-04-15,0.9118,Jornada,-0.4588
La Jornada: Demolish 31 schools in Guerrero damaged by earthquakes,2012-04-15,-0.8176,Jornada,-0.4404
"La Jornada: Without water, 250 thousand inhabitants of Sinaloa; Drought is aggravated",2012-04-15,0.0,Jornada,-0.4404
La Jornada: Flaggers in Morelos start their campaigns with soulless acts,2012-04-15,0.0,Jornada,0.0
La Jornada: Companies cancel investment in Juárez by declarations of Brownfield: mayor,2012-04-15,-0.4019,Jornada,-0.25
La Jornada: Indigenous people relocate to San Cristóbal,2012-04-15,0.0,Jornada,0.0
La Jornada: Accused of contempt of Nuevo Leon's council,2012-04-15,0.0258,Jornada,-0.7184
"La Jornada: Attack of the PRD's headquarters against opposition candidates in Macuspana, Tabasco",2012-04-15,-0.8658,Jornada,-0.4767
La Jornada: The law applies to two suspected plagiarists in Puebla; Lynch to another,2012-04-15,0.886,Jornada,-0.2263
"La Jornada: In 7 days, 40 forest fires in Chihuahua",2012-04-15,-0.34,Jornada,0.0
"La Jornada: In 14 hours, 4 explosions and two earthquakes in the Popocatepetl",2012-04-15,-0.6249,Jornada,0.0
"La Jornada: The collective Flower of Maguey, shows the cultural exchange between Mexico and Japan",2012-04-15,0.6486,Jornada,0.0
The Journey: Multidimensional Fiction,2012-04-15,-0.1027,Jornada,0.0
La Jornada: Irruption of a gothic girl,2012-04-15,-0.296,Jornada,0.0
"La Jornada: Montan poetic work, more than biographical about Abramovic",2012-04-15,-0.9595,Jornada,0.0
La Jornada: Life of a Soldier,2012-04-15,-0.296,Jornada,0.0
La Jornada: They carry to the scene the feeling of guilt that materializes in the inner enemy,2012-04-15,-0.9186,Jornada,-0.6249
La Jornada: Symbolism and mystery,2012-04-15,-0.5859,Jornada,0.0
La Jornada: That dark object of desire,2012-04-15,-0.3612,Jornada,0.4019
La Jornada: Agustín Benítez collects in a novel the voices of the young brigadistas of the 68,2012-04-15,-0.5719,Jornada,0.3182
La Jornada: Carlos Pascual criticizes ecclesiastical fanaticism in When Angels Cry,2012-04-15,-0.4939,Jornada,-0.6705
"La Jornada: Calderón says that narco began to fill state functions, reveals Humala",2012-04-15,-0.5994,Jornada,0.0
The Day: Barack Obama reiterates his rejection of the legalization of drugs,2012-04-15,-0.5719,Jornada,-0.5423
