article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Organizations will demand to modify the economic and social model in the country,2012-01-29,-0.7184,Jornada,-0.128
La Jornada: In our country instruction must be universal and free: Peimbert,2012-01-29,-0.25,Jornada,0.5106
"La Jornada: South of NL, another region in contingency due to famine",2012-01-29,-0.9661,Jornada,0.0
La Jornada: No one will be excluded from aid for drought,2012-01-29,0.0,Jornada,-0.5574
La Jornada: Proposed UAM increase of 6.4% for administrative and academic,2012-01-29,-0.296,Jornada,0.3182
La Jornada: Nearly a decade of improvisation led to deterioration in education,2012-01-29,-0.296,Jornada,0.0
"La Jornada: 300,000 farmers benefit from agreements with the federal government",2012-01-29,-0.4767,Jornada,0.6249
La Jornada: Cancels Arab League observer mission in Syria,2012-01-29,-0.8176,Jornada,-0.2263
La Jornada: 36 mass graves found in Iraq,2012-01-29,0.0,Jornada,-0.296
La Jornada: Rescuing another body of the Costa Concordia,2012-01-29,-0.5719,Jornada,0.0
The Day: IAEA inspectors arrive in Iran to seek settlement of disputes with the West,2012-01-29,-0.5423,Jornada,-0.2732
"La Jornada: Long, the process to Ríos Montt: NGO",2012-01-29,0.0,Jornada,0.0
La Jornada: Group threatens to attack Nigerian city,2012-01-29,0.0,Jornada,-0.6908
La Jornada: Raúl Castro opens PCC conference to end life sentences,2012-01-29,0.34,Jornada,0.0516
La Jornada: Fire in Peruvian rehabilitation center for drug addicts and alcoholics leaves 26 dead,2012-01-29,-0.8658,Jornada,-0.7717
La Jornada: Five persons arrested in connection with the case of telephone espionage in GB,2012-01-29,0.7003,Jornada,-0.4767
La Jornada: The head of the Russian Electoral Commission is happy to appear before the Parliament,2012-01-29,-0.9217,Jornada,0.5719
La Jornada: Lugo takes over functions after overcoming cancer,2012-01-29,0.0,Jornada,-0.6597
The Day: Doctor led US to bin Laden's hideout,2012-01-29,-0.5994,Jornada,0.0
"La Jornada: In the face of impunity, disappearances and torture continue, denounce",2012-01-29,0.0516,Jornada,-0.743
La Jornada: Resume Comed your order,2012-01-29,-0.8074,Jornada,0.0
La Jornada: SME denies attacking pre-candidate,2012-01-29,-0.5267,Jornada,-0.7003
La Jornada: Tragic weekend: report 62 murders in seven entities,2012-01-29,-0.8658,Jornada,-0.7906
La Jornada: The IFE ordered the withdrawal of three spaces by Vázquez Mota; Analyze sanction,2012-01-29,-0.8225,Jornada,0.0258
La Jornada: Honeycomb will have its own candidate,2012-01-29,0.0,Jornada,0.0
La Jornada: Pope's visit will not end violence: Pierre,2012-01-29,-0.8126,Jornada,0.5096
"La Jornada: Wary of the left candidates who give gifts by votes, ask AMLO",2012-01-29,-0.5106,Jornada,0.0
La Jornada: Not punished by media pressure: Government,2012-01-29,-0.5267,Jornada,-0.6369
La Jornada: Priístas propose to subtract powers to the President in the management of the economy,2012-01-29,-0.8834,Jornada,0.0
La Jornada: Senate lags behind on human rights reform,2012-01-29,-0.8074,Jornada,-0.3612
"La Jornada: Out of cowardice, the Court did not prosecute repressors, accuses Pablo Gómez",2012-01-29,-0.9834,Jornada,0.7115
"La Jornada: Industrial companies stop anti-smoking law, says Senator Saro",2012-01-29,0.25,Jornada,-0.296
"La Jornada: Remember José Martí, 159 years after his birth",2012-01-29,0.6369,Jornada,0.0
La Jornada: Officials accused of murdering Ayotzinapa,2012-01-29,-0.128,Jornada,-0.7579
La Jornada: PRI leaves out the PVEM in three candidacies common to the Senate,2012-01-29,0.7845,Jornada,0.0
"La Jornada: The INM presumes achievements; Abuses against migrants continue, experts say",2012-01-29,-0.7783,Jornada,-0.5574
"La Jornada: In 68, Garcia Barragán did not want to give a coup ordered by US: Nazar",2012-01-29,-0.9371,Jornada,-0.0572
La Jornada: The Panista team denounces the purchase of votes in favor of Cordero,2012-01-29,0.5859,Jornada,-0.0516
La Jornada: Polls do not work; Will surprise who will be the anointed of the BREAD: Lamb,2012-01-29,-0.4404,Jornada,-0.2057
La Jornada: Ask Creel to play Osuna Millán,2012-01-29,-0.4019,Jornada,0.34
"La Jornada: Day: surveys, the only method to choose flaggers",2012-01-29,-0.0772,Jornada,0.0
