article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Launched candidate of the PAN of the former Executive of Guanajuato,2012-06-03,-0.0258,Jornada,0.128
La Jornada: Avala NL Indigenous Rights Law,2012-06-03,0.3182,Jornada,0.0
La Jornada: The government of Oaxaca gives another response to section 22 of the SNTE,2012-06-03,-0.6486,Jornada,0.0
La Jornada: Four injured in Morelia,2012-06-03,-0.6369,Jornada,-0.4019
La Jornada: Normalists demand improvements in schools,2012-06-03,-0.296,Jornada,0.2023
"La Jornada: El Chiapaneco Ramos, candidate for the Senate",2012-06-03,0.0,Jornada,0.0
"La Jornada: Harassment denounces residents of Las Conchitas, in the Lacandon jungle",2012-06-03,-0.5994,Jornada,-0.7506
La Jornada: Causes damage in Chihuahua and NL,2012-06-03,0.0,Jornada,-0.4939
The Journey: A small plane crashes in Culiacan; Pilot dies,2012-06-03,0.0,Jornada,0.0
La Jornada: Trail of Iguala closed,2012-06-03,-0.2732,Jornada,0.0
La Jornada: Coparmex: not give in to blackmail of teachers,2012-06-03,0.0,Jornada,0.0
La Jornada: Disclaims AN to its flagrant to the government of Morelos,2012-06-03,-0.8316,Jornada,0.0
La Jornada: In Guerrero the test will not be applied Enlace: Ceteg,2012-06-03,-0.5267,Jornada,0.0
"La Jornada: In Morelia, the Army is asked to look for missing children",2012-06-03,0.7269,Jornada,-0.296
"La Jornada: In a chair looking at a painting, Boris Vikskin found his allegory",2012-06-03,0.1779,Jornada,0.0
La Jornada: Dreams can be dangerous ... for those who do not want to imagine,2012-06-03,0.5719,Jornada,-0.1586
"La Jornada: His life was exciting and always faithful to the street, remember Norma Rivera",2012-06-03,-0.4767,Jornada,0.7269
"La Jornada: María García: the best tribute, keep your file",2012-06-03,0.4767,Jornada,0.6369
"La Jornada: Héctor García dies, one of the great masters of photography",2012-06-03,-0.5267,Jornada,0.6249
La Jornada: An alchemist who converted silver nitrate into gold,2012-06-03,-0.0717,Jornada,0.0
"La Jornada: In Bombay I return to my crib, where I received my first lessons",2012-06-03,-0.9538,Jornada,0.0
La Jornada: Farewell to the last of the classic photojournalists; His voice was the image,2012-06-03,0.8402,Jornada,0.0
La Jornada: Hacking FARC-related page,2012-06-03,0.0,Jornada,0.0
La Jornada: Celebrations begin for the jubilee of Isabel II,2012-06-03,0.0,Jornada,0.0
La Jornada: Judgment sentenced to life sentence to deposed president Hosni Mubarak,2012-06-03,-0.9674,Jornada,0.0516
La Jornada: The US will move most of its warships to the Pacific; Some will target China,2012-06-03,-0.1779,Jornada,-0.1935
La Jornada: King Juan Carlos reappears after surgery,2012-06-03,0.0,Jornada,0.0
"The Journey: The trial is a farce, says the opposition",2012-06-03,-0.5994,Jornada,-0.4019
La Jornada: Reports of arbitrary detentions in Cuba concern UN committee against torture,2012-06-03,-0.9902,Jornada,-0.5994
La Jornada: Several employers of the Argentine countryside are stopped against the updating of the fiscal value of land,2012-06-03,-0.4588,Jornada,0.128
La Jornada: Arab nations urge UN to punish Syria and impose sanctions,2012-06-03,-0.8957,Jornada,-0.6808
La Jornada: Approves the group of Basque political prisoners that ETA abandoned the armed struggle,2012-06-03,-0.9231,Jornada,-0.7096
La Jornada: The Irish fiscal pact of stability is accepted by the Irish,2012-06-03,0.7717,Jornada,0.2732
La Jornada: No papal to hollow promises of politicians,2012-06-03,0.0,Jornada,0.1027
La Jornada: Pope reaffirms clerical celibacy,2012-06-03,0.4019,Jornada,0.0
La Jornada: Pastorela and Days of Grace are imposed on the delivery of the Ariel,2012-06-03,0.8979,Jornada,0.3612
La Jornada: Promulgate rules of internal government for the Legion of Christ,2012-06-03,0.4939,Jornada,0.0
"La Jornada: Juan Chávez Alonso, indigenous leader dies due to an accident at home",2012-06-03,-0.7184,Jornada,-0.4767
La Jornada: CNTE announces more mobilizations against Enlace and the universal examination,2012-06-03,0.25,Jornada,0.0
La Jornada: Devaluation shows fragility of the economy,2012-06-03,0.6597,Jornada,0.0
La Jornada: Denies Spain that needs the European rescue fund; Germany presses it,2012-06-03,-0.7096,Jornada,0.128
La Jornada: Looking for phones to avoid America Movil entering the German market,2012-06-03,0.0,Jornada,-0.296
La Jornada: Increase in rent in AICM threatens Mexicana's only operating unit,2012-06-03,0.0,Jornada,-0.0772
"The US economy faces serious turmoil, says Obama",2012-06-03,-0.8316,Jornada,-0.4215
La Jornada: Low funding for private and development banking,2012-06-03,0.9081,Jornada,-0.2732
