article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Three prias of Tabasco go to the PRD in search of candidacies,2012-03-14,0.4939,Jornada,0.0
La Jornada: Aguascalientes: new secretary of Government,2012-03-14,0.0,Jornada,0.0
La Jornada: Demand to free 22 suspected lynchers,2012-03-14,-0.8779,Jornada,0.2263
"La Jornada: Judge fails against tourism project in the Peninsula of El Mogote, BCS",2012-03-14,0.9674,Jornada,-0.4215
La Jornada: Student of Sinaloa whips up mate,2012-03-14,-0.8779,Jornada,0.0
La Jornada: Michoacán is in danger of social shock due to financial crisis: Vallejo,2012-03-14,-0.9001,Jornada,-0.8779
La Jornada: Veracruz announces austerity plan,2012-03-14,-0.8834,Jornada,0.0
La Jornada: The mayor of Tlapa appears for homicide,2012-03-14,0.0,Jornada,0.0
La Jornada: Esquilma the CFE to peasants: leader,2012-03-14,-0.8519,Jornada,0.0
La Jornada: Exige Toledo remove auditorium cloakroom,2012-03-14,0.1027,Jornada,0.0
La Jornada: They ask to supply edil detained in a lock,2012-03-14,-0.6808,Jornada,-0.4019
La Jornada: Alfaro blames Zambrano for the rupture in Jalisco,2012-03-14,-0.0516,Jornada,-0.4019
La Jornada: Prohibit view of play about sexuality,2012-03-14,0.0,Jornada,0.34
"La Jornada: Affects astronauts stay more than a month in space, says study",2012-03-14,0.0,Jornada,0.0
"La Jornada: Responsible use of transgenics, a weapon to solve global problems",2012-03-14,-0.5267,Jornada,-0.2023
"The Day: Russia plans to send missions to the Moon, Mars, Venus and Jupiter",2012-03-14,0.0,Jornada,0.0
La Jornada: Marks discouragement of Republican primary election in 2 southern US states,2012-03-14,-0.7579,Jornada,-0.4588
La Jornada: Sentencing court to 6 thousand 60 years of prisoner to ex-Guatemalan military by slaughter of peasants,2012-03-14,-0.9382,Jornada,-0.6249
La Jornada: Deputizes Dilma Rousseff to leaders of both chambers of Congress,2012-03-14,-0.5267,Jornada,0.0
La Jornada: Syria: Assad calls for legislative elections amid rebellion against his government,2012-03-14,-0.7783,Jornada,-0.128
La Jornada: The Venezuelan government divulges photographs of Chavez accompanied by his children and grandchildren,2012-03-14,-0.6597,Jornada,0.0
La Jornada: EU calls for halt Israeli imprisonment of Palestinians,2012-03-14,-0.765,Jornada,0.0
"The Day: Obama and Cameron, during a game in Ohio",2012-03-14,-0.1779,Jornada,0.0
La Jornada: Manuel Zelaya founds party in Honduras,2012-03-14,0.5267,Jornada,0.4019
La Jornada: Opposition dies to the Bánzer regime,2012-03-14,-0.4404,Jornada,0.0
"La Jornada: More than 20 years ago, 80 percent of the world's nuclear power plants, the IAEA warns",2012-03-14,0.7269,Jornada,-0.1027
La Jornada: Paramilitary chief accuses former president Uribe,2012-03-14,0.0,Jornada,-0.34
La Jornada: Armed command attacks Afghan delegation to investigate killings of 16 civilians,2012-03-14,-0.765,Jornada,-0.8126
La Jornada: Argentine court ratifies that abortion is allowed after rape,2012-03-14,-0.9753,Jornada,-0.6908
La Jornada: Sarkozy for the first time leads polls,2012-03-14,-0.296,Jornada,0.0
La Jornada: International criteria in the Ayotzinapa case,2012-03-14,-0.296,Jornada,0.0
La Jornada: Cofepris and Profeco sign agreement to avoid risks to health by miracle products,2012-03-14,-0.25,Jornada,0.5719
"La Jornada: Urge to Rescue Global Fund to Fight AIDS, Tuberculosis and Malaria",2012-03-14,0.4939,Jornada,0.1779
La Jornada: National campaign begins in favor of Cabo Pulmo,2012-03-14,-0.0772,Jornada,0.4019
La Jornada: WB loan to reduce dropout rates in secondary school,2012-03-14,0.0,Jornada,0.0
La Jornada: No money to pay wages during a visit to Guanajuato,2012-03-14,-0.743,Jornada,-0.3818
"La Jornada: With a manual, promote water resources in the world",2012-03-14,0.4588,Jornada,0.3818
"La Jornada: Antidoping, mere recommendation that is not sought to generalize: FIMPES",2012-03-14,0.4019,Jornada,0.0
"The Journey: Discounted SEP 2 days of work to 43 thousand mentors: went to a march, accuse",2012-03-14,-0.765,Jornada,-0.1531
La Jornada: Retreat in all entities regarding income: UN,2012-03-14,0.6808,Jornada,0.2023
"La Jornada: The Pope does not come to influence the electoral process, says nuncio Christophe Pierre",2012-03-14,-0.7906,Jornada,0.0
La Jornada: Gives Gruma food aid for drought,2012-03-14,0.3182,Jornada,0.0
La Jornada: Tandem company celebrates 18 years of experience in dance art,2012-03-14,-0.4939,Jornada,0.5719
La Jornada: They hold forum to discuss how to involve the viewer with plays,2012-03-14,-0.7269,Jornada,0.25
La Jornada: They exhibit the nudes of Degas; Your secret garden,2012-03-14,0.1779,Jornada,0.0
La Jornada: The Encyclopaedia Britannica will no longer be printed,2012-03-14,0.0,Jornada,-0.296
"La Jornada: A scene, a reflection that unites Verdi and Wagner with the outraged",2012-03-14,0.0,Jornada,-0.5423
La Jornada: The bibliographic collection of Castro Leal can be consulted from October,2012-03-14,-0.3612,Jornada,0.0
The Jornada: The Ifai orders Pemex to deliver a copy of a sidical agreement for $ 1.7 billion,2012-03-14,0.6908,Jornada,0.4939
"La Jornada: The domestic public debt exceeded $ 4 billion, or 27% of GDP",2012-03-14,0.25,Jornada,-0.3612
"The Journey: Rebekah Brooks, former protege of media mogul Rupert Murdoch",2012-03-14,0.8519,Jornada,0.0
La Jornada: The price of the tortilla increased in Michoacán; Sells for up to $ 18,2012-03-14,0.0,Jornada,0.2732
The Journey: AMIA: in February there were 24.1% more cars in the country,2012-03-14,-0.4404,Jornada,0.0
"La Jornada: Mexico had revenues of USD 7,846 million for oil exports in 2 months",2012-03-14,0.2732,Jornada,0.0
La Jornada: Insta Coparmex to stop tolerating the parasitic and corrupt political class,2012-03-14,-0.6124,Jornada,-0.296
La Jornada: Pass 15 of 19 major US banks,2012-03-14,0.0,Jornada,0.0
La Jornada: Fitch downgrades Su Casita and Sare Holding ratings,2012-03-14,-0.483,Jornada,0.0
La Jornada: Raises 15% job creation,2012-03-14,0.3182,Jornada,0.2732
"La Jornada: Strengthening multi-destination strategy in AL, Sectur suggests",2012-03-14,0.0,Jornada,0.4939
La Jornada: Bose introduces new sound bars for Lifestyle and CineMate,2012-03-14,0.0,Jornada,0.0
La Jornada: Industrial sector grows 4.2% in January: Inegi,2012-03-14,0.0,Jornada,0.0
La Jornada: The dollar fell 7 cents free; It sells at 12.75 pesos,2012-03-14,0.4939,Jornada,0.5106
"La Jornada: While Mexicana remains on land, Aeromexico announces new flight to NY",2012-03-14,0.0,Jornada,0.0
IPhone 4S User Complaints to Apple,2012-03-14,0.0,Jornada,-0.4019
La Jornada: Meade considers that the growth of the country will exceed the predicted 3.5%,2012-03-14,0.7351,Jornada,0.3818
"La Jornada: Imprisoning Florence Cassez is an act of courage, argues Ackerman",2012-03-14,0.4404,Jornada,0.1531
"La Jornada: Commercial TV, detonating social decadence: experts",2012-03-14,-0.8176,Jornada,0.0
The Day: IFE will formalize today the fast count that will realize in the presidential elections,2012-03-14,0.6369,Jornada,0.0
La Jornada: Senators approve reforms to create anti-corruption prosecution,2012-03-14,-0.7717,Jornada,-0.2732
La Jornada: Deputies approve opinion of the Federal Anti-Corruption Law,2012-03-14,0.9062,Jornada,0.0
