article,pub_date,nltk_score,source,nltk_score_title
La Jornada: The archaeological zone of Forty Houses Affects Fire,2012-05-30,-0.91,Jornada,-0.34
La Jornada: Challenging ombudsman re-election of Jalisco,2012-05-30,0.6249,Jornada,0.1531
La Jornada: Nayarit ejidatarios claim 9.5 hectares,2012-05-30,-0.4215,Jornada,0.0
La Jornada: Bureaucrats from Bahía de Banderas,2012-05-30,0.0,Jornada,0.0
La Jornada: The mayoress of Tulum is separated from the position; Will be put on trial,2012-05-30,0.0,Jornada,0.0
La Jornada: Campaigns begin by the governorship of Chiapas,2012-05-30,0.7096,Jornada,0.0
La Jornada: Persistent in Michoacán struggles for public debt,2012-05-30,0.0,Jornada,-0.6124
La Jornada: Young woman dies in prison of Gómez Palacio,2012-05-30,0.0,Jornada,-0.5106
The Journey: Return section 22 to the dialogue; The government of Oaxaca discards to sanction to the paristas,2012-05-30,0.25,Jornada,-0.25
La Jornada: Reduce the payment of profits to miners,2012-05-30,0.0,Jornada,0.4404
La Jornada: They will teach subjects of sexuality in the secondary schools of Nayarit,2012-05-30,-0.296,Jornada,0.0
La Jornada: Avalan indebtedness of Aguascalientes,2012-05-30,0.0,Jornada,0.0
The Day: Ecatepec will prevent the CFE cut service to hydraulic infrastructure,2012-05-30,0.6705,Jornada,-0.25
La Jornada: Demand to remove the president of the Panal in Colima,2012-05-30,-0.5994,Jornada,-0.128
La Jornada: In Mexico you will see the transit of Venus,2012-05-30,0.3182,Jornada,0.0
La Jornada: Alert the UN on the threat of powerful cyber virus,2012-05-30,0.0258,Jornada,0.1531
La Jornada: Somalia ruler unharmed in ambush by Islamic rebels,2012-05-30,0.1027,Jornada,-0.2023
"La Jornada: Under threat from the manager of the newspaper Clarín was forced to sell Papel Prensa, accuses former owner",2012-05-30,-0.8834,Jornada,-0.8316
La Jornada: Syrian diplomats in 11 Western countries expelled,2012-05-30,-0.9842,Jornada,-0.25
La Jornada: Confusion and concern in the Vatican for the violation of the Pope's privacy: archbishop,2012-05-30,-0.7579,Jornada,-0.6597
La Jornada: Several earthquakes shake cities of Italy with a balance of 16 dead and 350 injured,2012-05-30,-0.8271,Jornada,-0.8271
La Jornada: Romney secures Republican nomination,2012-05-30,0.0,Jornada,0.3182
"The Day: Aung San Suu Kyi, visiting Thailand after 24 years of confinement in Myanmar",2012-05-30,-0.0,Jornada,0.0
"La Jornada: Do not buy opposition newspapers, insists Rafael Correa",2012-05-30,-0.296,Jornada,0.0
La Jornada: Cuba accuses the US of having reached the height of hypocrisy by defending Alan Gross,2012-05-30,-0.5106,Jornada,-0.6249
"La Jornada: They attack the electoral headquarters of Ahmed Shafiq, the last prime minister of Hosni Mubarak",2012-05-30,-0.9545,Jornada,-0.4767
"La Jornada: Necessary, to create national program of sex education, experts say",2012-05-30,-0.5574,Jornada,0.2732
"La Jornada: A crisis of multidimensional civilization faces, experts say",2012-05-30,-0.7579,Jornada,-0.6249
La Jornada: Report on Alarming Statistics on Violence against Children in Germany,2012-05-30,-0.9851,Jornada,-0.6808
La Jornada: Dissidents in front of Televisa request a space in national chain,2012-05-30,-0.5574,Jornada,0.0
"La Jornada: The elimination of breast cancer, priority of government in Tamaulipas",2012-05-30,-0.9231,Jornada,-0.6597
La Jornada: Tax collection for cigar sales may fall because the tax was not indexed,2012-05-30,-0.875,Jornada,0.0
La Jornada: Obama's Medal of Freedom Awarded to Activist Dolores Huerta,2012-05-30,0.296,Jornada,0.875
La Jornada: It usually takes 21 years for a smoker to try to quit: Inegi,2012-05-30,-0.296,Jornada,0.0
La Jornada: Conapred calls on SCT to improve treatment for disabled people in airplanes,2012-05-30,-0.7269,Jornada,0.4404
La Jornada: The churches have much to contribute to rebuild the social fabric: Government,2012-05-30,0.0,Jornada,0.0
La Jornada: Indigenous National Mesa seeks to influence indigenous politics,2012-05-30,-0.8074,Jornada,0.0
