article,pub_date,nltk_score,source,nltk_score_title
La Jornada: PGR reports of narcotics destruction,2013-01-05,0.5574,Jornada,-0.5719
La Jornada: López Obrador invites citizens to register as militants of Morena,2013-01-05,0.5994,Jornada,0.0
"La Jornada: Insufficient, notes of the SRE before the US for murders of Mexicans at the border",2013-01-05,-0.9571,Jornada,-0.6124
La Jornada: March of activists in favor of migrants,2013-01-05,0.0,Jornada,0.4019
La Jornada: Controllers of various secretariats are appointed,2013-01-05,0.0,Jornada,0.0
La Jornada: Mondragón and Kalb will assist the head of the SG on security,2013-01-05,0.8481,Jornada,0.34
La Jornada: Nevada nearly 30 hours paralyzes Ciudad Juárez,2013-01-05,-0.9585,Jornada,0.0
La Jornada: General Law on Victims approved next week: activist,2013-01-05,0.1531,Jornada,0.128
"La Jornada: Under the control of organized crime, the migratory routes in Tabasco and Veracruz",2013-01-05,0.0,Jornada,-0.5423
"La Jornada: From 2006 to 2012, 11,590 complaints were received against public servants of PGR",2013-01-05,-0.5423,Jornada,-0.4019
"La Jornada: Poverty and insecurity, concerns of 2013",2013-01-05,0.7351,Jornada,-0.7269
La Jornada: 69 offenders killed during the first month of the Peña government,2013-01-05,-0.9694,Jornada,-0.7906
La Jornada: NMS warns of sub-zero temperatures in 11 states,2013-01-05,0.5574,Jornada,-0.1027
"La Jornada: Three dead in Torreón bar; Zapopan, former policeman of Michoacan",2013-01-05,-0.5719,Jornada,-0.6486
La Jornada: Peña Nieto follows the same security strategy as Calderón: Cortez,2013-01-05,-0.7906,Jornada,0.34
"La Jornada: Insufficient, requirements of the law to form parties",2013-01-05,0.3182,Jornada,0.4019
"La Jornada: New Amparo Law required to guarantee rights, says the Court to Peña",2013-01-05,0.9678,Jornada,0.25
La Jornada: The fog prevented the arrival of 16 flights to the AICM,2013-01-05,0.0,Jornada,0.0258
La Jornada: Raúl Vera stays with the poor despite the danger,2013-01-05,-0.6486,Jornada,-0.0834
La Jornada: The world prepares for the centenary of Benjamin Britten,2013-01-05,0.1779,Jornada,0.0
"The Day: In Vulcan, Kantor sublimates the role of art as protector of human values",2013-01-05,0.8271,Jornada,0.4019
La Jornada: Circulates the new album by Glenn Gloud,2013-01-05,-0.5859,Jornada,0.0
La Jornada: Institutional support must reach the whole country; No more rhetoric,2013-01-05,-0.9442,Jornada,0.1531
La Jornada: Avalanche in Aguascalientes reform,2013-01-05,0.0,Jornada,0.0
La Jornada: Massive protection against labor reform in trade union preparations,2013-01-05,0.4939,Jornada,0.0
La Jornada: Announces the union magisterial meeting to define mobilizations,2013-01-05,0.0,Jornada,0.0
La Jornada: Developed in the antiviral IPN against human influenza,2013-01-05,0.3818,Jornada,0.0
La Jornada: Renewing the Sagarpa pest monitoring,2013-01-05,0.875,Jornada,0.0
La Jornada: The Agrarian March of the South advances its arrival to the DF and announces work agenda,2013-01-05,0.0,Jornada,0.0
La Jornada: Arroceros renew their hope of improving,2013-01-05,0.0,Jornada,0.6908
La Jornada: Educational privatization runs parallel in Mexico and US: experts,2013-01-05,-0.5267,Jornada,0.0
"La Jornada: Exceeded, the problems of December in hospital services Tabasqueños, says the SSA",2013-01-05,-0.6486,Jornada,-0.4019
"La Jornada: Prisoners, 7 former councilors of Chiapas in three days",2013-01-05,-0.5267,Jornada,-0.5106
"La Jornada: Crisis in the health sector of Tabasco, by cut and retention of funds",2013-01-05,-0.5423,Jornada,-0.7351
La Jornada: Sonora: 35 evicted by gas leak chlorine,2013-01-05,-0.296,Jornada,-0.34
La Jornada: Attorney and mayor repudian plan to arm neighbors of Sierra Soria,2013-01-05,-0.6124,Jornada,0.0
La Jornada: Yucatán: 400 patients after eating tacos,2013-01-05,0.0,Jornada,0.0
La Jornada: Juvenile disappearance reported in Juárez,2013-01-05,-0.296,Jornada,0.0
La Jornada: Masters of Michoacán block ways to demand payment of second part of bonuses,2013-01-05,0.1027,Jornada,0.0516
La Jornada: Michoacán: urgent reform of pensions; Resources could be exhausted in 13 years,2013-01-05,-0.4939,Jornada,-0.1779
The Day: Depardieu is criticized for praising the Russian government,2013-01-05,0.0,Jornada,0.25
La Jornada: Indian Government announces iron hand against sexist violence,2013-01-05,-0.9371,Jornada,-0.2263
La Jornada: Chilean businessman and his wife die when they burned their house some hooded,2013-01-05,-0.8979,Jornada,-0.5994
La Jornada: More than 400 teachers from Texas to take course on porting and using weapons,2013-01-05,-0.765,Jornada,-0.4404
La Jornada: Campaigns start in Ecuador,2013-01-05,0.0,Jornada,0.0
La Jornada: Magistrates prepare debate on legitimate justice in Argentina,2013-01-05,0.9393,Jornada,0.5267
La Jornada: Young hospital shot dead by Taliban,2013-01-05,0.1779,Jornada,-0.6486
La Jornada: EU launches missiles to Turkey,2013-01-05,-0.9169,Jornada,0.0
La Jornada: Oil pipeline attacked in Colombia,2013-01-05,-0.7579,Jornada,-0.4588
La Jornada: Venezuelan opponents incite coup: Nicolás Maduro,2013-01-05,0.3197,Jornada,0.0
La Jornada: Hundreds of thousands of Palestinians respond to Fatah's call to march in Gaza,2013-01-05,-0.296,Jornada,0.0
The Day: Congress ratifies Barack Obama,2013-01-05,0.0,Jornada,0.0
La Jornada: Feria de León expects around 500 thousand foreign tourists,2013-01-05,0.0,Jornada,0.0
La Jornada: Announces Finance Appointments and Ratifications,2013-01-05,0.9062,Jornada,0.0
La Jornada: Candidates to lead the WTO with experience in world trade,2013-01-05,0.0,Jornada,0.0
"La Jornada: Today, the first gasoline of the year; Fuel Rises 11 Cents",2013-01-05,0.34,Jornada,0.0
La Jornada: 200 million visited the country in 2012,2013-01-05,-0.4019,Jornada,0.0
"La Jornada: The Virgin Megastore chain, next to declare suspension of payments in France",2013-01-05,-0.2023,Jornada,0.0
La Jornada: Impulsa Grupo Salinas youth robotics project,2013-01-05,0.3818,Jornada,0.0
