article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Urgent guarantee in Mexico to obtain rapid kidneys for transplantation: HCG,2013-02-24,-0.9081,Jornada,0.4215
"La Jornada: Most pregnancies of youth, product of violence: NGOs",2013-02-24,-0.4588,Jornada,-0.6249
La Jornada: IPN students participate in the Airbus Aeronautics Contest,2013-02-24,0.4019,Jornada,0.0
La Jornada: UAM Commission addresses proposed change to student regulations,2013-02-24,0.7184,Jornada,0.0
La Jornada: ASF: in the national education system there is a model for teacher training,2013-02-24,0.0,Jornada,0.0
La Jornada: Environmentalists propose measures to improve air quality,2013-02-24,0.4939,Jornada,0.4404
La Jornada: Concern in CCH for curricular reform,2013-02-24,-0.5719,Jornada,0.0
"La Jornada: In court, the Spanish king's son-in-law excused corruption of the royal house",2013-02-24,-0.9217,Jornada,0.0
La Jornada: Chavez met with his cabinet for more than five hours: Nicolás Maduro,2013-02-24,-0.765,Jornada,0.0
La Jornada: Condition dialogue with the FARC,2013-02-24,-0.3182,Jornada,0.0
"La Jornada: Calls on the Italian government to vote, against polls that predict high abstention",2013-02-24,0.802,Jornada,0.0
La Jornada: Thousands of Spaniards march against corruption and cuts,2013-02-24,-0.34,Jornada,-0.296
La Jornada: Tunisians ask to clarify assassination of leader,2013-02-24,0.0,Jornada,-0.5994
La Jornada: Battles continue in Mali,2013-02-24,-0.6249,Jornada,-0.3818
The Day: Palestinian dies in Israeli jail,2013-02-24,0.0,Jornada,0.0
La Jornada: The Vatican accuses the media of disseminating false and hurtful information,2013-02-24,0.5574,Jornada,-0.7003
La Jornada: Iran finds more uranium deposits,2013-02-24,0.4939,Jornada,0.0
La Jornada: US documents revealed that Pinochet attempted a second coup,2013-02-24,-0.9393,Jornada,0.0
La Jornada: The IFE discards half of applications for registration as a party: counselor,2013-02-24,-0.5994,Jornada,0.1779
La Jornada: Alert AMLO on smoke curtains to increase VAT and delivery of Pemex,2013-02-24,-0.0258,Jornada,0.5423
La Jornada: In Chiapas call for release of political prisoners,2013-02-24,0.0,Jornada,-0.5106
"La Jornada: They choose community authorities in Guerrero; The unit, safe",2013-02-24,0.5994,Jornada,0.4404
La Jornada: Pressure to approve Amparo Law denied,2013-02-24,-0.4939,Jornada,-0.6249
La Jornada: Fine Arts and INAH failed in 2011 to promote culture: ASF,2013-02-24,-0.5267,Jornada,0.0258
La Jornada: Administrative proceedings against PGR employees for information leakage,2013-02-24,-0.9287,Jornada,0.0
La Jornada: Announcement of PAN meeting to revise draft amendments to its statutes,2013-02-24,0.0,Jornada,0.0
"La Jornada: The PRI betrays itself and its constituents, says Bartlett",2013-02-24,-0.8126,Jornada,-0.5423
La Jornada: Includes the HRW report nine disappearances in SLP,2013-02-24,0.765,Jornada,0.0
La Jornada: Zambrano suggests transforming IFE to regain credibility,2013-02-24,-0.7269,Jornada,0.0
La Jornada: Urgent action to stop the erosion of the earth: CNC,2013-02-24,0.4939,Jornada,-0.1027
La Jornada: Ifai reports that 20 officials made 34 trips abroad,2013-02-24,0.0,Jornada,0.0
La Jornada: Party and police militants demand zapatistas to pay the property tax,2013-02-24,0.0258,Jornada,0.2023
La Jornada: Cae supposed leader of band of plagiarios,2013-02-24,0.0,Jornada,0.0
"La Jornada: Return of taxes to rich, basis of inefficient collection",2013-02-24,-0.0516,Jornada,0.5574
La Jornada: Multi-million dollar estates bring loathing among families of NL,2013-02-24,-0.8639,Jornada,-0.5719
La Jornada: Two injured in Pemex,2013-02-24,0.0,Jornada,-0.4019
"La Jornada: Of the disappeared, 70 thousand are migrants, according to NGO calculations",2013-02-24,-0.9682,Jornada,-0.2263
La Jornada: 17 deaths leave the violent wave yesterday,2013-02-24,-0.4767,Jornada,-0.6249
"La Jornada: Sustainable rural city, new name, old deficiencies",2013-02-24,0.743,Jornada,0.0
