article,pub_date,nltk_score,source,nltk_score_title
La Jornada: The Vatican accepts that rights to gay marriages are recognized,2013-02-05,-0.8807,Jornada,0.3182
La Jornada: Facing the College of Bachelors the cost of decades of neglect,2013-02-05,-0.9531,Jornada,-0.4588
La Jornada: Gay marriage law passed today in GB,2013-02-05,-0.4939,Jornada,0.0
La Jornada: Call for dissidents to create alternative program,2013-02-05,0.0,Jornada,0.2732
La Jornada: Basan authorities update for CCH in a document of 12 points,2013-02-05,0.4404,Jornada,0.0
La Jornada: Sugarcane farmers announce that they will continue to monitor the sale of sugar,2013-02-05,0.8481,Jornada,0.0
La Jornada: The Latin American countries are better prepared today in the face of the crisis: FAO,2013-02-05,-0.8126,Jornada,-0.0772
"La Jornada: In Tamaulipas, the first generation of police trained by tamaulipecos",2013-02-05,0.34,Jornada,0.0
La Jornada: The Colbach serves 90 thousand students,2013-02-05,0.4588,Jornada,0.0
La Jornada: Connecting people on cell phones to have dinner together,2013-02-05,0.0,Jornada,0.0
"La Jornada: Breast and cervical cancer, the most important oncological diseases in the IMSS",2013-02-05,-0.975,Jornada,-0.5118
"La Jornada: Cancer, disease stigmatized by disinformation and medical illiteracy",2013-02-05,-0.9843,Jornada,-0.8074
"La Jornada: In Guanajuato, teachers of section 45 meet today with legislators",2013-02-05,-0.4404,Jornada,0.0
La Jornada: Migrants are advised to keep papers that prove residence time in the US,2013-02-05,-0.8176,Jornada,0.0
La Jornada: EU and France want UN in Mali,2013-02-05,0.4939,Jornada,0.0772
La Jornada: More than 20 killed in attacks on militias linked to Iraq's government,2013-02-05,-0.9349,Jornada,-0.8255
La Jornada: Soria case reopened in Chile,2013-02-05,-0.3818,Jornada,0.0
The Journey: France and EU to push to the end for successful negotiation of Iranian nuclear plan,2013-02-05,-0.25,Jornada,0.5859
Obama calls for more arms control,2013-02-05,-0.6808,Jornada,0.0
"La Jornada: South Korea and US, in naval exercises",2013-02-05,-0.296,Jornada,0.0
La Jornada: Death penalty for rapists approved in India,2013-02-05,-0.9337,Jornada,-0.8555
"La Jornada: Police rescued Ethan, kidnapped 7 days in Alabama",2013-02-05,-0.7184,Jornada,0.4215
"La Jornada: Except for something, everything said against the PP is false: Rajoy",2013-02-05,-0.5574,Jornada,0.0
La Jornada: Cuban elections have the highest abstention in the last 20 years,2013-02-05,-0.5456,Jornada,0.0
La Jornada: FARC dismisses verbal clashes with government threatening dialogue in Havana,2013-02-05,0.5574,Jornada,-0.5267
La Jornada: Zionist entity to mourn aggression against Syria: Iranian security council,2013-02-05,-0.8402,Jornada,-0.3818
"La Jornada: The suitcase found in building B-2 did not contain explosives, says the GDF",2013-02-05,-0.8316,Jornada,0.0
La Jornada: Special teams have not yet been able to reach the basement of building B-2,2013-02-05,-0.8316,Jornada,0.4215
"La Jornada: IFE structure is poorly placed and poorly cataloged, says study",2013-02-05,-0.5267,Jornada,0.0
La Jornada: Aflora fights between Molinar Horcasitas and Gil Zuarth for the defeat of blanquiazul,2013-02-05,-0.6808,Jornada,-0.6908
La Jornada: The CNBV must report on anti-money laundering actions,2013-02-05,-0.9485,Jornada,0.0
"The Journey: Risk of madruguete in the Congress to privatizar the crude, alert Morena",2013-02-05,-0.4588,Jornada,-0.5574
La Jornada: Police rescued Saltillo from a young man raised; Detain five captors,2013-02-05,0.8625,Jornada,0.0
La Jornada: Fausto Vallejo rejects VAT on food,2013-02-05,0.0,Jornada,-0.4939
La Jornada: The Topos group ended the search for survivors,2013-02-05,-0.875,Jornada,0.0
The Day: Demand PRD report on the causes,2013-02-05,-0.7269,Jornada,-0.128
"La Jornada: List, the reform to the Law of Amparo in San Lázaro",2013-02-05,0.9062,Jornada,0.0
La Jornada: Seven Tijuana hikers die in California,2013-02-05,0.0,Jornada,-0.5994
"La Jornada: Accumulation of gas, cause of loss: PGR",2013-02-05,-0.9559,Jornada,-0.3182
La Jornada: Seven workers in very serious condition still remain in hospitals,2013-02-05,-0.6486,Jornada,-0.1513
La Jornada: Mancera points out that it does not support the eventual privatization of Pemex,2013-02-05,-0.1027,Jornada,-0.3089
The Journey: Union of Petroleum Professionals demands to participate in the investigations,2013-02-05,-0.765,Jornada,0.0
La Jornada: EU pressured to prevent Garcia Ochoa from being appointed head of the Sedena,2013-02-05,0.0,Jornada,-0.2023
"La Jornada: Calderón's war against narco, a cause of violence and homicide",2013-02-05,-0.9944,Jornada,-0.8402
La Jornada: Death threats against two activists of the Guerrero Truth Commission,2013-02-05,-0.872,Jornada,-0.6597
"La Jornada: María de la Cruz Canales, the only person to be found missing, according to PGR",2013-02-05,-0.296,Jornada,-0.296
La Jornada: La Sedena will clear at a seminar false ideas about the armed forces,2013-02-05,0.5267,Jornada,0.3818
La Jornada: They intend to regulate criteria to dictate the preferential initiatives of the president,2013-02-05,-0.4939,Jornada,0.0
La Jornada: The GDF has reviewed 300 properties,2013-02-05,0.0,Jornada,0.0
La Jornada: The PRI seeks to change statutes that prevent it from applying for external candidates,2013-02-05,0.0,Jornada,0.0258
"La Jornada: Before counselors, PRD will today contest opinions on campaign expenses",2013-02-05,-0.4019,Jornada,0.0
La Jornada: AN senators ratify that their legislative agenda includes modernizing Pemex,2013-02-05,0.25,Jornada,0.0
La Jornada: The Aztec sun demands new electoral rules,2013-02-05,-0.6486,Jornada,0.0
"La Jornada: Mexico, with place in system of privacy",2013-02-05,0.0,Jornada,0.0
La Jornada: Construction begins on the Xalapa-Córdoba highway,2013-02-05,-0.128,Jornada,0.0
The Day: Discards Peschard that dismiss the advisers of Ifai benefit the institute,2013-02-05,-0.967,Jornada,0.25
La Jornada: Fitch's backing proposed by the PRD that the government should guarantee state credits,2013-02-05,0.0258,Jornada,0.5574
The Journey: Towards a debt crisis in Asia?,2013-02-05,-0.3818,Jornada,-0.765
"La Jornada: Exodus of capital in emerging markets, predicts Agustín Carstens",2013-02-05,0.0,Jornada,0.0
Two airlines from Japan could sue Boeing for the flaws of its 787,2013-02-05,-0.7717,Jornada,0.0
"La Jornada: High financial risks in Spain, despite advances in reforms to the sector: IMF",2013-02-05,-0.9118,Jornada,-0.2732
La Jornada: The Pice Bot virus facilitates the theft of financial information,2013-02-05,-0.1531,Jornada,0.0
La Jornada: Teletec has installed 48 thousand decoders in Tijuana with a view to the analogue blackout,2013-02-05,-0.4939,Jornada,0.0
La Jornada: Urges IP to boost the development of connectivity,2013-02-05,0.0,Jornada,0.4019
La Jornada: Blackberry shares increase more than 9%,2013-02-05,-0.4767,Jornada,0.5423
La Jornada: For Cuauhtémoc Moctezuma it is beneficial the greater competition in the beer market,2013-02-05,0.6486,Jornada,0.6597
La Jornada: Looking for Mexican with technological vision,2013-02-05,-0.5106,Jornada,0.25
"La Jornada: Tax revenues, at their lowest level for the last two six years: SHCP",2013-02-05,0.1027,Jornada,-0.3818
La Jornada: 48 thousand decoders have already been installed in Tijuana for the blackout,2013-02-05,-0.4939,Jornada,0.0
La Jornada: Argentine government pact freeze 2 months prices in supermarkets,2013-02-05,0.0,Jornada,0.0516
La Jornada: EU plans to sue Standard & Poor's for poor financial product evaluation,2013-02-05,0.7906,Jornada,-0.4767
La Jornada: Lack of Evidence Myths About Obesity: Experts,2013-02-05,0.1027,Jornada,-0.3182
La Jornada: First vaccination against tuberculosis disappoints in 90 years,2013-02-05,-0.7783,Jornada,-0.3818
La Jornada: Mexico participates in the preparation of a particle detector that will go to the ISS,2013-02-05,0.5719,Jornada,0.0
La Jornada: Ignore emissions of gases from trees that die naturally,2013-02-05,-0.296,Jornada,-0.7506
La Jornada: Blocks Anonymous QR Government Pages,2013-02-05,-0.4019,Jornada,-0.2263
La Jornada: They will teach personal defense to Yucatecans,2013-02-05,0.1027,Jornada,0.128
La Jornada: Governor of Morelos refuses to agree with narco,2013-02-05,-0.743,Jornada,0.3612
La Jornada: The provisional mayor of Nahuatzen is assassinated,2013-02-05,0.0,Jornada,0.0
La Jornada: Investigating circus for tamer death,2013-02-05,0.34,Jornada,-0.5994
La Jornada: They must have 9 fortnights and Christmas bonus to bureaucrats,2013-02-05,-0.296,Jornada,0.5423
La Jornada: Riot police close the way to tax protest in Sonora,2013-02-05,0.296,Jornada,-0.6808
La Jornada: Wind company calls for dialogue,2013-02-05,-0.6249,Jornada,0.0
La Jornada: Guerrero government accused of dividing displaced people,2013-02-05,-0.7906,Jornada,-0.296
La Jornada: Change in decree favors Walmart,2013-02-05,0.5574,Jornada,0.25
La Jornada: Violan assaults 6 tourists in Acapulco,2013-02-05,-0.0516,Jornada,-0.5423
La Jornada: $ 150 thousand bonds for councilors of Zacatecas,2013-02-05,0.0,Jornada,0.0
La Jornada: The absence of technique is a feature of the training of actors in Mexico,2013-02-05,-0.6808,Jornada,0.0
La Jornada: Share lawyer treasure of Bonifaz Nuño,2013-02-05,0.5719,Jornada,0.5267
