article,pub_date,nltk_score,source,nltk_score_title
Productores rurales argentinos amenazan con nuevos bloqueos,2008-04-24,-0.9719,Jornada,-0.3818
Uruguayo implicado en el caso del maletín decomisado en Argentina se declara culpable,2008-04-24,-0.9153,Jornada,-0.4215
Dos relevos en las fuerzas de EU en Levante,2008-04-24,-0.0516,Jornada,0.0
"Álvaro Uribe, acusado de vínculos con paramilitares y de impulsar una matanza",2008-04-24,-0.9007,Jornada,0.0772
Apoyo “solidario e irrestricto” de naciones de la Alba a Bolivia,2008-04-24,0.8074,Jornada,0.5994
Intelectuales respaldan al gobierno de Evo Morales,2008-04-24,0.5423,Jornada,0.3818
Mueren entre 90 y 127 personas en ofensiva contrainsurgente en el norte de Sri Lanka,2008-04-24,-0.9382,Jornada,-0.8176
Fidel Castro asume “la responsabilidad” por el despido del ministro de Educación cubano,2008-04-24,0.5413,Jornada,0.0
La información y la lectura en números,2008-04-24,-0.6808,Jornada,0.0
"Ejemplares y rosas colmaron calles, plazas y paseos de Barcelona",2008-04-24,0.4767,Jornada,0.0
Aventuras de un Stradivarius,2008-04-24,0.5859,Jornada,0.34
"La consciencia de una crisis envuelve toda celebración por la palabra, dice experto",2008-04-24,-0.4215,Jornada,-0.6249
Nunca ha existido pugna ni lucha soterrada con el GDF por el uso del Zócalo: Wolffer,2008-04-24,0.872,Jornada,0.5216
Contrastante sobreoferta editorial con la dificultad de captar lectores,2008-04-24,-0.9313,Jornada,0.1779
"La poesía, un baluarte “contra la muerte en tiempos mezquinos”",2008-04-24,-0.9962,Jornada,-0.6908
Plantea Telmex al STRM aumento salarial de 8.65%,2008-04-24,0.3182,Jornada,0.3182
Nueva embestida de Gil Díaz contra Telmex: ejerce captura regulatoria,2008-04-24,-0.9638,Jornada,-0.5859
Falló la red de Telcel durante nueve horas,2008-04-24,-0.8316,Jornada,-0.5106
Supera Toyota a GM en venta de automóviles,2008-04-24,0.0772,Jornada,0.0
Rechazan en Francia privatización en puertos,2008-04-24,0.0,Jornada,-0.4939
Plantea BBVA Bancomer garantizar pensiones,2008-04-24,-0.296,Jornada,0.25
Subieron 18 por ciento las ventas de Gruma,2008-04-24,0.0,Jornada,0.0
"Difícil y desgastante, interactuar con el gobierno de México: Vega Castillo",2008-04-24,-0.5574,Jornada,-0.6124
Superávit comercial de 336 mdd en marzo,2008-04-24,0.3182,Jornada,0.0
Fabricarán en Brasil primer diesel de caña,2008-04-24,0.0,Jornada,0.0
Criminales controlan posiciones claves en materiales estratégicos y energía global,2008-04-24,-0.7579,Jornada,-0.3818
El crudo mexicano se cotizó en 98.07 dólares el barril,2008-04-24,-0.4404,Jornada,-0.5719
Justifica Competencia la permanencia de contratistas y proveedores de Pemex,2008-04-24,-0.3612,Jornada,0.0
Reclama Teléfonos de México tener acceso al mercado de la televisión de paga,2008-04-24,-0.3818,Jornada,0.0
Inauguran en San Mateo Atenco unidad médica familiar del IMSS,2008-04-24,0.7096,Jornada,0.0
Concluye en mayo campaña de vacunación contra rubéola,2008-04-24,0.128,Jornada,0.0
Murieron asfixiados antes de que el tráiler cayera al agua,2008-04-24,0.4939,Jornada,-0.5574
Dan amparo contra Ley del ISSSTE a 5 mil 200 trabajadores de BCS,2008-04-24,0.959,Jornada,0.0
Presentarán PRI y PAN iniciativa para normar la reproducción asistida,2008-04-24,-0.9335,Jornada,0.0
Margina la banca al agro,2008-04-24,-0.5267,Jornada,0.0
El día 26 elegirá directiva el Sitio 300,2008-04-24,0.4939,Jornada,0.0
Desvían vuelos por mal clima en el DF,2008-04-24,0.34,Jornada,-0.5423
Inquieta a empresa fin de contrato con el AICM,2008-04-24,-0.7269,Jornada,0.0
"El sector industrial, pesimista ante la generación de empleos para este año",2008-04-24,-0.8402,Jornada,-0.3612
Fomenta Calderón lucha light en el gremio magisterial: CNTE,2008-04-24,-0.9531,Jornada,-0.6486
Chihuahua: 5 asesinadas en tres días,2008-04-24,-0.0772,Jornada,-0.6705
La actual administración optó por “no vernos ni escucharnos”: campesinos,2008-04-24,-0.9287,Jornada,0.0
Prevén activistas y expertos férrea lucha contra el aval a los plantíos transgénicos,2008-04-24,-0.8555,Jornada,-0.0772
Deterioro grave en 30% de las escuelas públicas,2008-04-24,-0.4019,Jornada,-0.3818
Anuncia la SEP apoyo condicionado a estados para abrir más universidades,2008-04-24,-0.0772,Jornada,0.4019
Urge frenar precios de alimentos para evitar mayor pobreza: Japón y la UE,2008-04-24,-0.8807,Jornada,-0.4939
Da Venezuela becas a 14 indígenas para estudiar medicina,2008-04-24,0.0,Jornada,0.0
