article,pub_date,nltk_score,source,nltk_score_title
Perú: 35 años de cárcel a general por una matanza,2008-04-10,-0.9709,Jornada,-0.8402
Releva el presidente Rafael Correa al ministro de Defensa y al jefe de la policía de Ecuador,2008-04-10,0.9799,Jornada,0.4588
Cuba estudia ofertas de capital foráneo en agricultura y ganadería,2008-04-10,-0.0516,Jornada,0.0
Acuerdo nuclear entre Norcorea y EU,2008-04-10,0.7506,Jornada,0.4939
"A cinco años de la caída del régimen de Hussein, Bagdad está bajo toque de queda",2008-04-10,-0.9509,Jornada,0.0
Recibirán bono familias pobres chilenas,2008-04-10,0.7003,Jornada,0.128
Llama el presidente haitiano a frenar la violencia y los saqueos,2008-04-10,-0.9709,Jornada,-0.743
Rodríguez Zapatero no alcanza la mayoría absoluta en el Congreso español,2008-04-10,-0.2263,Jornada,-0.0191
Bloquea la derecha vía de Santa Cruz a Argentina,2008-04-10,0.765,Jornada,-0.2263
Recibió Lourdes Arizpe condecoración de Francia,2008-04-10,0.5423,Jornada,0.0
Muestran obra de artista brasileño para “revisar los cánones establecidos”,2008-04-10,-0.7269,Jornada,0.0
Ganadores del Encuentro de Arte Joven,2008-04-10,-0.296,Jornada,0.4767
"El paraíso poético de Walcott, en su voz, retumbará en México",2008-04-10,0.991,Jornada,0.6369
El tenor mexicano Rolando Villazón compite por el premio Classical Brit,2008-04-10,0.9432,Jornada,0.5423
Publica el FCE texto inédito de Octavio Paz,2008-04-10,0.9287,Jornada,0.0
El Cuarteto Latinoamericano hace del tango un remanso y una sensación de libertad: Arón Bitrán,2008-04-10,0.8885,Jornada,0.6908
Plantean en ópera “una gran reflexión dramática sobre la condición femenina”,2008-04-10,0.9595,Jornada,0.6249
Rinden tributo a Griselda Álvarez en Bellas Artes,2008-04-10,0.0,Jornada,0.1027
Evocan a historiadora en un coloquio,2008-04-10,0.128,Jornada,0.0
Protestan contra política comercial de la CE,2008-04-10,0.0,Jornada,-0.25
La recesión de EU golpeará con más fuerza a México: BM-FMI,2008-04-10,-0.8885,Jornada,-0.4215
Volkswagen Bank opera ya mediante 62 concesionarias,2008-04-10,-0.34,Jornada,0.0
Superan los precios del petróleo 112 dólares en NY y 109 en Londres,2008-04-10,0.1027,Jornada,0.0
El agua encarece costos de la minería,2008-04-10,-0.765,Jornada,0.0
"Bancos, vulnerables al fraude: Societe Generale",2008-04-10,-0.9538,Jornada,-0.6908
Rescatarán en EU a afectados por subprime,2008-04-10,0.296,Jornada,0.4019
"Ordena Chávez renacionalizar siderúrgica Ternium-Sidor, tras un conflicto laboral",2008-04-10,-0.4767,Jornada,-0.4019
En marzo ocurrió el mayor incremento de precios en nueve años: 0.72 por ciento,2008-04-10,0.0,Jornada,0.3182
La reforma energética no romperá dependencia económica con EU,2008-04-10,-0.1779,Jornada,0.2732
Desea el FMI que “pronto se alcance acuerdo” sobre la reforma petrolera,2008-04-10,0.6486,Jornada,0.4939
Se inicia revisión contractual en la Procuraduría Agraria,2008-04-10,-0.4019,Jornada,0.0
Prevén disminución en la demanda de ingreso para la UAM tras la huelga,2008-04-10,-0.7506,Jornada,-0.25
Mantendrán en el IMSS el mismo tratamiento de diálisis,2008-04-10,0.836,Jornada,0.0
Pierden porcicultores mexicanos 188 millones de pesos cada mes,2008-04-10,-0.25,Jornada,-0.4019
Preocupa a diputada táctica dilatoria en el INER para edificar una obra,2008-04-10,0.0258,Jornada,0.0
“No más” de 50 centavos de aumento a la tortilla: Economía,2008-04-10,-0.9571,Jornada,0.0972
"Busca el gobierno repatriar a científicos, afirma diputada",2008-04-10,0.0,Jornada,0.0
Protesta en el INNN; apoyan a ayunantes,2008-04-10,0.0,Jornada,0.1779
Destacan especialistas improcedencia de tipificar feminicidios como delito,2008-04-10,-0.979,Jornada,-0.5423
Falla la Corte en favor de concubinos,2008-04-10,-0.7096,Jornada,-0.0258
Vacunan en el aeropuerto capitalino a viajeros de EU y norte de México,2008-04-10,0.8074,Jornada,0.0
"El CCH Sur, cerrado jueves y viernes",2008-04-10,-0.7184,Jornada,0.0
"Generalizada cultura de impunidad, freno al trabajo de la Profepa: Patrón Laviada",2008-04-10,-0.9661,Jornada,0.0
Presenta la UNAM denuncia,2008-04-10,-0.296,Jornada,-0.296
Obligan a empresas a indemnizar a familiares si fallece un empleado,2008-04-10,0.8625,Jornada,0.0
Genera enojo el rechazo de los consorcios europeos a medidas contra contaminación,2008-04-10,0.5994,Jornada,-0.5423
"La UNAM demuestra, por primera vez, que hay ensambles neuronales",2008-04-10,-0.9081,Jornada,0.0
Descubren científicos españoles el planeta más pequeño fuera del sistema solar,2008-04-10,-0.6808,Jornada,0.0
Se reportan con AMLO 19 mil integrantes del “ejército ciudadano constituyente”,2008-04-10,-0.7717,Jornada,0.0
"Si no hay debate iniciará hoy la resistencia, anuncia AMLO",2008-04-10,-0.9899,Jornada,-0.296
Al menos 25 organizaciones campesinas preparan actos para recordar a Zapata,2008-04-10,-0.0772,Jornada,0.0
Eduardo Bours exige ante la Conago más fondos para concretar la reforma jurídica,2008-04-10,0.9545,Jornada,0.128
En el país prevalecen graves desigualdades en la instrucción de los menores: Unicef,2008-04-10,0.2732,Jornada,-0.0772
La reforma de Calderón a Pemex prevé “licitaciones confidenciales”,2008-04-10,0.8481,Jornada,0.1531
Apoyo incondicional de gobernadores de AN,2008-04-10,-0.2263,Jornada,0.4019
Aparece firma de Mouriño en acta notarial de 2006 de la empresa GES,2008-04-10,0.1779,Jornada,0.0
Valdés dice que está “justificada” la petición de más dinero para el IFE,2008-04-10,0.8689,Jornada,0.0
"En Querétaro y Sinaloa, las primeras protestas",2008-04-10,-0.7579,Jornada,-0.2263
Irrumpe el Ejército en el entierro de un narco en Chihuahua y detiene a 30 personas,2008-04-10,-0.8271,Jornada,0.0
Buscan padres al mandatario sudamericano,2008-04-10,-0.8625,Jornada,0.0
Entrega Margarita Zavala becas en Chiapas,2008-04-10,-0.8807,Jornada,0.0
Planteará Pemex reformas fiscales que permitirán explotar pozos abandonados,2008-04-10,0.891,Jornada,-0.0258
Encinas se une a la defensa de Pemex; Ortega encabezará otras acciones,2008-04-10,-0.9451,Jornada,0.128
Será intransitable si hay trampa: PRI,2008-04-10,-0.9638,Jornada,-0.3182
SRE asiste a mexicano detenido en España,2008-04-10,-0.9638,Jornada,-0.4767
Decomisa la SSP 50 kilos de efedrina,2008-04-10,0.34,Jornada,0.0
"Suárez Loera, total ignorante de nuestras atribuciones, dice la CNDH",2008-04-10,-0.1779,Jornada,-0.2732
Decepciona plan de reformas sobre derechos humanos,2008-04-10,-0.2415,Jornada,-0.3818
Admite el gobierno su fracaso en materia de procuración de justicia,2008-04-10,-0.891,Jornada,0.3182
Calderón y Correa abordarán el tema del ataque a las FARC en Ecuador,2008-04-10,-0.9217,Jornada,-0.4767
"La iniciativa, en dos semanas ... o pasando abril: Beltrones",2008-04-10,-0.9623,Jornada,0.0
CCE: es un paso importante para la “viabilidad económica”,2008-04-10,0.296,Jornada,0.2023
"Ante el rumor de desacuerdos, busca el PRI “cohesión” en la reforma a Pemex",2008-04-10,-0.7579,Jornada,-0.4215
"Los bonos ciudadanos, el principio de la bursatilización de Pemex: expertos",2008-04-10,0.7717,Jornada,0.0516
Ratifica Soberanes que la Sedena viola los derechos humanos,2008-04-10,-0.9042,Jornada,-0.5106
Desestima Gobernación protestas callejeras del FAP,2008-04-10,-0.5267,Jornada,-0.2263
"Vendedores de plazas en Pemex, libres",2008-04-10,-0.3818,Jornada,0.5106
Director del Tecnológico de Hermosillo se deslinda de faltante de $13 millones,2008-04-10,-0.8591,Jornada,0.0
Dan licencia a director de Derecho de la UABJO,2008-04-10,0.9169,Jornada,0.0
Embargan al PRI de Querétaro por deuda,2008-04-10,-0.128,Jornada,-0.3612
Piden en Oaxaca entrega de eperristas,2008-04-10,0.0,Jornada,-0.2263
Marchan a Tuxtla; exigen liberar a cinco campesinos,2008-04-10,-0.9702,Jornada,-0.128
Maestros cometen fraude con prueba Enlace: SEP,2008-04-10,-0.7184,Jornada,-0.3818
Verificará Conagua operación de plantas tratadoras y calidad del agua en Acapulco,2008-04-10,0.4215,Jornada,0.0
Indígenas y campesinos exigen fertilizantes,2008-04-10,0.5574,Jornada,-0.128
Acaba Puebla con reserva territorial para construir residencias y comercios,2008-04-10,0.4404,Jornada,0.0
Detienen obras de carretera en zona huichola,2008-04-10,-0.4019,Jornada,-0.296
Detectan desvío de fondos federales al SNTE en BC,2008-04-10,-0.8591,Jornada,0.0
Repiten funcionarios en el gobierno de Cancún,2008-04-10,0.7964,Jornada,0.0
Asaltante se salva de linchamiento en Ecatepec,2008-04-10,-0.7506,Jornada,0.0
Detienen a presunto agresor de emos,2008-04-10,-0.296,Jornada,-0.7506
Presionan los burócratas de Michoacán,2008-04-10,0.34,Jornada,0.0
Viola CFE tregua con labriegos de Chihuahua,2008-04-10,0.6369,Jornada,0.0
Chiapas: Herrán Salvatti se libra de comparecer,2008-04-10,0.296,Jornada,0.0
Crean comisión para resolver pugna Chenalhó-Chalchihuitán,2008-04-10,-0.836,Jornada,0.34
