article,pub_date,nltk_score,source,nltk_score_title
Posible acuerdo en crisis de Zimbabue,2008-08-09,-0.0258,Jornada,-0.6249
"La ubicación de Betancourt se hizo con videocámaras, admiten EU y Colombia",2008-08-09,-0.5423,Jornada,0.2023
"Disolverá su milicia si EU empieza a retirar las tropas de Irak, promete Moqtada Sadr",2008-08-09,-0.9246,Jornada,0.3818
Desactivan tres artefactos explosivos en sitios turísticos del País Vasco francés,2008-08-09,0.8176,Jornada,0.0
Militares buscan no ser procesados en Brasil,2008-08-09,-0.4019,Jornada,0.2924
Trasladan al derrocado presidente mauritano,2008-08-09,0.34,Jornada,0.0
Chávez presenta paquete de leyes,2008-08-09,0.5267,Jornada,0.0
Indagan dolencia entre indígenas venezolanos,2008-08-09,-0.3612,Jornada,-0.4019
"Georgia y Rusia, al borde de una guerra abierta; se enfrentan por tierra y aire en Osetia del Sur",2008-08-09,-0.7096,Jornada,-0.5994
Washington: 15 años de cárcel a espía chino,2008-08-09,-0.8555,Jornada,-0.5106
Inundaciones dejan 11 muertos en China,2008-08-09,-0.3818,Jornada,-0.6705
Llama alcalde de Santa Cruz a militares a derrocar al presidente Evo Morales,2008-08-09,-0.7964,Jornada,0.0
Ex represor argentino llora durante su juicio,2008-08-09,-0.6908,Jornada,-0.6249
En Sant Pere de Rodes,2008-08-09,0.2732,Jornada,0.0
De replicantes y nuevos maestros,2008-08-09,0.7003,Jornada,0.0
Legalización de uniones homosexuales,2008-08-09,0.1531,Jornada,0.0
La comunidad gay lidera la batalla por la igualdad en la Sudáfrica democrática,2008-08-09,-0.9246,Jornada,-0.3818
Preparan festejos por los 90 años de la maestra Guillermina Bravo,2008-08-09,0.3182,Jornada,0.4767
Irasema Terrazas celebra invitación para interpretar repertorio austriaco,2008-08-09,0.1531,Jornada,0.5719
Ofrece coro infantil un concierto bilingüe para “revalidar la lengua náhuatl”,2008-08-09,-0.7096,Jornada,0.0
Las semillas íntimas,2008-08-09,-0.5423,Jornada,0.0
Precios siguen elevados en AL,2008-08-09,0.0,Jornada,0.0
Alerta SCT de líneas en proceso de suspensión,2008-08-09,-0.6597,Jornada,-0.2263
