article,pub_date,nltk_score,source,nltk_score_title
Mueren 21 peregrinos en un atentado en Irak,2008-08-16,-0.5994,Jornada,-0.6705
Choques tribales dejan 36 muertos en Pakistán,2008-08-16,-0.1531,Jornada,-0.6908
El ejército etíope ataca autobuses: 30 muertos,2008-08-16,-0.8271,Jornada,-0.802
Procesan a Menem por venta ilegal de armas a Croacia,2008-08-16,-0.8934,Jornada,-0.7351
Rechaza el gobierno boliviano amenaza de paro de prefectos y dirigentes cívicos,2008-08-16,-0.6705,Jornada,-0.7964
"Allende nunca fue un político de diseño; sus conceptos, sin trampa ni cartón: Carlos Taibo",2008-08-16,-0.6124,Jornada,0.2411
Promete Lugo combatir con ideales socialistas la corrupción y la pobreza,2008-08-16,-0.5267,Jornada,-0.3182
Acepta Georgia acuerdo de alto el fuego,2008-08-16,-0.5859,Jornada,0.3818
Siete colombianos muertos y 52 heridos deja atentado en Ituango atribuido a las FARC,2008-08-16,-0.8074,Jornada,-0.8316
Arrestan a ex represor argentino prófugo,2008-08-16,0.0,Jornada,-0.6705
Lord Byron fue el primer receptor de un diluvio de cartas ardientes,2008-08-16,0.8625,Jornada,-0.34
Reabren el Libroclub Xavier Villaurrutia; será punto de reunión para tribus urbanas,2008-08-16,0.5423,Jornada,0.0
Artistas y poetas realizan “el grabado más grande del mundo”: Emilio Payán,2008-08-16,0.9186,Jornada,0.6369
Música del arte amatorio,2008-08-16,0.9856,Jornada,0.0
La Sinfónica de la Juventud Bolivariana comenzará en Helsinki su gira europea,2008-08-16,0.6705,Jornada,0.0
"Se enredan SHCP y SCT; una acepta subejercicio, otra lo niega",2008-08-16,-0.5574,Jornada,-0.128
BdeM sube un cuarto de punto la tasa de interés de referencia,2008-08-16,0.6808,Jornada,0.4588
Pronostica el Colef cierre de 244 maquilas,2008-08-16,0.0,Jornada,0.0
Ofrecen integrar la región sureste,2008-08-16,0.7003,Jornada,0.0
Descartan economistas recesión global,2008-08-16,-0.9796,Jornada,-0.4215
Fracasa primera reunión para resolver conflicto de rechazados de universidades,2008-08-16,-0.891,Jornada,-0.7003
"Necesario, cambiar de modelo para lograr soberanía alimentaria: expertos",2008-08-16,-0.8519,Jornada,0.0
Central campesina procura renovación financiera,2008-08-16,-0.5106,Jornada,0.0
Nuevo sitio informará de recursos naturales,2008-08-16,0.3182,Jornada,0.3612
La Jornada: Cartones,2008-08-16,0.0,Jornada,0.0
"Profesores que reprueben no tendrán plaza, advierte la SEP",2008-08-16,-0.9423,Jornada,-0.2273
