article,pub_date,nltk_score,source,nltk_score_title
Condena EU el golpe en Guinea; exige el retorno inmediato del gobierno civil,2008-12-27,0.9607,Jornada,-0.5106
Pakistán refuerza su frontera con India,2008-12-27,0.1779,Jornada,0.4588
Arresta Serbia a 10 ex rebeldes albaneses acusados de asesinatos y plagios en Kosovo,2008-12-27,-0.9022,Jornada,-0.8271
Colombia: insurgentes piden canje de rehenes,2008-12-27,-0.3182,Jornada,0.0
Sondeo favorece a nacionalistas vascos,2008-12-27,0.0258,Jornada,0.25
Envía China flota naval antipiratería a Somalia,2008-12-27,0.0,Jornada,0.0
Más ataques palestinos con cohetes y obuses contra Israel,2008-12-27,-0.0772,Jornada,-0.4877
Tres jefes iraquíes de Al Qaeda escapan de comisaría en Ramadi; 13 muertos,2008-12-27,-0.9349,Jornada,-0.5574
Recuerdan a víctimas del tsunami en el Índico,2008-12-27,-0.6597,Jornada,-0.3182
"Gratuito y callejero, el arte de Aceves y Carrington confronta a los capitalinos",2008-12-27,-0.4588,Jornada,0.34
Sigue vigente el proyecto de luz y sonido en Teotihuacán: Peña Nieto,2008-12-27,-0.8885,Jornada,0.0
Método de dibujo... reúne 50 años de experiencia artística y docente,2008-12-27,0.6597,Jornada,0.0
Boom de sitios arqueológicos ayudará a detonar la economía de Guanajuato,2008-12-27,0.5994,Jornada,0.4019
El efecto mariposa,2008-12-27,0.8807,Jornada,0.0
Sube 4% el salario mínimo en España,2008-12-27,-0.5267,Jornada,0.0
Excedentes por la exportación de petróleo por $147 mil 828 millones,2008-12-27,-0.0258,Jornada,0.0
Prevé Silva Herzog menor crecimiento para México,2008-12-27,-0.8271,Jornada,0.1027
Leve avance de las bolsas de México y NY,2008-12-27,-0.5574,Jornada,0.4215
Disminuye llegada de turistas extranjeros,2008-12-27,-0.4019,Jornada,0.0
Exige la Permanente a Carstens frenar las “injustificadas alzas”,2008-12-27,-0.34,Jornada,-0.296
Aplicó Hacienda el aumento 33 del año a la Magna y el diesel,2008-12-27,0.8074,Jornada,0.3182
Cayó 8.1% la producción industrial de Japón; la cifra más alta desde 1953,2008-12-27,-0.9313,Jornada,0.0
"En un mes, el rublo lleva ocho devaluaciones",2008-12-27,-0.4215,Jornada,0.0
Estudiantes del Politécnico crean bombón que tiene propiedades antidepresivas,2008-12-27,-0.7906,Jornada,0.2732
Ayudará telefonía móvil a preservar el maya,2008-12-27,-0.296,Jornada,0.4019
"Ante impacto del viento, en México se deben normar las construcciones",2008-12-27,0.0516,Jornada,0.0
De boxeadores a fayuqueros,2008-12-27,-0.9898,Jornada,0.0
Anuncia el IMSS ampliación de infraestructura en 2009,2008-12-27,-0.128,Jornada,0.0
El gobierno de Morelos reinstala a 30 maestros que participaron en protestas,2008-12-27,-0.4404,Jornada,-0.2263
Recomendaciones para el periodo invernal,2008-12-27,-0.6486,Jornada,0.0
Protege el gobierno otras 8 áreas naturales,2008-12-27,0.0,Jornada,0.5859
Global 200 enfrenta al lector con los últimos paraísos de la Tierra,2008-12-27,0.2023,Jornada,0.0
Aprueba la FDA fármaco que engrosa las pestañas,2008-12-27,0.0258,Jornada,0.4019
"Se intensificarán los efectos de fenómenos naturales, dice estudio",2008-12-27,0.0,Jornada,0.3612
Promueve el PRI que el gobierno apoye a migrantes retornados de EU por la crisis,2008-12-27,-0.0772,Jornada,-0.0
Patrono de polleros “estimula” la economía de pueblo semifantasma,2008-12-27,-0.9001,Jornada,0.0
Propone el SME crear “tarifa social” de consumo eléctrico para los más pobres,2008-12-27,-0.8176,Jornada,-0.34
La crisis mundial no es pretexto para reducir fondos a educación: UNESCO,2008-12-27,-0.9042,Jornada,-0.743
"No permitiremos que Pemex regrese, advierten indígenas de la Lacandona",2008-12-27,0.7184,Jornada,-0.2654
Arraigan por 40 días a Laura Zúñiga y a su novio Ángel García Urquiza,2008-12-27,-0.9413,Jornada,0.0
La Sagarpa anuncia que cerrará el año sin subejercicio presupuestal,2008-12-27,0.6124,Jornada,0.0
Felipe Calderón recibió invitaciones para visitar nueve naciones en 2009,2008-12-27,0.8807,Jornada,0.0
"Empezó el primer Festival Mundial de la Digna Rabia, convocado por el EZLN",2008-12-27,-0.9442,Jornada,0.7506
Revoca el TEPJF multa a Tv Azteca,2008-12-27,-0.4404,Jornada,0.2023
Ex funcionarios seguirán bajo arraigo por supuestos vínculos con el narco,2008-12-27,-0.3818,Jornada,-0.34
Arraigan por 40 días a implicados en decapitación de militares,2008-12-27,-0.9552,Jornada,-0.4404
Buscan diputados transferir excedentes presupuestales a programas prioritarios,2008-12-27,-0.93,Jornada,0.0
Dictan auto de formal prisión a El Hummer por presuntos vínculos con la delincuencia organizada,2008-12-27,-0.9756,Jornada,-0.7783
"En Sinaloa, siete de los 14 ejecutados ayer",2008-12-27,0.6908,Jornada,0.0
"Crisis económica y seguridad, temas en agenda de AN en 2009",2008-12-27,0.8957,Jornada,-0.4019
Exigen sanción contra médicos de la Marina,2008-12-27,-0.9442,Jornada,-0.128
Ratifica el TEPJF triunfo del PRI en la alcaldía de Acapulco,2008-12-27,0.0,Jornada,0.4767
El cabildo de Santiago Ixcuintla cobrará cuotas a Telmex y CFE por usar vía pública,2008-12-27,-0.5994,Jornada,0.0
Huelga de hambre de zapotecos,2008-12-27,-0.6369,Jornada,-0.3612
"Tensión en Chanal, Chiapas; indígenas piden destituir al edil, “por excluirlos”",2008-12-27,-0.6486,Jornada,-0.4939
Inaugura Fidel Herrera unidad hospitalaria en Platón Sánchez,2008-12-27,-0.6486,Jornada,0.0
Intentan 400 colonos en Vallarta impedir que los desalojen de sus viviendas,2008-12-27,0.3076,Jornada,0.0258
