article,pub_date,nltk_score,source,nltk_score_title
Midnight Reg: Guns in National Parks Now A-OK!,2008/12/05,0.9934,ProPublica,0.0
Bailout Update: 27 More Banks Line Up,2008/12/05,0.5334,ProPublica,-0.1027
ProPublica In-Depth: Has Bioterrorism Effort Increased Risk of Attack?,2008/12/05,-0.9517,ProPublica,-0.4767
Snafus Mar Vaccine Program,2008/12/05,-0.7555,ProPublica,0.0
Biodefense Program Poses Its Own Risks,2008/12/05,-0.9682,ProPublica,-0.2732
Experts Divided Over Risk of Bio-Terrorist Attack,2008/12/05,-0.9996,ProPublica,-0.6369
Are We Safer From Bioterrorism?,2008/12/05,-0.4404,ProPublica,0.4215
This Week in Scandals,2008/12/05,-0.0,ProPublica,-0.4939
Will Treasury’s Bailout ‘Investment’ Pay Off?,2008/12/05,0.9957,ProPublica,-0.2023
Rushed Interior Dept. Rule Overrides Congress; Allows Uranium Mining Near Grand Canyon,2008/12/05,0.9687,ProPublica,0.4588
