article,pub_date,nltk_score,source,nltk_score_title
Llegan a Cuba el destructor Almirante Chabanenko y 2 barcos de guerra rusos,2008-12-20,-0.9864,Jornada,-0.296
Cohetes sobre Israel tras terminar tregua,2008-12-20,-0.7964,Jornada,0.0
"Bolivia, tercer país de AL libre de analfabetismo",2008-12-20,-0.2263,Jornada,0.1027
Durante este año fueron despedidos más de 2 mil periodistas españoles,2008-12-20,0.128,Jornada,0.0
Muere el agente que provocó la renuncia de Nixon,2008-12-20,-0.5719,Jornada,-0.296
Liberan a cabecilla de grupo armado alemán,2008-12-20,0.3182,Jornada,0.0
Aumentan los muertos en Brasil por las lluvias,2008-12-20,-0.296,Jornada,0.0
Grecia: lanzan bombas molotov contra instituto cultural francés,2008-12-20,-0.9729,Jornada,0.128
La justicia de Argentina suspende la excarcelación del represor Alfredo Astiz,2008-12-20,0.5859,Jornada,0.25
Hallan siete cabezas y dos cuerpos en Irak,2008-12-20,0.0,Jornada,0.0
Vivir debería sorprendernos tanto como la muerte: Castillo,2008-12-20,-0.9971,Jornada,-0.4215
Fotos inéditas de Korda se exhiben en Madrid,2008-12-20,0.886,Jornada,0.0
Cuba va reinventa imágenes emblemáticas de la revolución,2008-12-20,0.34,Jornada,0.0
Aniversario de Puccini no entusiasma a París,2008-12-20,-0.9432,Jornada,-0.3724
Un ángel con violonchelo,2008-12-20,0.9217,Jornada,0.0
"Este día, el aumento 32 a combustibles",2008-12-20,0.7003,Jornada,0.3182
"Para automotrices de EU, 17,400 millones de dólares",2008-12-20,-0.9166,Jornada,0.0
"En noviembre, el mayor desempleo en 8 años; se disparó a 4.47%: Inegi",2008-12-20,-0.9531,Jornada,-0.4404
"Decrecimiento de 0.1% para 2009, prevén analistas en sondeo del BdeM",2008-12-20,-0.4019,Jornada,0.0
Siemens sobornó a funcionario de Pemex para influir en juicio ante la corte de París,2008-12-20,-0.7003,Jornada,0.0
El petróleo mexicano cayó a 30.50 dólares,2008-12-20,0.0,Jornada,0.0
Autoridades congelan activos de la empresa de Madoff,2008-12-20,-0.7845,Jornada,0.2263
El catarrito ya es neumonía: Ruiz Mateos,2008-12-20,-0.7717,Jornada,0.0
Firmaron convenio Conagua y el Registro Agrario Nacional,2008-12-20,0.0,Jornada,0.4939
Otorgan toma de nota al SITUAM,2008-12-20,0.3182,Jornada,0.0
"Arranca hoy operativo de vacaciones por vías terrestre, marítima y aérea",2008-12-20,-0.3612,Jornada,0.0
"“Victoria histórica”, declaración en favor de comunidad LGBT en la ONU",2008-12-20,-0.8481,Jornada,0.4019
Sufre violencia intrafamiliar 43% de mujeres de más de 15 años,2008-12-20,-0.9911,Jornada,-0.802
Reunón de rectores de UNAM y UAM con Vázquez Mota,2008-12-20,0.0,Jornada,0.0
Se venden naves espaciales baratas: NASA,2008-12-20,0.2732,Jornada,0.0
Consiguen detener el desarrollo de la leucemia en los ratones,2008-12-20,-0.9584,Jornada,0.3818
Ingrid Betancourt pide medidas “autoritarias” contra el secuestro,2008-12-20,-0.9836,Jornada,0.0
Pide experta a las instituciones de crédito abrir información a usuarios,2008-12-20,0.9779,Jornada,0.0
Habrá clases en Morelos pese a vacaciones,2008-12-20,0.0,Jornada,0.0
"Vaticano: la inseguridad, por pérdida de valores",2008-12-20,-0.5423,Jornada,-0.34
Frena el Presidente la reforma que inhibiría uso de celulares en plagios,2008-12-20,-0.8176,Jornada,-0.3818
Protestan maestros de Veracruz y Michoacán por pagos atrasados,2008-12-20,-0.34,Jornada,-0.25
