article,pub_date,nltk_score,source,nltk_score_title
Censuras a The New Yorker por satirizar a Obama,2008-07-15,-0.8126,Jornada,0.0
Buenos Aires se prepara para un día de protestas en defensa y contra el gobierno,2008-07-15,0.5423,Jornada,-0.128
Adolescente chilena arroja agua a la ministra de Educación en una jornada de diálogos,2008-07-15,-0.9682,Jornada,0.0
La guerra de Irak provoca dramáticas secuelas en niños palestinos refugiados,2008-07-15,-0.99,Jornada,-0.5994
Inicia en Colombia proceso judicial contra 38 presuntos paramilitares escindidos de las AUC,2008-07-15,-0.9022,Jornada,0.0
Llegan peregrinos a Sidney para las JMJ,2008-07-15,0.0,Jornada,0.0
"Exige la Corte Penal Internacional arrestar al presidente sudanés, acusado de genocidio",2008-07-15,-0.9618,Jornada,-0.7906
"Fidel Castro, “lúcido”: García Márquez",2008-07-15,0.0,Jornada,0.0
Brote de sarampión mata a niños somalíes,2008-07-15,-0.8074,Jornada,-0.5423
Los operativos no deben ser la vía para liberar al resto de los rehenes: Gaviria,2008-07-15,-0.9823,Jornada,0.5106
Denuncian plan opositor en Venezuela,2008-07-15,-0.5994,Jornada,0.0
"Sospechosos de terrorismo, un millón, según EU",2008-07-15,-0.7964,Jornada,-0.7906
Radio Educación retira del aire serie para atender la salud emocional,2008-07-15,-0.8225,Jornada,0.1531
Abren muestra de mujeres artistas,2008-07-15,-0.296,Jornada,0.0
Documenta historiador una segunda y frustrada expedición a Cuba desde México,2008-07-15,0.128,Jornada,-0.5267
Diario británico busca desenmascarar a Banksy,2008-07-15,0.4404,Jornada,0.0
Llega a México nuevo libro del autor de culto Sándor Márai,2008-07-15,0.7269,Jornada,0.0
La abolición del apartheid propició el florecimiento del arte y la cultura en Sudáfrica,2008-07-15,-0.8658,Jornada,0.0
Comienza en Jalapa la cuarta versión del Festival Internacional Danza Extrema,2008-07-15,-0.296,Jornada,0.4939
Queda en manos de tres empresas el mercado mundial de cerveza,2008-07-15,0.9509,Jornada,0.0
Levantan en EU veda a la exploración de petróleo y gas natural en aguas costeras,2008-07-15,-0.2751,Jornada,0.5267
"Las mafias presionan en las aduanas, dice Zubiría",2008-07-15,0.34,Jornada,0.0
"Levantar veto al jitomate del país, exige José Ángel Córdova",2008-07-15,-0.6486,Jornada,0.0
Costará 100 mil mdd el rescate de gigantes hipotecarias en EU,2008-07-15,-0.743,Jornada,0.5106
"Ya no hay problemas para la portabilidad, según Cofetel",2008-07-15,-0.9869,Jornada,-0.5994
