article,pub_date,nltk_score,source,nltk_score_title
Jornada de redadas en Cisjordania; detiene el ejército israelí a una legisladora palestina,2008-07-22,-0.296,Jornada,-0.4404
Ocaso del “héroe” de la Gran Serbia,2008-07-22,-0.9643,Jornada,0.6249
Capturan al ex líder serbio bosnio Karadzic; estuvo 13 años prófugo,2008-07-22,-0.9878,Jornada,0.0
Obama habla con el premier de Irak sobre un repliegue de EU si gana la presidencia,2008-07-22,-0.6369,Jornada,0.5859
El impulsor de una cruenta guerra,2008-07-22,-0.9423,Jornada,-0.7783
"Descartan las FARC entregar las armas; “es inadmisible para un revolucionario”, dicen",2008-07-22,-0.7096,Jornada,-0.5719
Analizan enviar bombarderos rusos a Cuba,2008-07-22,0.0,Jornada,0.0
Inicia el primer juicio a un preso en Guantánamo,2008-07-22,-0.8979,Jornada,-0.5423
El cambio en Bolivia seguirá costando sangre: Evo Morales,2008-07-22,-0.9186,Jornada,0.0
Bombazos en China dejan dos muertos,2008-07-22,-0.8591,Jornada,-0.6705
El estado argentino recupera aerolínea privatizada en los 90,2008-07-22,-0.9403,Jornada,0.0
Aprueban reforma constitucional de Sarkozy que fortalece al Parlamento,2008-07-22,0.4588,Jornada,0.4588
Solicitarán a la UNESCO declaratoria de Patrimonio Mundial para Tepeapulco,2008-07-22,0.0,Jornada,0.0
"Traducen emblemática obra de Sabines a las lenguas tzeltal, tzotzil y chol",2008-07-22,-0.5994,Jornada,0.0
Discordia por un templo budista del Patrimonio Mundial,2008-07-22,-0.6808,Jornada,-0.4019
Por primera vez llega a México el acervo de pintura europea del museo de Ponce,2008-07-22,-0.5267,Jornada,0.0
"Creo en las personas, salvo en los políticos, expresa Richard Bona",2008-07-22,-0.7845,Jornada,0.0
Llama Poniatowska a revalorar a Rosario Castellanos,2008-07-22,-0.2023,Jornada,0.0
Ciclo de danza cumple cinco años en el CNA,2008-07-22,0.926,Jornada,0.5719
Muestran en las Rejas de Chapultepec testimonios sobre los sueños de niños y adolescentes del país,2008-07-22,0.2023,Jornada,0.4019
"EU lanza alerta contra el chile jalapeño; no hay evidencias, dicen mexicanos",2008-07-22,-0.9042,Jornada,0.0
"La ronda de Doha garantizaría un sistema comercial más estable, dice Lamy",2008-07-22,-0.5106,Jornada,0.5413
Cerrarán empresas en NL si faltan apoyos al precio del gas,2008-07-22,0.0516,Jornada,0.0
Caja Madrid adquiere la totalidad de Hipotecaria Su Casita,2008-07-22,0.0,Jornada,0.0
"Será duro para el sector turístico el segundo semestre, adelanta Sectur",2008-07-22,0.765,Jornada,-0.1027
Donará Telmex 30 mil laptops a más de mil escuelas marginadas,2008-07-22,0.0,Jornada,0.0
El dilema de los petroprecios,2008-07-22,-0.8979,Jornada,-0.1779
"Captó Pemex por exportación cifra récord de 24,799 mdd",2008-07-22,-0.8074,Jornada,0.0
El fantasma de la inflación,2008-07-22,-0.6705,Jornada,0.0
"Se deberá compensar con 10 mdd a constructora de El Cajón, prevé la CFE",2008-07-22,0.1779,Jornada,0.0
Ruta ecológico-ciclista de Bulgaria a Turquía,2008-07-22,0.765,Jornada,0.0
Afecta la depresión a 54.6% de los estudiantes de bachillerato,2008-07-22,-0.9837,Jornada,-0.5719
Fiscalía portuguesa archiva caso Madeleine,2008-07-22,-0.9666,Jornada,0.0
Transgénicos darían a corporativos el control sobre el maíz en México,2008-07-22,0.0,Jornada,0.0
En 16 años se quintuplicó la cifra de aspirantes rechazados en la UNAM,2008-07-22,-0.8316,Jornada,-0.4588
Diputados preparan reforma para proteger el trabajo doméstico,2008-07-22,-0.5719,Jornada,0.3818
Reunión privada de Benedicto XVI con víctimas de abuso en Australia,2008-07-22,-0.1779,Jornada,-0.7579
"Incalculable, el daño a pesquerías si se destruyen manglares, dicen científicos",2008-07-22,-0.6908,Jornada,-0.7506
Pifia de la SEP al “acuartelar” a niños de la Olimpiada del Conocimiento,2008-07-22,0.1531,Jornada,0.0
Entrega Calderón reconocimientos a los estudiantes más destacados del país,2008-07-22,-0.7845,Jornada,0.6478
Fármaco mejora habla de enfermos de Alzheimer,2008-07-22,-0.4588,Jornada,0.0
El colesterol es problema cuando se queda circulando en la sangre,2008-07-22,-0.9246,Jornada,-0.4019
Inicia la semana con 14 asesinatos ligados con el crimen organizado en 4 estados,2008-07-22,0.0772,Jornada,-0.8176
Recurren sinarquistas al tribunal electoral,2008-07-22,0.0,Jornada,0.0
Detienen en Chiapas a 45 ciudadanos guatemaltecos,2008-07-22,-0.25,Jornada,-0.4019
El PRD podría dejar el método de elección abierta de sus dirigentes,2008-07-22,-0.7906,Jornada,-0.0516
"De 3 mil 110 quejas, la CNDH halla sólo 703 casos de abusos",2008-07-22,-0.9761,Jornada,-0.7845
La carrera sacerdotal no convence; 26 diócesis no lograron ordenar ni un cura,2008-07-22,-0.9623,Jornada,-0.6174
Diputados llaman a funcionarios a rendir cuentas sobre el gasto ejercido este año,2008-07-22,0.9042,Jornada,0.0
Prevén que la “auditoría ciudadana” a la consulta dé certidumbre al proceso,2008-07-22,-0.7845,Jornada,0.25
Los indocumentados que sean detenidos en México ya no enfrentarán cargos penales,2008-07-22,-0.9442,Jornada,-0.8555
Utilidades de América Móvil crecen 25.3%,2008-07-22,0.0,Jornada,0.4404
Encinas: el conflicto del sol azteca no afectará el ejercicio ciudadano,2008-07-22,-0.8481,Jornada,-0.3182
"Costó $2.7 millones contar con Marina, PFP y Estado Mayor en el Grito de 2007",2008-07-22,-0.296,Jornada,-0.4767
Fin al problema del transporte en Los Cabos,2008-07-22,0.34,Jornada,-0.4019
Sagarpa debe agilizar apoyos a campesinos que han perdido cosechas por lluvias: CNC,2008-07-22,0.0,Jornada,0.1027
Prevén más amparos contra ley del ISSSTE,2008-07-22,0.0,Jornada,0.0
"A instancias internacionales, casos de abusos sexuales contra niños mexicanos",2008-07-22,-0.9136,Jornada,-0.6369
"De arribar empresas extranjeras a Pemex, llegarían con “mercenarios”",2008-07-22,0.4404,Jornada,0.0
"Despolitizar el manejo del crudo, pide IP",2008-07-22,0.1779,Jornada,-0.5719
Gasta el gobierno $30 mil millones para defender su reforma petrolera,2008-07-22,-0.9682,Jornada,0.0
Admite Gordillo que en el SNTE se venden plazas y se privilegia a líderes,2008-07-22,-0.9792,Jornada,0.6249
Investigan a general,2008-07-22,0.0516,Jornada,0.0
Designan al obispo auxiliar de Durango,2008-07-22,0.5267,Jornada,0.0
"México, sin tecnología para detectar al narcosubmarino; sí ayudó EU: Sáynez",2008-07-22,-0.9477,Jornada,0.4019
Asisten más de 35 mil personas a la Guelaguetza alternativa,2008-07-22,-0.6808,Jornada,0.0
Fortalece México los nexos con El Salvador,2008-07-22,0.0516,Jornada,0.4588
"Campesinos de Venustiano Carranza, Chiapas, exigen el cese del acoso militar",2008-07-22,-0.0516,Jornada,-0.6124
Revisarán auditores privilegios fiscales otorgados por el SAT a empresarios,2008-07-22,-0.3818,Jornada,0.5574
Confirman la muerte de 6 connacionales,2008-07-22,-0.8834,Jornada,-0.5994
Nueva Izquierda busca remover a González Garza en San Lázaro,2008-07-22,-0.9623,Jornada,0.0
Prevén comerciantes un incremento entre 5 y 15% en precios de alimentos este año,2008-07-22,0.25,Jornada,0.3182
Corral Jurado sigue en el CEN de Acción Nacional,2008-07-22,-0.6808,Jornada,0.0
Llama HRW a EU a frenar las ejecuciones de cinco mexicanos,2008-07-22,-0.9393,Jornada,0.0
Dolly será huracán; se desplaza hacia el norte,2008-07-22,-0.4588,Jornada,0.0
Activista inicia huelga de hambre contra el Arco Vial Sureste,2008-07-22,-0.0516,Jornada,-0.3612
Clausuran definitivamente el basurero de Chiconautla,2008-07-22,0.1779,Jornada,-0.3818
Empleados de Telmex piden autos nuevos,2008-07-22,0.2263,Jornada,0.0
Indígenas de Chiapas protestan contra CFE,2008-07-22,-0.5267,Jornada,-0.25
Accidentes en Chihuahua y Coahuila dejan 23 muertos,2008-07-22,-0.9371,Jornada,-0.7783
Reconocen a dirigente del PRD en Querétaro,2008-07-22,0.0,Jornada,0.0
Huyen cinco reos y un policía en Tamaulipas,2008-07-22,-0.7783,Jornada,0.0
Alerta epidemiológica en el norte de Veracruz,2008-07-22,0.1779,Jornada,0.296
Levantan clausura a hotel de actor en QR,2008-07-22,0.34,Jornada,0.0
Hallan 5 de 16 tanques de gas cloro robados,2008-07-22,-0.296,Jornada,-0.4939
Antorchistas cierran avenidas en Morelia,2008-07-22,-0.2732,Jornada,0.0
Desaparece un atleta keniano en Chihuahua,2008-07-22,-0.5267,Jornada,-0.34
Habrá en Guerrero 644 mesas para la consulta,2008-07-22,0.0,Jornada,0.0
Sería un crimen construir hotel y campo de golf en San Miguel de Allende: ONG,2008-07-22,-0.6808,Jornada,-0.5423
