article,pub_date,nltk_score,source,nltk_score_title
Fallecen al menos 28 personas en avión que se incendió tras aterrizar en Jartum,2008-06-11,-0.9831,Jornada,-0.7184
"Deroga Chávez ley de inteligencia; varios artículos son anticonstitucionales, reconoce",2008-06-11,0.7351,Jornada,0.4767
"Lista, la UE para implementar sanciones a Irán en rechazo a su programa nuclear",2008-06-11,0.6908,Jornada,-0.5423
Instalan escáneres en los aeropuertos de EU,2008-06-11,0.91,Jornada,0.0
Las FARC deben replantear su estrategia de solución al conflicto armado: ONG,2008-06-11,-0.9552,Jornada,0.0
Solicitan abogados prisión perpetua para tres implicados en la matanza de Fátima,2008-06-11,-0.9531,Jornada,0.0
Autoriza la Unión Europea aumentar la semana laboral hasta 65 horas,2008-06-11,0.9842,Jornada,0.3182
Brasil: ola de ocupaciones contra Lula,2008-06-11,0.0,Jornada,0.0
Discute Europa el fin de sanciones a Cuba,2008-06-11,0.4939,Jornada,0.0
Lesión de Fujimori sí era cancerígena,2008-06-11,0.1027,Jornada,-0.0258
Acusan a Daniel Ortega de malversación,2008-06-11,0.0,Jornada,-0.296
"Reflexión, pide Evo Morales a la UE por su vergonzosa política migratoria",2008-06-11,0.128,Jornada,-0.4939
Llega a la cárcel “el efecto multiplicador” del sistema de orquestas de Venezuela,2008-06-11,-0.9854,Jornada,0.0
Por primera vez honran a los paparazzi,2008-06-11,-0.296,Jornada,0.4939
Llaman a dar la batalla en todos los frentes para defender la literatura,2008-06-11,-0.875,Jornada,-0.3818
Se vuelven Juárez para explorar la marginación actual contra los indígenas,2008-06-11,-0.3612,Jornada,0.0
"Estrenan montaje de teatro de juguete para “un público inteligente, de manera sencilla”",2008-06-11,-0.3612,Jornada,0.4588
Cada vez es más difícil encontrar una imagen que valga la pena: Lázaro Blanco,2008-06-11,-0.9042,Jornada,-0.1531
Pagaron artistas impuestos con obra; ahora abren colectiva,2008-06-11,-0.7783,Jornada,0.0
"Comparar precios, recomienda Profeco ante fuertes disparidades del mercado",2008-06-11,-0.296,Jornada,0.6369
Advierte Gurría de riesgo de desperdiciar el agua,2008-06-11,-0.296,Jornada,-0.6369
"Disminuirá ritmo de expansión de países en desarrollo, prevé el Banco Mundial",2008-06-11,0.765,Jornada,0.0
"Preocupante, la intención de Calderón de incidir en política monetaria: Banamex",2008-06-11,0.936,Jornada,0.0
Cepal: el crecimiento de Latinoamérica en 2009 será el más bajo en seis años,2008-06-11,0.2023,Jornada,0.0
Disparidades bursátiles,2008-06-11,0.4588,Jornada,0.296
Bajó en NY precio del petróleo estadunidense,2008-06-11,-0.4215,Jornada,0.0
"La reserva de divisas, 134% mayor al valor de la producción del agro",2008-06-11,0.0,Jornada,0.34
A 250 dólares llegará el crudo: dueño de Gazprom,2008-06-11,-0.296,Jornada,0.0
