article,pub_date,nltk_score,source,nltk_score_title
Productores argentinos convocan para hoy a paro general de labores,2008-06-02,-0.8979,Jornada,0.0
Rechaza Insulza voces del hemisferio para actuar “de oficio” en el conflicto Quito-Bogotá,2008-06-02,-0.9744,Jornada,-0.6705
Chávez defiende ley de Inteligencia,2008-06-02,0.8225,Jornada,0.4767
Aprueba Israel edificar más casas en Jerusalén,2008-06-02,-0.5994,Jornada,0.4019
Simbólico triunfo de Hillary Clinton en elecciones primarias en Puerto Rico,2008-06-02,-0.8979,Jornada,0.4767
Se estrella helicóptero de rescate en China,2008-06-02,-0.4767,Jornada,0.5106
"En Suiza, revés a la derecha populista",2008-06-02,-0.296,Jornada,0.0
No habrá referendo en el País Vasco: Madrid,2008-06-02,-0.7269,Jornada,-0.296
Entregan cien casas financiadas por el Estado venezolano en ciudad peruana,2008-06-02,-0.1082,Jornada,0.0
Abstencionismo marca consultas en Beni y Pando; triunfa el sí,2008-06-02,0.8658,Jornada,0.7003
"Jeff Wall, un fotógrafo que no toma imágenes: las experimenta",2008-06-02,-0.93,Jornada,0.0
"Peregrinaje, un recorrido por el mundo interior para comprender lo que nos rodea",2008-06-02,0.3818,Jornada,0.0
"Con Psicotrópico, busca Limón la divinidad de las cosas",2008-06-02,0.296,Jornada,0.5719
Reabre el Museo Mural Diego Rivera con muestra sobre El Chango García Cabral,2008-06-02,0.886,Jornada,0.0
"Surge Donceles 66, espacio para que la gente hable sólo de libros y literatura",2008-06-02,-0.4588,Jornada,0.0
"México y España, lengua de Montserrat Aleix para expresarse pictóricamente",2008-06-02,-0.9661,Jornada,0.0
Un artista debe llegar al fondo de su obra aunque le cueste la vida: Luciano Spanó,2008-06-02,0.9153,Jornada,0.0258
Transportistas exigen a Hacienda atención a sus demandas; hoy comienzan movilizaciones,2008-06-02,-0.9274,Jornada,-0.2263
El alto precio de la gasolina eleva ventas de autos híbridos,2008-06-02,-0.7003,Jornada,0.0
Pescadores catalanes levantan el paro,2008-06-02,0.0,Jornada,-0.4404
"El crecimiento depende de la reforma fiscal, según el CEESP",2008-06-02,-0.7717,Jornada,0.3818
Importación y contrabando afectan a los industriales,2008-06-02,-0.8591,Jornada,-0.4767
Exige Telmex considerar opiniones y corregir el PTI,2008-06-02,-0.8442,Jornada,0.0
Petrobras explorará petróleo en la zona cubana del Golfo de México,2008-06-02,-0.4588,Jornada,0.0
"Ronda de Doha, clave para superar la crisis alimentaria mundial: APEC",2008-06-02,-0.2732,Jornada,-0.6249
No habrá subsidios a industriales por elevados precios de combustibles: Sener,2008-06-02,-0.5106,Jornada,-0.296
"Sin regulación, México vende medicinas “biotecnológicas”",2008-06-02,-0.9868,Jornada,0.0
Empresas españolas se apoderan de la operación de agua en BCS,2008-06-02,-0.967,Jornada,0.0
Proceso de los medicamentos,2008-06-02,-0.8225,Jornada,0.0
SCT: clínicas privadas harán chequeos médicos a choferes,2008-06-02,-0.9732,Jornada,0.0
"Cargill ganará $1,221.5 millones en seis meses por subsidios del gobierno al maíz",2008-06-02,0.3182,Jornada,0.0
Día de la Marina,2008-06-02,0.0516,Jornada,0.0
Tamaulipas no le entrará a la consulta,2008-06-02,-0.4767,Jornada,0.0
Hay avance en el IMSS: Molinar Horcasitas,2008-06-02,0.2263,Jornada,0.4215
Los nuevos trabajadores del IMSS se jubilarán mediante el sistema de Afores,2008-06-02,0.8591,Jornada,0.0
Propone el PRI que connacionales en EU inviertan remesas en bonos petroleros,2008-06-02,0.9062,Jornada,0.0
Exige Calderón a gobiernos municipales y estatales no declinar en la lucha antinarco,2008-06-02,-0.8885,Jornada,-0.3818
"Reactivarán protestas contra Ley del ISSSTE, en espera del fallo de la Corte",2008-06-02,-0.5994,Jornada,-0.2263
"Fue sesgado el análisis del IFE sobre espots panistas de 2006, acusa el PRD",2008-06-02,-0.9885,Jornada,-0.5423
Hay “oídos sordos” en el gobierno,2008-06-02,-0.5994,Jornada,0.0
Campaña sobre la consuta petrolera,2008-06-02,-0.296,Jornada,0.0
Doce meses de vía crucis de familiares de los 38 petroleros desaparecidos,2008-06-02,-0.9741,Jornada,-0.296
Exige AMLO investigar a fondo dónde han quedado los excedentes petroleros,2008-06-02,-0.8271,Jornada,0.0
Denuncian zapatistas el despojo de sus manantiales; acusan a perredistas,2008-06-02,-0.9509,Jornada,-0.5574
Exigen cenecistas modificar las bases de la política agropecuaria,2008-06-02,-0.9217,Jornada,-0.128
Balacera entre presuntos sicarios y policías en Zapopan; la PGR atrae las pesquisas,2008-06-02,0.1027,Jornada,0.4019
"En estado crítico, las garantías en Oaxaca, considera la CCIODH",2008-06-02,-0.9695,Jornada,-0.3182
Pide GDF a Pemex aclarar por qué retiene recursos,2008-06-02,-0.7579,Jornada,0.0
"Los debates están convertidos en una defensa de intereses, señala el CEESP",2008-06-02,-0.967,Jornada,0.3612
Demandan ONG al Senado la remoción de Soberanes,2008-06-02,0.5994,Jornada,0.0
Parte caravana de apoyo a deudos de los mineros muertos en Pasta de Conchos,2008-06-02,0.4939,Jornada,-0.6808
Preparan mil denuncias ante la Fepade por duplicidad de credencial para votar,2008-06-02,-0.936,Jornada,-0.4019
Alista el PRI temas a tratar en el Senado,2008-06-02,0.0,Jornada,0.0
SFP efectuó 155 auditorías durante 2007,2008-06-02,-0.7096,Jornada,0.0
Abogado francés asegura tener pruebas de las anomalías en el caso Florence Cassez,2008-06-02,-0.9877,Jornada,0.0
Desechan maestros de Oaxaca oferta del gobierno estatal; seguirán las protestas,2008-06-02,-0.128,Jornada,-0.2263
Alianza educativa y reforma energética amenazan a Gordillo y Romero Deschamps,2008-06-02,0.0258,Jornada,-0.128
Juan S. Millán impulsa propuesta de construir un “nuevo sindicalismo”,2008-06-02,-0.891,Jornada,0.0
Analiza la ASF incumplimientos de la Sedeso en la cuenta pública de 2006,2008-06-02,-0.743,Jornada,0.0
Acuerdan tregua en conflicto por tierras,2008-06-02,-0.5574,Jornada,0.0516
Pronostican inundaciones por Arthur,2008-06-02,-0.34,Jornada,0.0
