article,pub_date,nltk_score,source,nltk_score_title
Atentados con bombas en la ciudad de Jaipur matan a unas 80 personas,2008-05-14,-0.802,Jornada,-0.8957
"Establecer un “puente aéreo”, propone la ONU a la junta militar de Myanmar",2008-05-14,-0.4767,Jornada,0.0
Colombia extradita a EU a 14 jefes paramilitares “por narcotráfico”,2008-05-14,-0.6486,Jornada,0.0
Francia agradece los esfuerzos de Ecuador para la liberación de rehenes de las FARC,2008-05-14,-0.7096,Jornada,0.7351
"España: al borde de la ruptura, el Partido Popular",2008-05-14,-0.1531,Jornada,0.6705
Venezuela exige respeto a Alemania,2008-05-14,-0.5994,Jornada,0.4767
Llega a 20 mil el número de muertos y desaparecidos por el sismo en China,2008-05-14,-0.7096,Jornada,-0.7579
Estrategas de Obama y McCain ya preparan la campaña para noviembre,2008-05-14,-0.5719,Jornada,0.3612
Evo Morales y gobernadores plantean un acuerdo nacional con la oposición de derecha,2008-05-14,0.9153,Jornada,0.4939
Planean hacer una revisión de los diarios y el intercambio epistolar de Carballido,2008-05-14,0.1779,Jornada,0.0
"Crece la emigración de universitarios mexicanos a EU, alerta escritor",2008-05-14,-0.9619,Jornada,0.4404
El asesinato de Luther King y la liberación de Nelson Mandela,2008-05-14,-0.9872,Jornada,-0.5994
Rauschenberg hizo de la libertad su mayor vivencia: Jorge Alberto Manrique,2008-05-14,0.8779,Jornada,0.8555
Hurga investigador en 26 tomos y cartas inéditas del humanista Alfonso Reyes,2008-05-14,0.3612,Jornada,0.0
Feria editorial dedicada al dramaturgo,2008-05-14,0.7783,Jornada,0.6486
Murió caricaturista cubano,2008-05-14,0.0,Jornada,-0.5574
"Murió Robert Rauschenberg, revolucionario del arte",2008-05-14,0.9798,Jornada,-0.5574
Figuran tres mujeres y un hombre entre los aspirantes al polémico Premio Turner,2008-05-14,0.5423,Jornada,0.3612
Firman Venezuela y Portugal acuerdo de intercambio de petróleo por alimentos,2008-05-14,0.9485,Jornada,0.4939
Sientan a 20 trasnacionales en banquillo de los acusados en cumbre alternativa,2008-05-14,-0.872,Jornada,-0.296
Acusa Canitec a Telmex de chantaje al rechazar el plan técnico de interconexión,2008-05-14,0.0516,Jornada,-0.1027
"Proveedores, fuente de financiamiento",2008-05-14,0.8555,Jornada,0.0
Contrató el gobierno federal deuda interna por $105 mil 613 millones,2008-05-14,0.5719,Jornada,-0.3612
El West Texas alcanzó 127 dólares; la mezcla mexicana cerró en 104.57,2008-05-14,-0.3818,Jornada,0.0
Alicia Bárcena sustituirá a Machinea en la Cepal,2008-05-14,-0.765,Jornada,0.0
Autorizan a Televisa adquirir 49% de Cablemás,2008-05-14,-0.5267,Jornada,0.0
Pide Coparmex evitar subejercer presupuesto,2008-05-14,-0.6705,Jornada,-0.296
"Un engaño, el acuerdo educativo entre Calderón y Gordillo: CNTE",2008-05-14,-0.1531,Jornada,0.0772
"Vacuna contra el papiloma en América Latina, sólo si costara 25 dólares: OPS",2008-05-14,-0.9882,Jornada,0.0
Niegan motín en Cereso de Morelos,2008-05-14,-0.1779,Jornada,-0.5106
Presunto atentado de ETA,2008-05-14,-0.9702,Jornada,-0.743
Reitera titular de la Ssa compromiso para respetar laicidad del Estado,2008-05-14,-0.9231,Jornada,0.6908
El Infonavit no pagará a la Judicatura los $44 millones transferidos “por error”,2008-05-14,-0.128,Jornada,-0.2741
"Para que los guardaespaldas porten armas existen el trámite “derecho y el otro”, dicen",2008-05-14,-0.9953,Jornada,-0.4404
INER: inicia proceso para elegir director,2008-05-14,-0.8074,Jornada,0.0
El gobierno mexicano hace cosas buenas pero le faltan acciones: Greenpeace,2008-05-14,-0.9607,Jornada,-0.25
Pide El Barzón crear reserva estratégica,2008-05-14,-0.9287,Jornada,0.2732
Dan toma de nota al dirigente del STUNAM,2008-05-14,-0.3612,Jornada,0.0
La SCJN emitirá su primer fallo sobre la Ley del ISSSTE este mes,2008-05-14,0.4767,Jornada,0.0
La cancillería busca diálogo con migrantes,2008-05-14,0.0,Jornada,0.0
Líder de trabajadores denuncia amenazas,2008-05-14,0.0,Jornada,-0.6908
Advierten priístas sobre crisis alimentaria,2008-05-14,-0.1779,Jornada,-0.6705
Desarrollan en la UdeG cementos óseos de materiales bioactivos,2008-05-14,-0.9596,Jornada,0.0
Buscan regular pago de daños por uso de transgénicos,2008-05-14,0.6597,Jornada,-0.4404
Falaz visión calderonista sobre Pemex: Cárdenas,2008-05-14,-0.9888,Jornada,0.0
Enfrentamiento entre policías y presuntos narcos deja dos muertos en Ciudad Juárez,2008-05-14,-0.9062,Jornada,-0.7351
"Hay ya una desincorporación hormiga de funciones en Pemex, alerta David Ibarra",2008-05-14,-0.9744,Jornada,-0.1027
Casi 100 legisladores de EU exigen que no queden impunes los abusos en el Edomex,2008-05-14,-0.7203,Jornada,-0.6908
Piden aprobar ya la Iniciativa Mérida ante ola de asesinatos,2008-05-14,-0.9889,Jornada,-0.6124
Balean en Nuevo León a comandante de la PFP; resultó con heridas leves,2008-05-14,-0.4404,Jornada,0.0
Comité del 68 pide que se difunda por el Canal Judicial sesión sobre Echeverría,2008-05-14,0.0516,Jornada,0.0
Propone NI a Ifigenia Martínez para que dirija la secretaría de finanzas perredista,2008-05-14,-0.7392,Jornada,0.0
"La PGR, sin pruebas de que los Beltrán Leyva hayan asesinado a Édgar Millán",2008-05-14,-0.9786,Jornada,0.0
Pemex debe reportar gastos en tratamientos gamma knife,2008-05-14,0.34,Jornada,0.0
Legisladores perredistas denuncian hoy ante la PGR al titular de Sedeso,2008-05-14,-0.5423,Jornada,-0.34
"En breve, AMLO presentará su proyecto para fortalecer Pemex: Ortiz Pinchetti",2008-05-14,0.296,Jornada,0.3182
"“Temeraria”, la estrategia oficial contra narcos, según Ruth Zavaleta",2008-05-14,-0.9758,Jornada,0.0
Comisión Europea: hay que respetar garantías,2008-05-14,-0.765,Jornada,0.4767
El IFE pide documentos de la sesión en que se nombró a Guadalupe Acosta,2008-05-14,-0.926,Jornada,0.0
Marcan comicios de 2009 el arranque del debate petrolero,2008-05-14,-0.9836,Jornada,0.0
Rechaza Encinas congreso extraordinario que nombre presidencia colegiada del PRD,2008-05-14,-0.5574,Jornada,0.0
