article,pub_date,nltk_score,source,nltk_score_title
"Falleció Manuel Marulanda, según versión del Ministerio de Defensa",2008-05-25,-0.9694,Jornada,-0.4767
"Tirofijo, veterano guerrillero que ha puesto en aprietos a los gobiernos colombianos",2008-05-25,-0.9786,Jornada,-0.296
Queja del Dalai Lama contra China,2008-05-25,-0.765,Jornada,-0.296
Fustigan en el Foro de Sao Paulo la injerencia de EU en América Latina,2008-05-25,0.5106,Jornada,0.0
Cientos de miles de damnificados votan en el referendo constitucional de Myanmar,2008-05-25,-0.7351,Jornada,-0.3182
Más de 25 mil inmigrantes escapan de la violencia xenófoba hacia centros provisionales,2008-05-25,-0.9723,Jornada,-0.5267
Ola de violencia en Bolivia obliga al presidente Morales a suspender gira,2008-05-25,0.128,Jornada,-0.7506
"Turandot, de Giacomo Puccini, abrió el Festival del Mediterráneo, en Valencia",2008-05-25,0.9584,Jornada,0.4939
Critica antropólogo desconocimiento de las realidades indígenas del país,2008-05-25,-0.886,Jornada,-0.5994
Migraciones y ondulaciones,2008-05-25,-0.5267,Jornada,0.0
"Cumple hoy su primer centenario de vida el Teatro Colón, de Buenos Aires",2008-05-25,-0.296,Jornada,0.5719
Laberinto existencial de un escritor polémico,2008-05-25,-0.936,Jornada,-0.2023
La esencia de los recuerdos,2008-05-25,0.5267,Jornada,0.0
Pasajeros en vilo,2008-05-25,-0.6705,Jornada,0.0
Lamenta Julio Hernández cerrazón de medios a la mitad de la sociedad políticamente activa,2008-05-25,-0.8722,Jornada,0.0516
Venturoso desciframiento,2008-05-25,0.4588,Jornada,0.0
"Recopila experta “manifiestos, suspiros y oraciones” de Goeritz",2008-05-25,0.0772,Jornada,0.0
Abrirá el gobierno de Zacatecas un centro cultural en la ciudad de México,2008-05-25,0.0772,Jornada,0.0
Descubren en Perú yacimiento de uranio,2008-05-25,0.743,Jornada,0.0
Rehúsa el gobierno aplicar el “antídoto” contra la crisis alimentaria: productores,2008-05-25,-0.1531,Jornada,-0.6249
"Culpa federal, el desplome del turismo fronterizo: IP",2008-05-25,-0.6705,Jornada,-0.6808
Pese a ingresos históricos Pemex financia proyectos con deuda,2008-05-25,0.2732,Jornada,-0.3612
Frenan producción de crudo en el Mar del Norte,2008-05-25,-0.296,Jornada,-0.5719
"Nicaragua, dispuesta a nacionalizar la distribución de energía eléctrica",2008-05-25,0.7717,Jornada,0.5574
Estrategia de la OMS para apoyar a países en desarrollo,2008-05-25,0.7269,Jornada,0.4019
Agilizará UNAM entrega de becas,2008-05-25,0.0,Jornada,0.3182
Las universidades deben construir sociedades democráticas: expertos,2008-05-25,0.802,Jornada,0.0
Felleció ayer en Monterrey Eugenio Garza Lagüera,2008-05-25,0.6369,Jornada,0.0
Exige canciller a delegados más coordinación,2008-05-25,-0.296,Jornada,0.0
"Personal de IMSS-Oportunidades, en paro por carencias en los servicios",2008-05-25,-0.9661,Jornada,-0.3182
"La alianza educativa sólo generará incertidumbre, señala la CNTE",2008-05-25,-0.0258,Jornada,-0.34
"Superan 1,800 cubanos cien años de edad",2008-05-25,0.0,Jornada,0.0
"Los programas sociales son aplicados con “ignorancia”, señalan especialistas",2008-05-25,-0.4588,Jornada,0.0
Inmujeres: la pobreza vuelve más vulnerable al sector femenino,2008-05-25,-0.9965,Jornada,-0.6697
"Diputados del PAN: preciso, ajustar el programa contra la delincuencia",2008-05-25,-0.128,Jornada,-0.5423
