article,pub_date,nltk_score,source,nltk_score_title
"Venganza política, la decisión de Bush de suspender la ayuda de EU: Evo Morales",2008-11-28,0.0516,Jornada,-0.6908
"En Cuba, el mandatario de Rusia",2008-11-28,0.7845,Jornada,0.0
Premier tailandés decreta el estado de excepción; rumores de golpe,2008-11-28,0.3818,Jornada,-0.3818
Finaliza gira de Medvediev a Venezuela con la firma de siete acuerdos de cooperación,2008-11-28,0.2263,Jornada,0.2732
Continúa la batalla en Bombay; acusa el primer ministro indio a Pakistán,2008-11-28,-0.802,Jornada,-0.6124
Desmiente el ministro de Defensa paquistaní que su país esté implicado en los atentados,2008-11-28,-0.6808,Jornada,-0.3182
Tropas invasoras saldrán en 2011: Parlamento iraquí,2008-11-28,0.5267,Jornada,-0.0516
El Día de Acción de Gracias 36 millones de estadunidenses padecen hambre,2008-11-28,0.9773,Jornada,0.0
"A Fuentes, la medalla Ruiz Cortines",2008-11-28,0.0,Jornada,0.4767
"Por segunda vez, la compañía de Ucrania mostrará su virtuosismo",2008-11-28,0.9313,Jornada,0.4767
Lamenta promotora de espectáculos “el desprecio” por la cultura en el país,2008-11-28,-0.8519,Jornada,-0.743
La UNAM rinde homenaje al ex rector Rivero Serrano,2008-11-28,0.0,Jornada,0.0
Conmemoran el centenario del “etnólogo filósofo” francés Claude Lévi-Strauss,2008-11-28,0.7579,Jornada,0.0
"Giuseppe Penone no busca “representar la naturaleza, sino reflejarla en su cuerpo”",2008-11-28,-0.1779,Jornada,0.0
Multitudinaria afluencia en la apertura del MUAC,2008-11-28,-0.6124,Jornada,0.0
Distinguen a Juan Marsé con el Premio Cervantes 2008,2008-11-28,0.886,Jornada,0.5106
Baja sensible en la actividad turística para 2009: Elizondo,2008-11-28,-0.8271,Jornada,-0.2732
"Enmedio de la restricción crediticia, Banorte eleva el monto para préstamos",2008-11-28,0.9042,Jornada,0.128
Se disparó 42.33% la cartera vencida del préstamo al consumo,2008-11-28,0.9709,Jornada,0.0
Rechaza Senado liberalización arancelaria,2008-11-28,-0.6808,Jornada,-0.4939
Iniciativa del PRI busca frenar el abuso de bancos que elevan intereses en tarjetas,2008-11-28,0.6597,Jornada,-0.296
PAN y PRI abrieron la telefonía fija a la inversión extranjera sin reciprocidad,2008-11-28,0.0,Jornada,0.0
"Mínimo incremento de pasajeros, prevé Mexicana para 2009",2008-11-28,0.4939,Jornada,0.3182
Destina España 14 mil 200 mdd para crear 300 mil empleos,2008-11-28,0.3182,Jornada,0.2732
Instalarán 14 aulas Telmex en escuelas de la UNAM,2008-11-28,0.0,Jornada,0.0
Insta Calderón a pensar asertivamente en vez de compartir el temor colectivo,2008-11-28,-0.5106,Jornada,-0.1027
"Codusa, otra víctima de los derivados",2008-11-28,0.5267,Jornada,-0.2732
Rangel Domene dirigirá Nafin y Bancomext,2008-11-28,0.5994,Jornada,0.0
Pequeñas y medianas empresas pagan en “abonos” liquidación a despedidos,2008-11-28,0.7964,Jornada,-0.1027
"Invertirá Slim 800 mdd en la Plaza Carso, en la colonia Irrigación",2008-11-28,0.3182,Jornada,0.0
"Paraísos fiscales empeoran la crisis mundial, acusa el Vaticano",2008-11-28,0.6908,Jornada,-0.8126
Obispos de México y Estados Unidos defienden el derecho divino de migrar,2008-11-28,0.6908,Jornada,0.7506
"Reconsiderar la ley antitabaco, pide Canirac",2008-11-28,-0.3182,Jornada,0.0
Aumentó 24% emplazamiento a huelgas en este año: JFCA,2008-11-28,0.0,Jornada,0.1531
Tiene el IMSS a 5 mil 500 pacientes en lista de espera para trasplante de riñón,2008-11-28,0.0258,Jornada,0.0
Recomienda el titular de Sagarpa cultivar para la producción de biocombustibles,2008-11-28,-0.1779,Jornada,0.2263
"Añejo y ostensible, el deterioro de servicios en el Siquiátrico Infantil: padres de familia",2008-11-28,-0.5423,Jornada,0.0
"Un país donde hay violencia contra las mujeres no es democrático, sostiene Josefina Vázquez Mota",2008-11-28,-0.9977,Jornada,-0.4434
Piden que un experto ocupe la dirección del INEE,2008-11-28,-0.0516,Jornada,0.0
Aplican consulados de España en México medida discriminatoria a solicitantes de visa de estudios,2008-11-28,-0.4215,Jornada,0.0
Aumenta el apoyo a proyectos productivos de discapacitados,2008-11-28,-0.296,Jornada,0.5859
Antorcha Campesina anuncia plantones diarios en el Hemiciclo a Juárez,2008-11-28,-0.9661,Jornada,0.0
Usan el arte en apoyo a grupos vulnerables,2008-11-28,-0.5994,Jornada,0.2023
En Chihuahua mueren 4 paisanos en percance,2008-11-28,0.5267,Jornada,-0.5994
Reclama el rector de la UNAM a Vázquez Mota rezago en cobertura universitaria,2008-11-28,-0.7184,Jornada,-0.34
Bandas armadas de Colombia cambian patrones de reclutamiento a menores,2008-11-28,-0.9169,Jornada,0.0
Ahorro de $5 mil millones por rebaja a fármacos de patente,2008-11-28,-0.7906,Jornada,0.0
Denuncian ante la SFP a director de la Escuela Superior de Ingeniería del IPN,2008-11-28,0.25,Jornada,-0.34
Protestan maestros de Michoacán frente a “bancos usureros” y centros comerciales,2008-11-28,-0.4404,Jornada,-0.25
"“No hay energías verdes, todas tienen repercusiones”",2008-11-28,0.4767,Jornada,-0.0258
Buscan inmunizar al mosco de la malaria para controlar el contagio,2008-11-28,-0.9753,Jornada,-0.4588
El gobierno presentará como “avances” de los cien días planes aún sin concretar,2008-11-28,-0.2732,Jornada,0.0
Beatriz Paredes: toca al gobierno vigilar los “patrocinios oscuros”,2008-11-28,-0.93,Jornada,0.0
Resurgen diferencias entre Convergencia y PRD por una curul en San Lázaro,2008-11-28,0.0516,Jornada,0.0
"Renuncian al PRD Fernanda Campa, Fernández Noroña y Horacio Flores",2008-11-28,0.0,Jornada,-0.34
AN y PRD piden al IFE que defina cómo blindará contra el crimen las campañas,2008-11-28,-0.128,Jornada,-0.5423
