article,pub_date,nltk_score,source,nltk_score_title
"Isolated Voting Problems, But (Seemingly) No Catastrophe",2008/11/04,0.2631,ProPublica,-0.891
Electronic Voting Machine Maker Responds,2008/11/04,0.8769,ProPublica,0.0
GOP Complains of “Intimidation” in Philly,2008/11/04,0.65,ProPublica,-0.3818
A Hint of Florida 2000 (or Ohio 2004) in Ohio 2008?,2008/11/04,-0.2564,ProPublica,0.0
USC Study of Alhurra Withheld From Public; Inquiries of Network’s Operation Deepen,2008/11/04,-0.6285,ProPublica,0.0
Michigan Clerk Sees Problems With Electronic Voting Machines,2008/11/04,0.8247,ProPublica,-0.4019
No Probs in N. Dakota—Because No Registration is Required!,2008/11/04,0.2023,ProPublica,-0.5707
"Cambridge, Mass. Voting Problem Fixed",2008/11/04,-0.3262,ProPublica,-0.4019
Political donors receive threatening letters,2008/11/04,0.9859,ProPublica,-0.5267
Hacker Tried to Bamboozle Virginia College Students,2008/11/04,-0.4939,ProPublica,-0.3612
"Cambridge, MA - Vanishing Voter Registrations",2008/11/04,0.8646,ProPublica,0.0
Voting Machine Breakdowns a Non-Partisan Problem,2008/11/04,-0.2205,ProPublica,-0.4019
Computer Glitch in Kansas City?,2008/11/04,-0.7351,ProPublica,0.0
Absentee Voters Left Out in Georgia,2008/11/04,0.5492,ProPublica,-0.2732
Good Morning from VoteWatch,2008/11/04,-0.4654,ProPublica,0.4404
McCain Advisor Responds to Voter Fraud Story,2008/11/04,-0.5859,ProPublica,-0.5859
