article,pub_date,nltk_score,source,nltk_score_title
Operación europea contra piratas somalíes,2008-11-11,-0.6808,Jornada,0.0
Obama clausurará Guantánamo; se procesará a los presos en EU,2008-11-11,0.5859,Jornada,-0.7579
Marchan miles de indígenas rumbo a Bogotá desde Cali y el municipio La Plata,2008-11-11,0.1779,Jornada,0.0
Refrendan sandinistas su dominio político; ganan 102 de las 146 alcaldías en disputa,2008-11-11,-0.9716,Jornada,0.0516
EU cancela visas a diplomáticos venezolanos,2008-11-11,-0.7717,Jornada,-0.25
Dispuesta la UE a enviar más ayuda a la isla,2008-11-11,0.0,Jornada,0.3612
Fuerzas invasoras matan a 14 afganos,2008-11-11,-0.4215,Jornada,-0.6908
Huelga del transporte público paraliza Italia,2008-11-11,-0.128,Jornada,-0.128
Agrava Paloma el problema de vivienda en Cuba; destruye más de 500 casas,2008-11-11,-0.9382,Jornada,-0.8481
Pide Irán a EU dar giro en plan atómico,2008-11-11,-0.6808,Jornada,0.0
El arte de México acapara estos días la atención en la cartelera cultural de Moscú,2008-11-11,-0.6808,Jornada,0.0516
"La cultura, esencial para la defensa de la identidad cubana, dice funcionaria",2008-11-11,-0.891,Jornada,0.128
Fuentes hace “una postulación de libertad” y deja al lector la decisión,2008-11-11,0.7717,Jornada,0.6369
"Santa Anna, ópera de Carlos Fuentes, se estrenará el día 20 en el Teatro de la Ciudad",2008-11-11,-0.3182,Jornada,0.0
Confieren a Atiq Rahimi el Premio Goncourt por retratar la opresión contra las mujeres,2008-11-11,-0.9468,Jornada,0.7184
Hugo Rosell publica su primer poemario,2008-11-11,-0.0772,Jornada,0.0
La IP recorta fondos para la filantropía,2008-11-11,-0.296,Jornada,-0.296
No bajará el precio de los combustibles,2008-11-11,0.5106,Jornada,0.2235
Prevén baja en producción de lácteos,2008-11-11,-0.5106,Jornada,-0.2732
"Rescate récord de la aseguradora AIG en EU, con 150 mil mdd",2008-11-11,0.4215,Jornada,0.5106
"Sumamente rezagados, los programas para enfrentar la crisis: empresarios",2008-11-11,-0.6486,Jornada,-0.7574
"Fitch: negativa, la calidad de la deuda mexicana y de bancos",2008-11-11,0.1027,Jornada,-0.7351
Ecos de la gran depresión,2008-11-11,-0.9957,Jornada,0.1027
"Este año se generarán menos empleos que en 2007, reconoce Lozano Alarcón",2008-11-11,-0.6908,Jornada,0.0
"En manos privadas, 70% de la exploración y producción de crudo",2008-11-11,0.8625,Jornada,0.2263
"Ahora se necesitan recursos para “un rescate social”, destaca el rector Narro",2008-11-11,-0.2023,Jornada,0.0
