article,pub_date,nltk_score,source,nltk_score_title
Condenan 185 países en Naciones Unidas el bloqueo de Estados Unidos a Cuba,2008-10-30,-0.4939,Jornada,-0.3818
Uribe destituye a 27 oficiales del ejército por desaparición y muerte de unos 20 jóvenes,2008-10-30,-0.93,Jornada,-0.5994
Hugo Chávez y Evo Morales celebran lanzamiento del satélite Simón Bolívar,2008-10-30,0.5423,Jornada,0.5719
Giro del demócrata en política exterior al ofrecer rescatar “el prestigio” de EU,2008-10-30,-0.891,Jornada,0.5106
Reclamos en la Cumbre Iberoamericana a las naciones que desataron la crisis global,2008-10-30,-0.8834,Jornada,-0.7783
"“Cambio fundamental” en la política de EU en AL, solicitan a Obama unos 400 académicos",2008-10-30,0.128,Jornada,0.0
"Organizaciones juveniles de El Salvador exigen empleo, salud, seguridad y educación",2008-10-30,-0.0,Jornada,0.3182
Obama muestra su poderío financiero en la recta final de la campaña electoral,2008-10-30,-0.9201,Jornada,0.4939
"Celebran 60 años del Ballet Nacional de Cuba, “hazaña de resistencia cultural”",2008-10-30,-0.1779,Jornada,0.5719
El nuevo espacio de Héctor García alentará el quehacer de jóvenes reporteros gráficos,2008-10-30,0.5106,Jornada,0.5106
"Artista austriaca dedica videoinstalaciones a CU y el movimiento del 68, en Manifesta",2008-10-30,0.6597,Jornada,0.0
Reiteran acusación contra Kundera,2008-10-30,0.3182,Jornada,-0.25
Los papalotes de Toledo y otros artistas colman el cielo de Oaxaca,2008-10-30,-0.3612,Jornada,0.0
El petróleo mexicano llega a 54.04 dólares,2008-10-30,0.0,Jornada,0.0516
Sube la BMV 2.82%; el Dow Jones pierde 0.82 y el Nasdaq gana 0.47,2008-10-30,0.0772,Jornada,0.0772
ONU: la fuerza laboral de 240 millones de migrantes puede estimular el crecimiento,2008-10-30,-0.8271,Jornada,0.6486
Transportistas apremian al gobierno a acabar con la inseguridad en carreteras,2008-10-30,-0.743,Jornada,-0.4215
Nafin rescató a Comercial Mexicana de la insolvencia con $3 mil millones,2008-10-30,0.8074,Jornada,0.4215
Bajó la Fed su tasa de interés en medio punto porcentual; se ubica en 1%,2008-10-30,0.1779,Jornada,0.3612
Luz verde a la compra de Northwest por Delta,2008-10-30,0.8689,Jornada,0.0
Cuestiona México ante OMC reglas de Estados Unidos en torno al atún,2008-10-30,-0.8271,Jornada,0.0
Aprueba FMI programa para países emergentes,2008-10-30,0.0,Jornada,0.4019
"Ortiz: la economía, hacia el peor desempeño en una década",2008-10-30,0.0516,Jornada,-0.6249
La Fed puso a disposición del Banco de México 30 mil millones de dólares,2008-10-30,0.6249,Jornada,0.0
Continúa proceso de fusión GM-Chrysler,2008-10-30,-0.4404,Jornada,0.0
"Promisorio, el futuro del SAR pese a la pérdida de $53 mil millones: Schwartz",2008-10-30,-0.9552,Jornada,0.2411
"Venezuela, segundo lugar mundial en reservas de petróleo",2008-10-30,0.2732,Jornada,0.0
Defienden estatización de pensiones en Argentina,2008-10-30,0.1779,Jornada,0.0
Proponen reducir jornadas de trabajo para recortar costos,2008-10-30,-0.4404,Jornada,-0.2732
Frenan un “acuerdo espurio” para acabar paro de maestros en Morelos,2008-10-30,-0.7717,Jornada,0.4019
Incumplen tabacaleras normativa publicitaria,2008-10-30,-0.8316,Jornada,0.0
El conflicto en Morelos no se arreglará con un acuerdo en lo oscurito: CNTE,2008-10-30,-0.7964,Jornada,0.2263
"China y EU, los países que más contaminan",2008-10-30,0.4019,Jornada,-0.5106
Maestros de Guerrero toman oficinas públicas en rechazo al pacto educativo,2008-10-30,-0.8176,Jornada,-0.5423
Retorno a clases en los próximos días: Vázquez Mota,2008-10-30,-0.3818,Jornada,0.0
"NotieSe, 10 años de labor periodística alternativa",2008-10-30,-0.8225,Jornada,0.0
Urge invertir en investigación y ciencia: Sarukhán Kermez,2008-10-30,-0.8402,Jornada,0.0
"Necesario, crear un nuevo modelo económico que recupere los lazos elementales comunitarios",2008-10-30,-0.9442,Jornada,0.2732
Alerta WWF sobre grave crisis ecológica,2008-10-30,0.2732,Jornada,-0.6705
Continúa el frío intenso en gran parte del país,2008-10-30,0.0258,Jornada,0.0772
"El humano, único ser vivo capaz de autocurarse: Ramón Latorre",2008-10-30,-0.9648,Jornada,0.3818
