article,pub_date,nltk_score,source,nltk_score_title
Denuncia Hugo Chávez plan golpista de EU con apoyo del estado opositor de Zulia,2008-10-13,0.5267,Jornada,-0.4215
"El accidente de Haider, por exceso de velocidad",2008-10-13,-0.8126,Jornada,-0.4767
Al menos tres atentados con coche bomba dejan 20 muertos y 60 lesionados en Irak,2008-10-13,-0.9022,Jornada,-0.9231
Olmert pide tolerancia cero en Acre,2008-10-13,-0.8481,Jornada,0.296
Un reformista buscará la presidencia iraní,2008-10-13,0.0,Jornada,0.0
Francia no extraditará a ex de Brigadas Rojas,2008-10-13,-0.5267,Jornada,0.0
Reanudará Norcorea el desmantelamiento de su planta nuclear y recibirá a inspectores,2008-10-13,-0.6908,Jornada,0.0
Republicanos acusan a McCain de realizar una campaña errática,2008-10-13,-0.9643,Jornada,-0.2023
"Obama supera en inteligencia y serenidad a su rival McCain, sostiene Fidel Castro",2008-10-13,-0.7783,Jornada,0.4767
Marchan miles en Guatemala y Chile en repudio al festejo de Día de la Raza,2008-10-13,-0.296,Jornada,0.0
Negociaciones en Perú para integrar gobierno,2008-10-13,0.1531,Jornada,0.0
Canadá: conservadores no lograrán mayoría,2008-10-13,-0.1027,Jornada,0.0
Aprueba el Partido Comunista de China plan de reformas para impulsar el desarrollo rural,2008-10-13,0.0258,Jornada,0.7964
"La ópera en México, una “tortuga lenta”, dice Ramón Vargas",2008-10-13,-0.6808,Jornada,0.0
Presenta compañía Deutsches Theater Berlín La Orestiada,2008-10-13,-0.969,Jornada,0.0
Autoridades impiden realización de festival alterno,2008-10-13,-0.9501,Jornada,0.5106
Cautiva la Feria del Libro en el Zócalo a transeúntes usuales del Centro Histórico,2008-10-13,-0.296,Jornada,0.3182
Tirant lo Blanc revela su poderoso arte teatral en el Cervantino,2008-10-13,0.9747,Jornada,0.4215
"El tiempo en las orejas largas, versión “muy chilanga” de la Alicia de Lewis Carroll",2008-10-13,0.8658,Jornada,0.0
Aboga la FMB por apertura de bolsas en la crisis,2008-10-13,0.0,Jornada,-0.6249
Países en desarrollo sufrirán efectos de una “catástrofe causada por el hombre”: BM,2008-10-13,-0.9287,Jornada,-0.5423
"GFNorte, con gran solidez para enfrentar la crisis de bancos en países desarrollados",2008-10-13,0.4404,Jornada,0.4939
