article,pub_date,nltk_score,source,nltk_score_title
Álvaro Uribe pide al presidente de la Corte dejar de hacer declaraciones “infundadas”,2008-09-06,0.1027,Jornada,-0.296
Angela Merkel busca alianza con liberales,2008-09-06,-0.296,Jornada,0.0
EU: miles se dicen más capaces que Palin,2008-09-06,0.4404,Jornada,0.4391
Protestas provocan crisis energética en los departamentos que controla la oposición,2008-09-06,0.25,Jornada,-0.5994
Investigan prisiones de la CIA en Polonia,2008-09-06,-0.3818,Jornada,0.0
Histórica reunión en Trípoli de Condoleezza Rice con el líder libio Muammar Kadafi,2008-09-06,-0.6808,Jornada,0.0
Estados Unidos espió a políticos iraquíes,2008-09-06,-0.5994,Jornada,0.0
Aumenta a 163 el número de víctimas fatales del huracán Gustav en Haití,2008-09-06,-0.9153,Jornada,0.0
"Criminales habrían instalado el sistema de espionaje en su oficina, dice Álvaro Colom",2008-09-06,0.9325,Jornada,-0.5719
Seis ex repúblicas soviéticas critican a Georgia por usar la fuerza en el Cáucaso,2008-09-06,-0.7783,Jornada,-0.3818
Ofrece EU a ONG cubana ayuda de 100 mil dólares,2008-09-06,-0.9001,Jornada,0.0
Denuncia empresa argentina atentado contra dos torres de alta tensión,2008-09-06,0.875,Jornada,-0.7184
El Pedregal de Santo Domingo abre “la primera librería de barrio”,2008-09-06,-0.9666,Jornada,0.0
Bel canto y maternidad,2008-09-06,0.0,Jornada,0.0
Caricias dichas al oído,2008-09-06,0.99,Jornada,0.0
Sebastião Salgado lleva la historia del café a Berlín,2008-09-06,-0.7579,Jornada,0.0
Primer aniversario luctuoso,2008-09-06,-0.5994,Jornada,-0.4404
Reflexionarán sobre el papel de los museos como sujetos del cambio social,2008-09-06,-0.4588,Jornada,0.0
Rindieron homenaje póstumo al dramaturgo Rascón Banda en el Palacio de Bellas Artes,2008-09-06,0.9834,Jornada,0.2023
El caricaturista José Hernández recupera mediante un libro su faceta de cinéfilo,2008-09-06,0.7906,Jornada,0.0
Amenaza patrimonio familiar uso irreflexivo de tarjetas de crédito,2008-09-06,-0.3818,Jornada,-0.2023
Estudia gobierno de Lula privatizar los aeropuertos,2008-09-06,-0.2023,Jornada,0.0
Fallo de la Corte contra Wal-Mart sólo protege al empleado que tramitó amparo,2008-09-06,0.9545,Jornada,0.3182
Ahorros para el retiro financian 26.5% de la deuda privada,2008-09-06,0.1531,Jornada,-0.3612
Cabildean patrones en el Senado contra la regularización de empresas de outsourcing,2008-09-06,0.7506,Jornada,-0.0772
Emprende el Politécnico campaña interna contra el hostigamiento sexual,2008-09-06,-0.9186,Jornada,-0.5423
Pide el Vaticano a España diálogo sobre ley del aborto,2008-09-06,-0.886,Jornada,0.0
"SEP: expectativas de salud, estrechamente relacionadas con grado de alfabetización",2008-09-06,0.128,Jornada,0.0
Clausuran construcciones en área natural de NL,2008-09-06,0.2732,Jornada,0.3612
Taxistas del aeropuerto negocian alza,2008-09-06,0.34,Jornada,0.0
"Cancelar la alianza educativa, eje de protestas magisteriales",2008-09-06,-0.9643,Jornada,-0.4404
"Bajos presupuestos, estrategia para debilitar a las normales, denuncian",2008-09-06,-0.9246,Jornada,-0.743
“En Marte existió vida sólo si tuvo agua por mucho tiempo”,2008-09-06,0.2023,Jornada,0.0
Logran fotografía detallada del cáncer de páncreas y del glioblastoma,2008-09-06,-0.9618,Jornada,-0.6597
Detienen a representante de Gobernación en BCS por vender permisos para sorteos,2008-09-06,-0.2023,Jornada,-0.4767
Recula el gobierno español: sí habrá contratación de extranjeros,2008-09-06,-0.875,Jornada,0.4019
Lamentan especialistas la “escandalosa destrucción” de centros históricos en México,2008-09-06,-0.9501,Jornada,-0.8779
Busca el PRD alianzas con PT y Convergencia,2008-09-06,0.4588,Jornada,0.0
Este año no habrá sanciones a los funcionarios que mientan,2008-09-06,-0.0258,Jornada,-0.296
Hijos de Sahagún quebrantaron al erario por mil millones de pesos,2008-09-06,-0.9747,Jornada,-0.25
Balacera en Veracruz,2008-09-06,-0.296,Jornada,0.2023
"El costo total del buque ascenderá a mil 128 mdd, reconoce la paraestatal",2008-09-06,-0.9201,Jornada,0.0258
"Tras comprometerse la SG a revisar tarifas de electricidad, levanta su ayuno diputada panista",2008-09-06,-0.5106,Jornada,0.3818
Asegura la Sedena tres narcolaboratorios en Michoacán,2008-09-06,-0.2023,Jornada,0.3182
Urge el Senado a lograr acuerdo con EU y Cuba sobre yacimientos transfronterizos,2008-09-06,0.9723,Jornada,0.5106
Militares y agentes federales apresan al director de la policía estatal de Tabasco,2008-09-06,-0.7579,Jornada,0.0
Se reúne Calderón con el Consejo Coordinador Empresarial,2008-09-06,0.0,Jornada,0.0
"Hay que tapar los “huecos” en la lucha anticrimen, afirma Mouriño",2008-09-06,0.91,Jornada,-0.3818
ONG francesa denuncia “divergencias” en el trato de los migrantes en la UE,2008-09-06,-0.6808,Jornada,-0.4404
García Luna ignora si se indaga riquezas de la cúpula de SSP federal,2008-09-06,-0.6249,Jornada,0.2732
"México debe abatir inseguridad; la inversión extranjera, en riesgo",2008-09-06,0.967,Jornada,-0.5994
Rechazan amparo contra muro fronterizo,2008-09-06,0.7003,Jornada,-0.5423
"México, obligado a cambiar el modelo de prevención del delito y seguridad pública",2008-09-06,-0.9933,Jornada,-0.5719
La pena de muerte no es la solución contra delitos: Góngora,2008-09-06,-0.9764,Jornada,-0.8343
Piden aclarar asesinato de periodista en Sinaloa,2008-09-06,-0.8885,Jornada,-0.6908
"Blue Marine, involucrada en el caso de El señor de los mares",2008-09-06,0.6369,Jornada,0.0
"Subejercicio de 25% en SCT, denuncian",2008-09-06,-0.5267,Jornada,0.0
Acosta habla sólo por su grupo al criticar la defensa de Pemex: PT y Convergencia,2008-09-06,-0.7096,Jornada,-0.25
La orden de aprehensión contra Gómez Urrutia fue girada “bajo presión”: sindicato,2008-09-06,-0.6369,Jornada,-0.34
Anualmente son asesinados unos 180 menores de cuatro años: investigador,2008-09-06,-0.9766,Jornada,-0.6597
Trasladan al DF a dos cubanos implicados en decapitaciones,2008-09-06,-0.836,Jornada,0.0
Llama Sedena a militares a redoblar esfuerzos ante los cambios en México,2008-09-06,-0.128,Jornada,0.0
Pondrán CURP en credencial de elector,2008-09-06,0.4767,Jornada,0.0
El Legislativo debe rechazar la iniciativa de Calderón,2008-09-06,0.6249,Jornada,-0.4019
Desoyen senadores a tijuanenses ayunantes,2008-09-06,-0.6124,Jornada,0.0
“Revive” a la industria naval proyecto por el bicentenario,2008-09-06,-0.6124,Jornada,0.0
"Culpa de ambulantes, ratas en una clínica",2008-09-06,0.0,Jornada,-0.2732
Ejidatarios intentan impedir clausura de 7 aserraderos clandestinos en Michoacán,2008-09-06,0.0,Jornada,0.0258
Segundo revés en 7 días para el ex rector de la UdeG; colaboradores le retiran apoyo,2008-09-06,-0.1531,Jornada,0.4019
El DIF de Coahuila apoya a 30 organizaciones civiles,2008-09-06,-0.296,Jornada,0.3612
Denuncian acoso 12 líderes sindicales y perredistas en SLP,2008-09-06,0.296,Jornada,-0.7096
Oaxaca: arraigan a 6 militares por dos homicidios,2008-09-06,-0.6486,Jornada,-0.7964
"Matan a tiros a párroco en Morelia, Michoacán",2008-09-06,0.296,Jornada,-0.6705
"Liberan instalaciones de la Uach, en paro 3 días",2008-09-06,0.4939,Jornada,0.0
Expropiarán tierras inundadas a familias de 33 zonas de Chiapas,2008-09-06,0.0516,Jornada,0.0
PAN y PRD demandan a Peña Nieto eficiencia en seguridad y más empleos,2008-09-06,-0.8126,Jornada,0.6486
Piden aclarar destino de 3 millones de pesos,2008-09-06,0.1779,Jornada,0.0
Inicia demolición del Toreo de Cuatro Caminos,2008-09-06,0.0258,Jornada,0.0
