article,pub_date,nltk_score,source,nltk_score_title
Rafael Correa llama a evitar enfrentamientos y “balcanización” entre las naciones de AL,2008-09-14,0.2023,Jornada,-0.34
Cuba echa mano de sus reservas para paliar la crisis por el paso de huracanes,2008-09-14,-0.9595,Jornada,-0.4767
"El estado de sitio, por crímenes de lesa humanidad de la derecha: Evo Morales",2008-09-14,-0.9477,Jornada,0.0
El ciclón Ike deja al menos tres muertos y a 4 millones sin electricidad en Texas,2008-09-14,-0.5719,Jornada,-0.6486
"En silencio, la lluvia, llamado de Silvia Molina a no huir de la propia conciencia",2008-09-14,0.8934,Jornada,0.0
"“Superar en humor a los políticos de este sexenio está difícil”, reconoció Rocha",2008-09-14,0.9201,Jornada,0.2732
Travesía por la esperanza,2008-09-14,-0.2263,Jornada,0.4404
"La Tiznada, vida de una aristócrata que trascendió al devenir soldadera",2008-09-14,-0.6369,Jornada,0.0
Piden abrir la fosa de García Lorca,2008-09-14,-0.9682,Jornada,-0.3818
Dedican Festival Nacional de Títeres a Mireya Cueto,2008-09-14,0.3818,Jornada,0.4939
Entre el ultraje y la perversión,2008-09-14,0.34,Jornada,-0.6808
“Pasa el tiempo y el humano sigue igual: tacha de malo al diferente”,2008-09-14,-0.9153,Jornada,-0.5423
La orfandad del mundo,2008-09-14,0.2263,Jornada,0.0
"Conciencia estética, un tema desde distintas plataformas, en el Polifórum",2008-09-14,-0.6124,Jornada,0.0
Escondites de las palabras,2008-09-14,-0.6597,Jornada,-0.1779
Modelo reporteril,2008-09-14,-0.296,Jornada,0.0
Golpea Ike el corazón petrolero de EU,2008-09-14,0.6486,Jornada,0.0
Reunión de emergencia para salvar de la bancarrota a Lehman Brothers,2008-09-14,-0.8316,Jornada,0.1531
Conservar el empleo preocupa más a consumidores que el crimen o la inflación,2008-09-14,0.765,Jornada,-0.7635
A partir de mañana subirá el precio del diesel y las gasolinas cada semana,2008-09-14,0.7096,Jornada,0.0
"Demanda judicial, estrategia de bancos para recuperar créditos",2008-09-14,0.7793,Jornada,0.1531
"Alitalia, al borde de la quiebra",2008-09-14,-0.1779,Jornada,0.0
Saavedra busca dirigir el Onusida,2008-09-14,0.3182,Jornada,0.0
Arriban a Chilpancingo mentores para reforzar paro contra la ACE,2008-09-14,-0.296,Jornada,-0.128
Sin incidentes culmina el dispositivo de seguridad en Ciudad Universitaria,2008-09-14,0.2732,Jornada,0.0516
Piden educadores de AL reforzar alfabetización,2008-09-14,-0.9595,Jornada,0.0
"Reducción paulatina de la matrícula, estrategia aplicada en muchas normales",2008-09-14,-0.9601,Jornada,0.0
Expertos del IPN ubican zonas de pesca,2008-09-14,0.0,Jornada,0.0
Maestros de Morelos acuerdan intensificar sus movilizaciones,2008-09-14,-0.8555,Jornada,0.3612
"Al menos 14 asesinatos, saldo de la ola de violencia en cinco entidades",2008-09-14,-0.936,Jornada,-0.8442
ASSA: dolosa maniobra de Aeroméxico,2008-09-14,-0.7964,Jornada,0.0
Primero nuestr@s pres@s,2008-09-14,0.9584,Jornada,0.0
Proponen que el país cambie de nombre,2008-09-14,-0.25,Jornada,0.0
"Laxos, los escasos controles de seguridad en las policías",2008-09-14,-0.5423,Jornada,0.0258
"Los narcos, nuevos traidores a la patria, dice una cadete en homenaje a los Niños Héroes",2008-09-14,-0.6124,Jornada,0.5106
"Listo, dictamen para incluir en la Constitución referendo y plebiscito",2008-09-14,0.6486,Jornada,0.3612
"La presea popular Sentimientos de la Nación, a Rosario Ibarra",2008-09-14,-0.1779,Jornada,0.4215
"Apatía de Calderón frente a la migración, dicen en Foro Social",2008-09-14,-0.9493,Jornada,-0.296
"Pragmática, la relación entre México y Cuba, afirma experto",2008-09-14,-0.4019,Jornada,0.0
"Ejecutadas, 438 personas en los 22 días de vida del acuerdo por la seguridad",2008-09-14,0.7783,Jornada,0.6808
Reforzará el EZLN defensa de los presos de Atenco y de la otra campaña,2008-09-14,0.9501,Jornada,-0.4215
Investigan si los 24 ejecutados en Edomex eran narcomenudistas,2008-09-14,0.1119,Jornada,0.0
"La situación del país, “peor que la de Colombia”, afirma González Garza",2008-09-14,-0.9618,Jornada,-0.4767
"Mueren 87 personas al estrellarse una aeronave en Perm, Siberia",2008-09-14,-0.7184,Jornada,-0.6705
"“La izquierda, dividida por la disputa del poder, no por ideas”",2008-09-14,-0.872,Jornada,-0.4019
"Exporta EU su inflación y recesión a los países más endeudados, señala analista",2008-09-14,-0.9371,Jornada,-0.4215
Llama la UNT a repudiar el librecambismo,2008-09-14,0.1027,Jornada,0.5106
"El crimen, articulado desde las esferas políticas, financieras y policiales: Vera",2008-09-14,-0.9661,Jornada,-0.5423
Iniciativa panista para obligar a Calderón a dar a conocer beneficiarios de programas,2008-09-14,-0.8555,Jornada,0.4215
Descarta PGR que sean policías o militares los ejecutados descubiertos en Edomex,2008-09-14,-0.0516,Jornada,-0.25
Anuncia el MLN combate a las reformas neoliberales del sexenio,2008-09-14,-0.8591,Jornada,-0.4019
"AMLO: la crisis en el país, fruto podrido del neoliberalismo",2008-09-14,-0.9812,Jornada,-0.8126
"Sentenciados, sólo 269 de 40 mil narcos arrestados",2008-09-14,-0.936,Jornada,-0.4939
Bloqueos en Creel para que se aclare el asesinato de 13 pobladores,2008-09-14,0.4404,Jornada,-0.6908
Paro de labores en siete hospitales de Michoacán; piden 4 mil plazas de base,2008-09-14,-0.9628,Jornada,0.0
Clausuran obra inmobiliaria en Naucalpan tras hallazgo de vestigios prehispánicos,2008-09-14,-0.3612,Jornada,0.0
Aguascalientes: Reynoso Femat ofrece disculpas a periodistas “agraviados”,2008-09-14,0.9066,Jornada,0.0
"Declara la SG emergencia en 26 municipios de 4 estados, por lluvias",2008-09-14,-0.9846,Jornada,-0.3818
Chimalhuacán: protesta organización priísta por derribo de locales comerciales,2008-09-14,0.9081,Jornada,-0.25
El gobierno de SLP compra 700 hectáreas al doble de precio que pudo pagar en 2005,2008-09-14,0.9081,Jornada,-0.1027
Edomex: rechazan secundarias a niño discapacitado,2008-09-14,-0.6808,Jornada,-0.5106
NL: denuncian arresto de líder de transportistas,2008-09-14,-0.4215,Jornada,-0.5859
