article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Lunar walks and chocolate, for 20 years of the Universum Museum",2012-12-13,0.4215,Jornada,0.0
"La Jornada: The Christmas Eve, originally from Guerrero",2012-12-13,-0.5267,Jornada,0.0
"La Jornada: From art, transform the country, exhorts Laura Esquivel",2012-12-13,-0.836,Jornada,0.0
"La Jornada: On the scene, how the years are wasted and the frustrations parade",2012-12-13,0.1027,Jornada,-0.7351
The Journey: Explore choreographer obsessive writing and the use of words as objects,2012-12-13,0.0,Jornada,-0.2263
"La Jornada: Educating visitors, one of the challenges to preserve the area of ​​Monte Albán",2012-12-13,-0.3612,Jornada,0.0772
La Jornada: Elena Poniatowska received the Hugo Gutierrez Vega Award at the University of Querétaro,2012-12-13,0.7783,Jornada,0.5423
La Jornada: Colombian wins the Roger Callois Award,2012-12-13,0.0,Jornada,0.802
La Jornada: Héctor García receives homage at MAM,2012-12-13,-0.296,Jornada,0.0
"La Jornada: Formal prison for Noemi Martinez, sister of former court clerk",2012-12-13,-0.7584,Jornada,-0.5106
La Jornada: The PAN is resigned to losing half of its militants,2012-12-13,-0.8316,Jornada,-0.5574
"La Jornada: Outside the PRD, they rub their hands so we can tear them apart: Sánchez Camacho",2012-12-13,0.0,Jornada,0.0
La Jornada: The PRI will review increasing VAT and private participation in Pemex,2012-12-13,-0.765,Jornada,0.0
La Jornada: The excessive use of force by the police can not be justified: CNDH,2012-12-13,-0.9501,Jornada,-0.3089
La Jornada: Government will coordinate all civil intelligence centers,2012-12-13,0.9382,Jornada,0.4767
La Jornada: Return to the Senate draft on administrative legislation,2012-12-13,0.0516,Jornada,0.0
La Jornada: asks Ordorika to recognize the social work of teachers to improve education,2012-12-13,-0.9169,Jornada,0.4404
La Jornada: US sanctions sanctions on El Azul partners,2012-12-13,0.4404,Jornada,0.0
"La Jornada: In Chiapas religious conflicts were reduced, says Ramírez Coronado",2012-12-13,-0.9153,Jornada,-0.3818
La Jornada: PRI and PAN endorse the gasolinezos,2012-12-13,0.6369,Jornada,0.3182
La Jornada: With Panism SCT lost strategic areas,2012-12-13,-0.7506,Jornada,-0.3182
La Jornada: MEPs approve opinion on educational reform,2012-12-13,-0.7717,Jornada,0.0
"La Jornada: With cannon, they shoot drugs at the border",2012-12-13,0.0,Jornada,-0.34
La Jornada: They seek to repeal article 362 of the Penal Code,2012-12-13,-0.1779,Jornada,0.0
La Jornada: Judge is expected to rule today on the 18 Mexicans detained in Nicaragua,2012-12-13,0.0258,Jornada,-0.4019
La Jornada: No record of meetings Presidency,2012-12-13,0.0,Jornada,-0.296
La Jornada: Reducing the number of legislators would not affect the operation of the IFE: Valdés,2012-12-13,-0.5267,Jornada,0.0772
La Jornada: A 52-year-old woman was treated as a criminal and was imprisoned for defending young women,2012-12-13,0.5719,Jornada,-0.7506
La Jornada: Harold Mauricio Ortega's girlfriend released,2012-12-13,0.4588,Jornada,0.0
"La Jornada: Aguinaldo, workers' rights: STPS",2012-12-13,-0.9022,Jornada,0.0
"La Jornada: Promoting new investments, priority of the federal government: Navarrete Prida",2012-12-13,0.9022,Jornada,0.3612
La Jornada: The absence of teachers will shatter the compulsory evaluation,2012-12-13,-0.0258,Jornada,0.0
The Journey: Analyze in the Court tender for the TEPJF,2012-12-13,-0.25,Jornada,0.0
La Jornada: Sagarpa officials take office,2012-12-13,0.0,Jornada,0.0
