article,pub_date,nltk_score,source
La Jornada: Acuerdan aumento salarial en la industria de radio y televisión,2012-02-01,"De la Redacción

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 33",Jornada
La Jornada: Reservó el gobierno para compensaciones guardadito por 3 mil 17.6 millones de pesos,2012-02-01,"Víctor Cardoso

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 33

Ya en la recta final del mandato, el gobierno federal estructuró en 2011 un guardadito de 3 mil 17.6 millones de pesos para compensar económicamente a unos 4 mil 972 servidores públicos que quedaron separados de la administración pública, revelan informes de la Secretaría de Hacienda.

Bajo el concepto de compensación económica para la separación de servidores públicos de la administración pública federal y plazas apoyadas y canceladas, se determinó el monto de recursos por dependencia del gobierno federal, donde el sector de seguridad pública aparece con 861 plazas que quedaron disponibles. Le siguió, en orden de importancia, la Secretaría de Educación Pública, con 843 plazas desocupadas, mientras en Comunicaciones y Transportes dejaron sus actividades 830 servidores públicos.

Cada uno de los 843 servidores públicos que el año pasado dejaron el sector educativo recibió una compensación de un millón 409 mil 506 pesos en promedio. La Secretaría de Educación Pública ejerció mil 188 millones 213 mil 800 pesos para liquidar a los 843 funcionarios que se fueron el año pasado.",Jornada
"La Jornada: Desempleo en la eurozona, en máximo nivel de 14 años: 10.4%",2012-02-01,"Afp, Dpa y Reuters

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 33",Jornada
"La Jornada: Gobernadores, responsables del retraso en la entrega de recursos contra la sequía: Sagarpa",2012-02-01,"Juan Carlos Miranda

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 34

El secretario de Agricultura, Francisco Mayorga Castañeda, aseguró que el abasto de maíz y frijol está garantizado en el país y responsabilizó a algunos gobernadores de la República de no haber entregado en tiempo y forma los recursos destinados a combatir la sequía que afecta a buena parte del territorio nacional.

En conferencia de prensa, el funcionario federal dijo que desde el 10 de noviembre del año pasado informó a varios mandatarios estatales que ya les habían sido depositados los montos correspondientes a las indemnizaciones de los seguros contra la sequía, pero precisó que el reparto de los mismos apenas empezó el sábado pasado.

Por este motivo, rechazó que las muestras de descontento social, expresadas en marchas y plantones frente a dependencias gubernamentales, por las políticas que se han implementado para hacer frente a la sequía, sean por completo en contra del gobierno federal.

El descontento existe, tiene obviamente causas justificadas, pero también otro tipo de amplificaciones que pueden ser económicas: gente que quiere generar angustia y miedo para aumentar los precios; o políticas: que se pueda llevar agua al molino de algunos candidatos o grupos , dijo, aunque declinó precisar a qué gobiernos o grupos hacía referencia.

En una conferencia de prensa en la que tanto el titular de Sagarpa como el secretario de Economía, Bruno Ferrari, informaron sobre las acciones que se han puesto en marcha para garantizar el abasto de alimentos, el titular de Economía expresó que las marchas y protestas de sectores inconformes son un derecho que le ha costado mucho trabajo ganar a la sociedad.",Jornada
"La Jornada: Millones, en riesgo de sufrir hambre por altos precios de alimentos: BM",2012-02-01,"Reuters, Notimex y Xinhua

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 35

Washington, 31 de enero. El Banco Mundial advirtió que los precios globales de los alimentos son altos y volátiles, situación que deja a millones de personas en riesgo de sufrir desnutrición y hambre.

Los precios globales de los alimentos bajaron 8 por ciento entre septiembre y diciembre de 2011, debido a las crecientes reservas y a la incertidumbre sobre la economía global, pero siguen siendo volátiles y altos. En su más reciente reporte, Alerta de Precios de Alimentos, dado a conocer en la capital estadunidense, el Banco Mundial apuntó que en promedio el índice anual de precios se mantiene 24 por ciento arriba del promedio que registró en 2010.",Jornada
La Jornada: Rechazan tutelar finanzas de Grecia,2012-02-01,"Reuters

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 35",Jornada
La Jornada: Pemex y Sacyr comunican a la comisión española de valores finalización de alianza,2012-02-01,"Armando Tejeda y Víctor Cardoso

Corresponsal y reportero

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 35

Petróleos Mexicanos (Pemex) y la constructora Sacyr Vallehermoso comunicaron a la Comisión Nacional del Mercado de Valores (CNMV) el final definitivo del acuerdo de sindicación de acciones en la multinacional petrolera Repsol. La ruptura de la alianza se dio de forma amistosa y con el compromiso de renunciar al ejercicio de acciones legales .

Fue el anuncio oficial de una ruptura que se anunció de facto el pasado 20 de diciembre, cuando Repsol dio a conocer la compra de 10.01 por ciento del paquete accionario de Sacyr en la petrolera española. Esta operación bursátil suponía, en la práctica, el final del acuerdo con Pemex, una vez que en el propio pacto de sindicación se estipuló que ninguna de las partes podía disminuir su porcentaje de acciones en Repsol. En este caso fue Sacyr, por sus graves problemas de endeudamiento, la que vulneró el espíritu del pacto y dejó a Pemex aislada en el consejo de administración de Repsol, después de haber hecho un desembolso de más mil 100 millones de euros por la compra de 4.6 por ciento de acciones realizada el pasado 29 de agosto, para alcanzar el porcentaje de 9.6 por ciento de acciones de Repsol, y que hasta la fecha mantienen.

Pemex y Sacyr sellaron el pacto que pone fin a una compleja, polémica y fracasada operación empresarial, en la que se vieron involucrados los gobiernos de España y México y que tuvo su momento más candente cuando en pleno consejo de administración de Repsol se llegó a proponer la apertura de un expediente de expulsión a Pemex y Sacyr por haber incurrido en un conflicto de intereses permanente .",Jornada
La Jornada: En 11 años de gobiernos del PAN la deuda pública creció 168%,2012-02-01,"Ernesto Revilla, jefe de la unidad de política de ingresos; Miguel Messmacher, de la unidad de planeación económica, y Nicolás Kubli, de la unidad de política y control presupuestario de la Secretaría de Hacienda, en la conferencia de prensa de ayer Foto Roberto García Ortiz

Juan Antonio Zúñiga

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 32

La deuda total del sector público mexicano ascendió a 5 billones 473 mil 698 millones de pesos al término de 2011, con lo cual registró un incremento de 168 por ciento durante los 11 años de gobiernos federales surgidos del Partido Acción Nacional (PAN), revelan informes divulgados por la Secretaría de Hacienda y Crédito Público (SHCP).

La magnitud de la deuda para financiar al sector público ha sido tal, que al cierre de 2011 representó 36.5 por ciento del producto interno bruto (PIB), el nivel más alto en 11 años en este tipo de medición, con todo y que el año pasado la economía mexicana creció 4 por ciento, según la dependencia.

El incremento del endeudamiento público en los últimos 11 años ha sido de 3 billones 428 mil 691 millones de pesos, algo más que los ingresos presupuestario del propio sector público obtenidos en 2011, los cuales ascendieron a 3 billones 269 mil 331 millones, según los informes contenidos en su reporte sobre la situación económica, las finanzas públicas y la deuda pública al cuarto trimestre del año pasado.

Más de dos terceras partes del aumento del endeudamiento público se realizó durante los cinco años de la actual administración gubernamental, por un monto que ascendió a 2 billones 159 mil 236 millones de pesos, el cual ha resultado 98 por ciento superior al incremento de la deuda pública en los seis años de gestión del primer gobierno del PAN, el cual fue de un billón 90 mil 432 millones de pesos.

Según los informes de la dependencia, 72 por ciento del endeudamiento total del sector público corresponde a la deuda interna, con un saldo de 3 billones 928 mil 321 millones de pesos al cierre de 2011, lo que implicó un crecimiento de 203 por ciento en los últimos 11 años y una dimensión que prácticamente obliga al gobierno federal, como parte del sector público, a obtener recursos de deuda para pagar deuda.

El mercado local de bonos se convirtió así en la principal fuente de financiamiento de las dos administraciones gubernamentales de Acción Nacional. Según los informes de la Secretaría de Hacienda, la deuda del gobierno federal a través de la emisión de bonos tuvo un crecimiento de 416 por ciento, al transitar de 606 mil 182.2 millones de pesos a fines de 2000 a 3 billones 129 mil 546.2 millones en 2011.",Jornada
La Jornada: En Europa niegan a Cervecería Modelo registrar la Victoria,2012-02-01,"Notimex

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 36",Jornada
La Jornada: Iusacell acudirá a instancias judiciales si la CFC rechaza alianza con Televisa: Ruiz Vega,2012-02-01,"Míriam Posada García

Periódico La Jornada

Miércoles 1º de febrero de 2012, p. 36

Si la Comisión Federal de Competencia (CFC) rechaza la alianza entre Televisa y Iusacell, la telefónica solicitará la reconsideración del caso ante el pleno, y si persistiera la negativa del regulador, llegaría a instancias judiciales, aseguró el director de Cumplimiento Regu- la torio de Grupo Iusacell Eduardo Ruiz Vega.

El ex integrante de la Comisión Federal de Telecomunicaciones (Cofetel) señaló que legalmente no existe impedimento alguno para que se autorice la alianza entre Televisa y Iusacell, porque se trata de una adquisición de deuda para capitalizar la telefónica, propiedad de Ricardo Salinas Pliego, la cual es una empresa ajena al negocio de la televisión y sus contenidos, de tal forma que no hay coincidencia en los negocios.

Detalló que Iusacell es una empresa de telefonía móvil con una participación de mercado de 4 por ciento, y que puede incidir en éste, como cuando introdujo la banda ancha móvil (BAM), pero que tiene límites, a diferencia de empresas como Teléfonos de México o Telcel, que sí conducen el mercado por la dominancia que ejercen.

A una semana de que el pleno de la CFC tomara una decisión sobre la alianza entre Televisa y Iusacell, pero la mantenga en reserva al amparo del artículo 31 bis de la Ley Federal de Competencia Económica, Ruiz Vega destacó que la operación entre ambas empresas es tan viable que hasta la Organización para la Cooperación y el Desarrollo Económicos (OCDE) la mencionó en su estudio sobre políticas y regulación de telecomunicaciones en México –presentado el lunes–, como la entrada de un importante competidor e inversionista.

Ante la incertidumbre sobre la resolución del pleno de la CFC, señaló que la negativa tendría un impacto importante en Iusacell, ya que no se trata de una fusión, sino de la adquisición de deuda para capitalizarla. Enfatizó que los involucrados en este negocio no habían considerado que la CFC se fuera a tardar tanto en resolver, sobre todo porque el mercado de las telecomunicaciones es uno de los más analizados por el regulador, porque tal vez sea el sector en el que se han realizado más licitaciones, y esta concepción se aplica a Telcel, Telefónica y Nextel, entre otros, de tal forma que se conocen perfectamente las condiciones del mercado relevante.",Jornada
