article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Woman returns edition of Oscar Wilde to public library after 78 years,2012-09-02,-0.765,Jornada,0.0
La Jornada: Angulo reflects the terrible discomfort caused by the war in the Overture 1862,2012-09-02,0.3612,Jornada,-0.8689
"La Jornada: In Lunario, children's theater, whose premise is the value of friendship",2012-09-02,0.7096,Jornada,0.6486
La Jornada: The Theater of Movement celebrates 20 years of itinerant work,2012-09-02,-0.8591,Jornada,0.5719
La Jornada: Multimedia artists give a contemporary reading to works of MAM,2012-09-02,0.3818,Jornada,0.0
La Jornada: Cuban dramatist releases his version of Pedro Páramo,2012-09-02,0.0,Jornada,0.0
"La Jornada: Videoperformance in Mexico does not seem to exist, says Pancho López",2012-09-02,-0.0772,Jornada,0.0
La Jornada: Of eroticism and other things ...,2012-09-02,0.9504,Jornada,0.0
La Jornada: The Munal exhibits a sample of the pictorial and drawing work of Rubén Herrera,2012-09-02,0.0,Jornada,0.0
"La Jornada: With Peña Nieto Mexico will enter the second transition, say PRI",2012-09-02,-0.8555,Jornada,0.0
La Jornada: Mothers of the disappeared embroider handkerchiefs as a way to resist and relieve pain,2012-09-02,-0.9801,Jornada,-0.4019
La Jornada: Executive policy to reduce number of deaths due to diabetes failed,2012-09-02,-0.891,Jornada,-0.4588
La Jornada: Deputy Attorney for Human Rights offers to comply with CNDH recommendations,2012-09-02,-0.9531,Jornada,0.0
La Jornada: Extradite US to Mexico to a murderer,2012-09-02,0.0,Jornada,-0.6808
"La Jornada: Institutions, sold out: PRD; Democracy must be perfected: PAN",2012-09-02,-0.7003,Jornada,0.5719
La Jornada: No one should condition the result of an election to their interests: Honeycomb,2012-09-02,-0.4767,Jornada,-0.0516
La Jornada: Congratulates CEM to Peña Nieto,2012-09-02,0.1779,Jornada,0.0
"La Jornada: For the first time, women occupy a third of spaces in Congress",2012-09-02,0.926,Jornada,0.0
La Jornada: Agriculture stagnated with PAN's federal governments: peasant groups,2012-09-02,-0.6749,Jornada,0.0
La Jornada: Due hesitation does not expand law of extinction of dominion,2012-09-02,0.9201,Jornada,-0.47
La Jornada: Peña Nieto urges lawmakers to push for reforms required by the country,2012-09-02,0.2732,Jornada,0.0
La Jornada: Introduce # YoSoy132 a critical counter-report,2012-09-02,0.2732,Jornada,-0.3182
"La Jornada: The fight for security, legal and ethical decision: Calderón in his Report",2012-09-02,0.5859,Jornada,0.5574
"La Jornada: Delivery, in five minutes",2012-09-02,-0.296,Jornada,0.0
La Jornada: Protests in nine states against Peña's imposition,2012-09-02,0.6597,Jornada,-0.2263
"La Jornada: It is necessary to reform the electoral code, affirms the blanquiazul",2012-09-02,-0.7269,Jornada,0.0
La Jornada: Calderón seeks to have labor reform approved in his six years,2012-09-02,-0.2263,Jornada,0.4215
"La Jornada: Calderón leaves with a failed government, and the one who arrives did not win cleanly: Aureoles",2012-09-02,-0.9836,Jornada,-0.7485
La Jornada: Veta Presidencia give information on the number of murdered,2012-09-02,-0.3612,Jornada,-0.6249
"La Jornada: The denial, constant of the TEPJF before arguments of the left",2012-09-02,-0.4215,Jornada,-0.4019
"La Jornada: Political trial against electoral officials, will promote deputies",2012-09-02,0.3182,Jornada,0.3818
"La Jornada: Monitoring PAN management of Peña Nieto to avoid regressions, says Villarreal",2012-09-02,-0.0516,Jornada,-0.296
La Jornada: Legislators confront electoral results and relegate presidential report,2012-09-02,0.4939,Jornada,-0.1779
La Jornada: Thirteen killed in six states leaves violence linked to organized crime,2012-09-02,-0.6597,Jornada,-0.9201
La Jornada: Three marches converge on San Lázaro to condemn Calderón's government,2012-09-02,0.3182,Jornada,-0.3818
"La Jornada: White balance in Mexico City, according to the SSP",2012-09-02,0.34,Jornada,0.0
La Jornada: Reject in Spain law that leaves undocumented medical assistance,2012-09-02,0.6369,Jornada,-0.4019
"La Jornada: The protests of students, the longest in the history of Chile",2012-09-02,0.9169,Jornada,-0.2263
La Jornada: Thousands demand in San Sebastian the release of the ETA prisoner with terminal cancer,2012-09-02,-0.5859,Jornada,-0.8555
"La Jornada: Politics, one of the biggest obstacles to US economic growth, says Obama",2012-09-02,-0.8588,Jornada,0.0
La Jornada: Attacks against NATO base in Afghanistan leave 12 dead,2012-09-02,-0.5859,Jornada,-0.8126
"La Jornada: Naive idea or provocation, that Syria stops the military offensive, according to the Kremlin",2012-09-02,-0.6705,Jornada,-0.6908
La Jornada: Annoyance in Russia over government campaign against TV violence,2012-09-02,0.3612,Jornada,-0.7506
"La Jornada: In honor of Cerralvo, González Barrera's support for education",2012-09-02,-0.1531,Jornada,0.7096
La Jornada: Industrial activity fall in China for the ninth consecutive month,2012-09-02,0.802,Jornada,0.0
The Journey: $ 188 billion for interests of the bank bailout and increasing,2012-09-02,0.3182,Jornada,0.1531
La Jornada: Open border with United States egg,2012-09-02,0.4939,Jornada,0.4215
"La Jornada: In force, increases to VAT in Spain; In cultural products rises from 8 to 21%",2012-09-02,-0.7984,Jornada,0.0
La Jornada: Launches Telcel smartphone applications,2012-09-02,0.3182,Jornada,0.0
La Jornada: AICM track works conclude,2012-09-02,0.25,Jornada,0.0
La Jornada: Students of the IPN project works for Tuxpan,2012-09-02,0.2732,Jornada,0.0
La Jornada: Vaccinating girls against HPV reduces cervical cancer in 70%,2012-09-02,-0.988,Jornada,-0.6597
"The Journey: The Ifai, window of applications of the IMSS",2012-09-02,-0.5994,Jornada,0.0
"La Jornada: Morelos: In the midst of protests, the 52 Legislature",2012-09-02,-0.296,Jornada,-0.2263
"La Jornada: Return to Badiraguato displaced by violence, despite threats by criminals",2012-09-02,-0.9468,Jornada,0.0593
La Jornada: Former garbage collectors survive to collect and sell plastic and cardboard,2012-09-02,0.0516,Jornada,0.0
La Jornada: Cut resources to PRD municipality,2012-09-02,0.0,Jornada,-0.2732
"La Jornada: Demand to release former mayor of Coyuca, kidnapped",2012-09-02,0.0,Jornada,-0.128
La Jornada: Jalisco: give rise to the increase of a peso in public transport fare,2012-09-02,-0.296,Jornada,0.3182
La Jornada: They present murderers of 4 people in Tabasco,2012-09-02,-0.7096,Jornada,-0.6486
La Jornada: Decrease phase two alert level of the Popocatepetl volcano,2012-09-02,-0.6249,Jornada,0.296
"La Jornada: On average 17 suicides each month in NL, reveals a study",2012-09-02,-0.2023,Jornada,0.0
La Jornada: In four years more than 500 people took their lives,2012-09-02,0.6908,Jornada,0.0
La Jornada: Demand to reinstall 7 workers of the city of Acapulco,2012-09-02,-0.8885,Jornada,-0.128
"La Jornada: Sonora: poisoned with salad, 44 children",2012-09-02,0.34,Jornada,-0.4939
La Jornada: Semarnat: damage to 17 beaches in Oaxaca due to oil spill,2012-09-02,0.0,Jornada,-0.4939
