article,pub_date,nltk_score,source,nltk_score_title
El gobierno israelí aprueba canje de prisioneros con la milicia Hezbollah,2008-06-30,-0.9451,Jornada,-0.2023
Disturbios en China,2008-06-30,-0.5994,Jornada,0.0
"Savina Cuéllar, opositora de Evo Morales, gana elección en Chuquisaca",2008-06-30,0.9201,Jornada,0.5719
"Barack Obama promueve intereses “corporativos”, acusa Ralph Nader",2008-06-30,-0.8316,Jornada,0.25
Adolescente decapitado en EU,2008-06-30,0.0,Jornada,0.0
Crece cifra de civiles muertos en Afganistán,2008-06-30,0.8074,Jornada,-0.5859
Combates en Sri Lanka,2008-06-30,-0.4588,Jornada,-0.3612
"Hoy, careo entre Fujimori y Montesinos",2008-06-30,-0.6249,Jornada,0.0
Obispos protestan por medidas contra gitanos,2008-06-30,0.0,Jornada,-0.25
"En el River Plate, 30 mil desaparecidos “presentes” en un partido de futbol",2008-06-30,0.7579,Jornada,-0.296
Robert Mugabe asume por sexta ocasión el gobierno de Zimbabue,2008-06-30,0.1779,Jornada,0.0
"El Plan Colombia no es un fracaso, pese al aumento de los cultivos de coca, afirma diplomático de EU",2008-06-30,-0.926,Jornada,0.1877
Legisladores de EU aprobaron fondos a Bush en 2007 para desestabilizar Irán,2008-06-30,0.7003,Jornada,0.4215
"Old News México, una lectura artística de la nota periodística",2008-06-30,0.4404,Jornada,0.0
“Leer algo que inspire es como vacunarse contra la ignorancia”,2008-06-30,0.5423,Jornada,0.4404
“Lo que llama al optimismo es mirar la utopía diaria”: Bartra,2008-06-30,-0.9231,Jornada,0.5423
"En total, unas 100 mil personas acudieron al rescate de libros",2008-06-30,0.8807,Jornada,0.5106
"Nuevo acuerdo para enfrentar el cambio climático, logra el G-8",2008-06-30,0.7096,Jornada,0.0
"Petroleras, únicas que se benefician del alto precio del crudo",2008-06-30,0.0,Jornada,-0.1779
"Por cierres, podría caer 8.5% el número de maquiladoras",2008-06-30,0.0679,Jornada,0.0772
"A partir del 1º de julio, impuesto de 2% a depósitos mayores de $25 mil",2008-06-30,-0.7003,Jornada,0.3612
"Arranca operativo para vacacionistas, en julio",2008-06-30,0.3818,Jornada,0.0
Elimina American Airlines 11 vuelos a México por altos costos de turbosina,2008-06-30,0.5423,Jornada,0.0
"Inflación de 4.5% a fin de año, prevé el CEESP",2008-06-30,0.4404,Jornada,0.0
Protestas en Tokio,2008-06-30,0.128,Jornada,-0.2263
Piden dar excedentes petroleros a empresas,2008-06-30,0.0,Jornada,0.0
Camioneros preparan un día sin transportistas,2008-06-30,0.2023,Jornada,0.0
Más deudas en países productores de petróleo: ODG,2008-06-30,-0.5719,Jornada,0.0
"División, en lucha contra cambio de sede del siquiátrico infantil",2008-06-30,-0.8591,Jornada,-0.3818
Plan de estímulos fiscales favorece a trasnacionales y grandes empresas,2008-06-30,0.1779,Jornada,0.25
Las 10 beneficiadas en 2007,2008-06-30,0.0,Jornada,0.4215
Denuncian a la SEP por violar los derechos de los sordos,2008-06-30,-0.9337,Jornada,-0.7096
"De calidad internacional, los tratamientos de diálisis que ofrece el IMSS: informe",2008-06-30,0.25,Jornada,0.0
Crean comisión interna contra la discriminación,2008-06-30,0.0772,Jornada,0.2732
Capturan a 2 traficantes de migrantes,2008-06-30,0.0,Jornada,-0.34
Con 2 pactos internacionales revocan sentencia a indígena,2008-06-30,-0.9325,Jornada,0.0772
La Presidencia desoye al IFAI y niega datos del sexenio foxista,2008-06-30,-0.5574,Jornada,-0.6908
Sentimientos encontrados ante estrategias para la lucha en la defensa del petróleo,2008-06-30,-0.9839,Jornada,-0.2732
El gobierno debe tomar en cuenta propuestas de foros sobre Pemex,2008-06-30,-0.6369,Jornada,0.0
Caficultores recurren a Los Pinos para que Sagarpa les entregue fondos asignados,2008-06-30,-0.765,Jornada,0.4939
Liberan en la Catedral Metropolitana a niño secuestrado hace cuatro meses,2008-06-30,0.5994,Jornada,0.0
Granier Melo presenta iniciativa de integración regional,2008-06-30,0.7003,Jornada,0.0
Reporta la CNC avances en diálogo sobre el agro con la autoridad federal,2008-06-30,-0.7351,Jornada,0.0772
Garantizan recursos para cambios a sistema jurídico,2008-06-30,0.9349,Jornada,0.3612
Grupo guerrillero recibió adiestramiento de Corea del Norte durante la guerra fría,2008-06-30,-0.9694,Jornada,-0.5994
Impulsará PRI reformas para invertir las remesas en proyectos productivos,2008-06-30,0.4019,Jornada,0.3818
Personeros de la radio y la tv asesorarían al IFE sobre sus atribuciones fiscalizadoras,2008-06-30,0.926,Jornada,0.0
FAP: sólo con un “maniobra ilegal” se podrá aprobar la reforma a Pemex,2008-06-30,-0.9648,Jornada,-0.2023
"Calderón viola la ley, denuncian juristas",2008-06-30,-0.9186,Jornada,-0.7351
Temen al pueblo quienes se oponen a la consulta: AMLO,2008-06-30,-0.9861,Jornada,-0.4939
Decomisan 35 mil productos “naturistas”,2008-06-30,-0.5106,Jornada,0.0
Condiciona el PRI su apoyo al presupuesto para 2009,2008-06-30,-0.7506,Jornada,0.4019
Mineros: “no habrá otra convención; Gómez Urrutia es el líder y punto”,2008-06-30,0.6486,Jornada,-0.296
Alertan contra la estrategia dilatoria del duopolio televisivo para impedir avances,2008-06-30,0.9565,Jornada,0.6249
"Reportan en Chihuahua, Sonora y Sinaloa 13 asesinatos ligados con el narcotráfico",2008-06-30,0.7906,Jornada,-0.6124
Repartirá Convergencia alimentos en Querétaro,2008-06-30,0.0,Jornada,0.0
Siguen ejemplo de Gordillo 460 profesores del estado de México,2008-06-30,0.4019,Jornada,0.0
Aplican hoy descuento a alcaldías de Edomex,2008-06-30,-0.3612,Jornada,0.0
Desoye gobierno de Guerrero demandas de atención médica,2008-06-30,-0.9766,Jornada,0.4939
Da BCS prioridad a la pesca deportiva sobre la comercial,2008-06-30,0.7003,Jornada,0.0
Dejan tres accidente 23 muertos,2008-06-30,-0.4939,Jornada,-0.8625
Irregularidades en la elección de candidatos del PRD guerrerense,2008-06-30,-0.9682,Jornada,0.0
"Obligatorio, separar basura en Amecameca",2008-06-30,-0.296,Jornada,0.0772
Harán aulas desechables en Querétaro,2008-06-30,-0.765,Jornada,0.0
Instalarán cámaras en las iglesias de León,2008-06-30,0.0,Jornada,0.0
