article,pub_date,nltk_score,source,nltk_score_title
La ONU frena de nuevo envío de comida a Gaza,2008-05-06,0.8126,Jornada,0.0
"Hoy, otra batalla demócrata con elecciones primarias en Carolina del Norte e Indiana",2008-05-06,-0.9371,Jornada,-0.3818
“Nos tienen sin cuidado” posibles acciones penales del gobierno: corte electoral cruceña,2008-05-06,-0.8519,Jornada,0.3252
Cuba celebrará por segunda vez la jornada mundial contra la homofobia,2008-05-06,-0.9423,Jornada,0.0
Tiene fines intervencionistas la IV Flota de EU: Fidel Castro,2008-05-06,-0.91,Jornada,0.0
Diez mil muertos en Myanmar tras el paso del ciclón Nargis,2008-05-06,-0.9862,Jornada,-0.6705
Desalojan poblado del sur de Chile por expulsión de ceniza del volcán Chaitén,2008-05-06,-0.7506,Jornada,0.0
Protestan miles en Somalia por alza de precios en alimentos; al menos 5 muertos,2008-05-06,-0.8957,Jornada,-0.743
Se inspiran en Bukowski para proponer un cabaret de la vida,2008-05-06,0.9169,Jornada,0.4939
Dignatarios mexicas eran cremados y las cenizas depositadas junto a Huitzilopochtli,2008-05-06,-0.967,Jornada,0.1531
Encabeza Tamayo puja neoyorquina,2008-05-06,0.0,Jornada,0.0
El ciclo magistral de lieder para voz y piano de Schubert flotó en un jardín zen,2008-05-06,0.9805,Jornada,0.0
Invertirá Bolivia 30 mdd para mejorar el servicio de telecomunicaciones,2008-05-06,0.5423,Jornada,0.4404
La actual deuda pública argentina supera la de 2001,2008-05-06,-0.6808,Jornada,-0.3612
BdeM: cae 22% la confianza de consultores en la economía mexicana,2008-05-06,0.6486,Jornada,0.5106
Fonatur malbarató lotes en Nayarit; se calcula un daño por $35.3 millones,2008-05-06,0.8979,Jornada,-0.4939
Rebasó la mezcla mexicana de petróleo la barrera de 100 dólares por barril,2008-05-06,-0.0258,Jornada,-0.128
El PMA entregará cereal fortificado para niños cubanos,2008-05-06,0.296,Jornada,0.0
Panorama energético mundial,2008-05-06,0.5574,Jornada,0.2732
Mejoró Bancomext su situación financiera,2008-05-06,0.0258,Jornada,0.4767
Inicia Ecuador la fase técnica para asumir el control de Porta,2008-05-06,0.25,Jornada,0.0
Prevén hambruna y desnutrición en Asia por crisis alimentaria,2008-05-06,-0.9001,Jornada,-0.6249
El austriaco que secuestró y violó a su hija buscaba convertir su sótano en fortaleza,2008-05-06,-0.9633,Jornada,-0.6808
Grupos pro vida buscan reducir en Gran Bretaña el límite de 24 semanas para abortar,2008-05-06,-0.8225,Jornada,0.0
Guarderías: de la laxitud en la regulación a la irresponsabilidad,2008-05-06,-0.9477,Jornada,0.0
"Mujer alemana tuvo tres bebés, los asesinó y guardó en el congelador",2008-05-06,-0.2732,Jornada,-0.6597
La CNTE presentará mañana sus demandas salariales y educativas,2008-05-06,-0.25,Jornada,0.0
"Narro: preciso, que el Estado considere la educación pública palanca del desarrollo",2008-05-06,-0.9081,Jornada,0.0
La multidisciplina permitió probar la existencia de redes neuronales: Bargas,2008-05-06,-0.9904,Jornada,0.0
"Cota, convencido de que retomará la presidencia del PRD; critica a Ortega",2008-05-06,-0.875,Jornada,0.0772
Aceptan en EU haber cometido biopiratería,2008-05-06,0.0,Jornada,0.5719
Premura en Argentina por superar a EU en producción de maíz transgénico,2008-05-06,-0.5106,Jornada,0.0
AN impugna ante el IFE liderazgo del sol azteca,2008-05-06,-0.743,Jornada,0.0772
Plantea diputado revertir “centralismo fiscal”,2008-05-06,-0.3182,Jornada,0.0
La dirección de investigaciones de Durango se niega a colaborar con el Ejército Mexicano,2008-05-06,0.6249,Jornada,0.0
Exigen al gobierno estrategias de desarrollo para enfrentar eventuales crisis alimentarias,2008-05-06,-0.9735,Jornada,-0.128
Reclutas juran bandera a control remoto,2008-05-06,0.8555,Jornada,-0.0516
Vaticinan priístas que obtendrán mayoría en las elecciones de 2009,2008-05-06,-0.9136,Jornada,0.5859
Desconoce PRD-DF a Acosta Naranjo,2008-05-06,-0.5267,Jornada,0.0
Diecinueve retazos de historia en el aniversario número 19 del partido “que nació el 6 de julio”,2008-05-06,-0.9623,Jornada,0.4019
Sagarpa debe liberar apoyos: cafeticultores,2008-05-06,0.0,Jornada,0.7184
CNDH sigue pesquisa sobre los eperristas desaparecidos,2008-05-06,-0.7845,Jornada,-0.296
Cárdenas encabeza lista del FAP para el debate petrolero,2008-05-06,0.7783,Jornada,0.0
"Junto a Marín, Calderón fustiga a quienes ven el interés personal y no el de la patria",2008-05-06,-0.9531,Jornada,0.0258
Gómez Urrutia apremia a Felipe Calderón a decidir si está del lado de las mayorías,2008-05-06,-0.891,Jornada,0.0
Acosta Chaparro quiere ser reinstalado,2008-05-06,-0.6908,Jornada,0.0
Demandan al Estado frenar la impunidad en delitos contra periodistas mexicanos,2008-05-06,-0.9705,Jornada,-0.128
"Abre el IFE nuevo proceso contra Tv Azteca, que sigue en franca rebeldía",2008-05-06,-0.9719,Jornada,-0.128
"Ejecutar el 5 de agosto al mexicano José Ernesto Medellín, ordena juez de EU",2008-05-06,0.6369,Jornada,0.0
Arremete NI contra la “derecha reaccionaria” de Felipe Calderón,2008-05-06,-0.886,Jornada,-0.34
Anuncian protestas en contra de la Sedeso,2008-05-06,0.0,Jornada,-0.2263
Se investiga a Rogaciano Alva por la muerte de Digna Ochoa,2008-05-06,-0.9545,Jornada,-0.5994
Aumentan asesinatos de mujeres en Edomex,2008-05-06,-0.0,Jornada,-0.6908
"Parar acoso a periodistas, piden al gobernador de Aguascalientes",2008-05-06,0.4939,Jornada,-0.6908
Avala la Corte normas de elegibilidad en QR,2008-05-06,0.296,Jornada,0.0
Ofrecen a IP 100 hectáreas en Xochiaca,2008-05-06,0.4215,Jornada,0.0
Veracruz persigue a ecologistas,2008-05-06,-0.2732,Jornada,0.0
Aceleran trabajos del basurero de Zimapán,2008-05-06,-0.4215,Jornada,-0.3818
Papantla demanda a Pemex por fugas de hidrocarburos,2008-05-06,0.4588,Jornada,0.0
Disputa por tierras en Chiapas deja un herido,2008-05-06,-0.5859,Jornada,-0.4019
"Auditor panista, en conflicto de interés",2008-05-06,-0.128,Jornada,0.1779
"Narcotráfico, otra posible vertiente",2008-05-06,-0.5267,Jornada,0.0
Indagan anomalías en basurero de Ecatepec,2008-05-06,-0.296,Jornada,-0.3818
Fin a discriminación en policía de Matamoros,2008-05-06,0.3612,Jornada,0.0
